Repo_A,Repo_B,Support_A,Support_B,Support_A_B,Confidence_A_B,Confidence_B_A,Lift_A_B,Lift_B_A
openstack/puppet-heat,openstack/puppet-cinder,0.00041271028925349913,0.0012678222554765766,0.0020308909197798088,0.7299893276414088,0.48787446504992865,175.36301395932324,175.36301395932324
openstack/puppet-glance,openstack/puppet-cinder,0.0007452538316735848,0.0012678222554765766,0.002122934221699654,0.6327433628318584,0.5099857346647646,152.00192518904726,152.00192518904726
openstack/puppet-heat,openstack/puppet-neutron,0.00041271028925349913,0.002565335898669232,0.0020041686708353375,0.7203842049092849,0.3535882661079099,127.09479279467647,127.09479279467647
openstack/puppet-heat,openstack/puppet-nova,0.00041271028925349913,0.0025772124537556634,0.0020308909197798088,0.7299893276414088,0.3330087633885102,119.69763659735698,119.69763659735698
openstack/puppet-glance,openstack/puppet-neutron,0.0007452538316735848,0.002565335898669232,0.0020694897238107113,0.6168141592920354,0.3651126244106862,108.82230236838079,108.82230236838079
openstack/puppet-glance,openstack/puppet-nova,0.0007452538316735848,0.0025772124537556634,0.002093242833983575,0.6238938053097345,0.3432327166504382,102.30096681631353,102.30096681631353
openstack/puppet-cinder,openstack/puppet-nova,0.0012678222554765766,0.0025772124537556634,0.0022892059929096966,0.5499286733238231,0.375365141187926,90.1727737673403,90.1727737673403
openstack/puppet-cinder,openstack/puppet-neutron,0.0012678222554765766,0.002565335898669232,0.0021259033604712615,0.5106990014265336,0.3750654793085385,90.10078694733035,90.10078694733035
openstack/puppet-keystone,openstack/puppet-nova,0.0016300571856127412,0.0025772124537556634,0.0020694897238107113,0.4757679180887372,0.3393378773125609,78.01250402943062,78.01250402943062
openstack/puppet-neutron,openstack/puppet-nova,0.002565335898669232,0.0025772124537556634,0.0021912244134466357,0.3865898376113148,0.3592989289191821,63.389817004778784,63.389817004778784
openstack/puppet-tripleo,openstack/tripleo-heat-templates,0.003966769398868164,0.0214401510697807,0.0030314906858116735,0.38082804923535996,0.09963891870791451,12.51704160499373,12.51704160499373
openstack/tripleo-common,openstack/tripleo-heat-templates,0.005353357205209057,0.0214401510697807,0.0021288724992428697,0.2306949806949807,0.06997169903386356,7.582473710169622,7.582473710169622
openstack/kolla-ansible,openstack/kolla,0.01406184122233505,0.01581066395881211,0.0023634344621998944,0.13588255377261865,0.12158240415457461,6.990220306325098,6.990220306325098
openstack/tempest,openstack/nova,0.015587978550941513,0.05299912707320115,0.002051674891181064,0.09773691654879774,0.03154386925956359,1.502674975796676,1.502674975796676
openstack/cinder,openstack/nova,0.028613590341985403,0.05299912707320115,0.003393725615947838,0.09490202590501494,0.05217748562037798,1.4590894056768566,1.4590894056768566
openstack/neutron,openstack/nova,0.03550199229211575,0.05299912707320115,0.0025742433149840557,0.057314735241620944,0.039578197754039986,0.8811963936778714,0.8811963936778714
openstack/puppet-heat,openstack/puppet-cinder,0.00041271028925349913,0.0012678222554765766,0.0020308909197798088,0.7299893276414088,0.48787446504992865,175.36301395932324,175.36301395932324
openstack/puppet-glance,openstack/puppet-cinder,0.0007452538316735848,0.0012678222554765766,0.002122934221699654,0.6327433628318584,0.5099857346647646,152.00192518904726,152.00192518904726
openstack/puppet-heat,openstack/puppet-neutron,0.00041271028925349913,0.002565335898669232,0.0020041686708353375,0.7203842049092849,0.3535882661079099,127.09479279467647,127.09479279467647
openstack/puppet-heat,openstack/puppet-nova,0.00041271028925349913,0.0025772124537556634,0.0020308909197798088,0.7299893276414088,0.3330087633885102,119.69763659735698,119.69763659735698
openstack/puppet-glance,openstack/puppet-neutron,0.0007452538316735848,0.002565335898669232,0.0020694897238107113,0.6168141592920354,0.3651126244106862,108.82230236838079,108.82230236838079
openstack/puppet-glance,openstack/puppet-nova,0.0007452538316735848,0.0025772124537556634,0.002093242833983575,0.6238938053097345,0.3432327166504382,102.30096681631353,102.30096681631353
openstack/puppet-cinder,openstack/puppet-nova,0.0012678222554765766,0.0025772124537556634,0.0022892059929096966,0.5499286733238231,0.375365141187926,90.1727737673403,90.1727737673403
openstack/puppet-cinder,openstack/puppet-neutron,0.0012678222554765766,0.002565335898669232,0.0021259033604712615,0.5106990014265336,0.3750654793085385,90.10078694733035,90.10078694733035
openstack/puppet-keystone,openstack/puppet-nova,0.0016300571856127412,0.0025772124537556634,0.0020694897238107113,0.4757679180887372,0.3393378773125609,78.01250402943062,78.01250402943062
openstack/puppet-neutron,openstack/puppet-nova,0.002565335898669232,0.0025772124537556634,0.0021912244134466357,0.3865898376113148,0.3592989289191821,63.389817004778784,63.389817004778784
openstack/puppet-tripleo,openstack/tripleo-heat-templates,0.003966769398868164,0.0214401510697807,0.0030314906858116735,0.38082804923535996,0.09963891870791451,12.51704160499373,12.51704160499373
openstack/tripleo-common,openstack/tripleo-heat-templates,0.005353357205209057,0.0214401510697807,0.0021288724992428697,0.2306949806949807,0.06997169903386356,7.582473710169622,7.582473710169622
openstack/kolla-ansible,openstack/kolla,0.01406184122233505,0.01581066395881211,0.0023634344621998944,0.13588255377261865,0.12158240415457461,6.990220306325098,6.990220306325098
openstack/tempest,openstack/nova,0.015587978550941513,0.05299912707320115,0.002051674891181064,0.09773691654879774,0.03154386925956359,1.502674975796676,1.502674975796676
openstack/cinder,openstack/nova,0.028613590341985403,0.05299912707320115,0.003393725615947838,0.09490202590501494,0.05217748562037798,1.4590894056768566,1.4590894056768566
openstack/neutron,openstack/nova,0.03550199229211575,0.05299912707320115,0.0025742433149840557,0.057314735241620944,0.039578197754039986,0.8811963936778714,0.8811963936778714
