Source,Target,Source_repo,Target_repo
867546,860529,openstack/kolla-ansible,openstack/kayobe
861110,863532,openstack/tempest,openstack/mistral
866864,863146,openstack/tripleo-quickstart-extras,openstack/tripleo-ansible
864997,864005,openstack/devstack,openstack/glance-tempest-plugin
861710,867630,openstack/tripleo-upgrade,openstack/tripleo-heat-templates
861110,864384,openstack/tempest,openstack/tacker-specs
861110,862798,openstack/tempest,openstack/barbican
861110,862806,openstack/tempest,openstack/freezer-api
861110,862809,openstack/tempest,openstack/keystone
866212,866213,openstack/tempest,openstack/devstack
866717,866463,openstack/puppet-pacemaker,openstack/puppet-tripleo
866650,866463,openstack/puppet-pacemaker,openstack/puppet-tripleo
863036,866463,openstack/puppet-pacemaker,openstack/puppet-tripleo
866451,866456,openstack/tripleo-ansible,openstack/tripleo-heat-templates
860761,860767,openstack/neutron-lib,openstack/neutron
853291,855551,openstack/telemetry-tempest-plugin,openstack/ceilometer
853829,855551,openstack/telemetry-tempest-plugin,openstack/ceilometer
855344,855551,openstack/devstack,openstack/ceilometer
853829,852644,openstack/telemetry-tempest-plugin,openstack/ceilometer
855344,852644,openstack/devstack,openstack/ceilometer
866450,866455,openstack/tripleo-ansible,openstack/tripleo-heat-templates
866717,866462,openstack/puppet-pacemaker,openstack/puppet-tripleo
866650,866462,openstack/puppet-pacemaker,openstack/puppet-tripleo
863036,866462,openstack/puppet-pacemaker,openstack/puppet-tripleo
862387,865353,openstack/election,openstack/releases
866218,867581,openstack/nova,openstack/tempest
853829,855463,openstack/telemetry-tempest-plugin,openstack/ceilometer
855349,855463,openstack/devstack,openstack/ceilometer
853829,867305,openstack/telemetry-tempest-plugin,openstack/aodh
855344,867305,openstack/devstack,openstack/aodh
853829,855557,openstack/telemetry-tempest-plugin,openstack/ceilometer
855349,855557,openstack/devstack,openstack/ceilometer
860611,860631,openstack/tripleo-ansible,openstack/tripleo-heat-templates
853829,855465,openstack/telemetry-tempest-plugin,openstack/ceilometer
855455,855465,openstack/devstack,openstack/ceilometer
853291,855550,openstack/telemetry-tempest-plugin,openstack/ceilometer
853829,855550,openstack/telemetry-tempest-plugin,openstack/ceilometer
855146,855550,openstack/devstack,openstack/ceilometer
853829,855270,openstack/telemetry-tempest-plugin,openstack/ceilometer
855349,855270,openstack/devstack,openstack/ceilometer
853829,855140,openstack/telemetry-tempest-plugin,openstack/ceilometer
855146,855140,openstack/devstack,openstack/ceilometer
853829,855524,openstack/telemetry-tempest-plugin,openstack/aodh
854807,855524,openstack/devstack,openstack/aodh
853829,855460,openstack/telemetry-tempest-plugin,openstack/aodh
855349,855460,openstack/devstack,openstack/aodh
853829,852850,openstack/telemetry-tempest-plugin,openstack/ceilometer
855344,852850,openstack/devstack,openstack/ceilometer
853829,855458,openstack/telemetry-tempest-plugin,openstack/aodh
855146,855458,openstack/devstack,openstack/aodh
867232,867332,openstack/tripleo-ansible,openstack/tripleo-heat-templates
853291,852878,openstack/telemetry-tempest-plugin,openstack/ceilometer
853829,852878,openstack/telemetry-tempest-plugin,openstack/ceilometer
854807,852878,openstack/devstack,openstack/ceilometer
866478,866479,openstack/openstack-helm-infra,openstack/openstack-helm
862150,864421,openstack/tripleo-ansible,openstack/tripleo-validations
866993,862475,openstack/ironic,openstack/grenade
867065,862475,openstack/devstack,openstack/grenade
864617,867294,openstack/os-brick,openstack/cinder
864479,867294,openstack/os-brick,openstack/cinder
849805,867294,openstack/os-brick,openstack/cinder
849718,867294,openstack/os-brick,openstack/cinder
849542,867294,openstack/os-brick,openstack/cinder
866884,866844,openstack/kolla-ansible,openstack/kayobe
866817,866670,openstack/puppet-tripleo,openstack/tripleo-heat-templates
864617,865164,openstack/os-brick,openstack/cinder
864479,865164,openstack/os-brick,openstack/cinder
849805,865164,openstack/os-brick,openstack/cinder
849718,865164,openstack/os-brick,openstack/cinder
849542,865164,openstack/os-brick,openstack/cinder
867065,866993,openstack/devstack,openstack/ironic
859773,866692,openstack/devstack,openstack/tempest
843493,855576,openstack/cinder,openstack/cinder-tempest-plugin
866061,866062,openstack/openstack-ansible,openstack/openstack-ansible-os_octavia
867052,866062,openstack/openstack-ansible,openstack/openstack-ansible-os_octavia
867256,867257,openstack/openstack-ansible,openstack/openstack-ansible-os_trove
768852,769675,openstack/nova,openstack/python-novaclient
769120,769675,openstack/tempest,openstack/python-novaclient
768851,769869,openstack/nova,openstack/python-novaclient
769120,769869,openstack/tempest,openstack/python-novaclient
768862,770065,openstack/nova,openstack/python-novaclient
769120,770065,openstack/tempest,openstack/python-novaclient
764292,769872,openstack/nova,openstack/python-novaclient
867049,866058,openstack/ansible-role-zookeeper,openstack/openstack-ansible-os_octavia
867052,866058,openstack/openstack-ansible,openstack/openstack-ansible-os_octavia
866338,866177,openstack/tripleo-ansible,openstack/tripleo-heat-templates
866715,866177,openstack/puppet-nova,openstack/tripleo-heat-templates
843659,847030,openstack/tripleo-ansible,openstack/tripleo-heat-templates
855952,858057,openstack/python-barbicanclient,openstack/castellan
865439,858057,openstack/keystoneauth,openstack/castellan
863880,860639,openstack/neutron-tempest-plugin,openstack/neutron
855952,859112,openstack/python-barbicanclient,openstack/castellan
816790,763414,openstack/openstacksdk,openstack/python-openstackclient
864340,864341,openstack/openstacksdk,openstack/python-openstackclient
843832,858351,openstack/manila,openstack/manila-tempest-plugin
865603,865256,openstack/manila-tempest-plugin,openstack/manila
865952,861394,openstack/openstack-ansible,openstack/openstack-ansible-lxc_container_create
867087,867052,openstack/openstack-ansible-os_neutron,openstack/openstack-ansible
866697,866699,openstack/openstack-ansible-os_nova,openstack/openstack-ansible
866694,866699,openstack/openstack-ansible-os_cinder,openstack/openstack-ansible
866684,866699,openstack/openstack-ansible-os_keystone,openstack/openstack-ansible
866686,866699,openstack/openstack-ansible-os_glance,openstack/openstack-ansible
866693,866686,openstack/openstack-ansible,openstack/openstack-ansible-os_glance
865449,866047,openstack/ansible-role-zookeeper,openstack/openstack-ansible
864419,864424,openstack/openstack-ansible-os_octavia,openstack/openstack-ansible
864420,864424,openstack/openstack-ansible-os_barbican,openstack/openstack-ansible
864423,864424,openstack/openstack-ansible-os_ironic,openstack/openstack-ansible
862167,862171,openstack/openstack-ansible,openstack/openstack-ansible-os_glance
863289,865396,openstack/tripleo-common,openstack/tripleo-heat-templates
865015,865822,openstack/devstack,openstack/neutron
839216,768528,openstack/kuryr-libnetwork,openstack/zun
865015,865821,openstack/devstack,openstack/tempest
866978,866980,openstack/tripleo-ansible,openstack/tripleo-heat-templates
861110,862797,openstack/tempest,openstack/adjutant
867059,867056,openstack/devstack,openstack/tempest
862924,760647,openstack/openstack-ansible,openstack/openstack-ansible-os_neutron
867020,867021,openstack/puppet-neutron,openstack/tripleo-heat-templates
867017,867021,openstack/puppet-neutron,openstack/tripleo-heat-templates
841996,842005,openstack/tripleo-ansible,openstack/tripleo-heat-templates
865047,842005,openstack/tripleo-ansible,openstack/tripleo-heat-templates
864750,865518,openstack/openstack-ansible,openstack/openstack-ansible-os_cinder
865805,865518,openstack/openstack-ansible,openstack/openstack-ansible-os_cinder
862924,866694,openstack/openstack-ansible,openstack/openstack-ansible-os_cinder
865144,865145,openstack/tripleo-common,openstack/tripleo-heat-templates
