is_cross,is_cross_service,lag
True,True,35499.81
True,False,1641.91
True,False,7.18
True,False,15561.67
True,False,0.09
True,False,0.0
True,False,96.41
True,False,37.46
True,True,5447.57
True,True,156.39
True,False,0.67
True,False,0.62
True,True,948.71
True,False,124.33
True,False,116.35
True,False,0.05
True,False,0.2
True,False,21.14
True,True,23250.26
True,False,7049.25
True,False,86.23
True,False,6288.41
True,False,0.03
True,False,216.22
False,False,410.74
True,True,1613.48
True,True,222.6
True,True,14945.32
True,True,7020.09
True,True,944.44
True,False,20691.74
True,True,0.03
True,False,3.79
True,True,0.46
True,False,288.45
True,True,0.41
True,False,25.93
True,False,24.23
True,False,2711.28
True,False,10923.05
True,True,523.16
True,False,18650.57
True,True,6306.26
True,True,5613.06
True,False,8382.08
True,False,1320.58
True,True,535.42
False,False,3.75
True,True,52510.47
True,False,0.38
True,False,23.48
True,False,601.12
True,True,1596.92
True,False,0.08
True,False,0.1
True,True,0.25
True,True,5066.64
True,True,15690.62
True,True,314.79
True,True,2.88
True,False,2861.96
True,False,72.04
True,False,0.18
True,False,8414.78
True,True,26852.81
True,False,0.02
True,True,0.16
True,False,844.75
True,False,947.9
True,True,20.32
True,True,21.19
True,True,1.22
False,False,3306.97
True,False,14064.51
True,False,0.99
True,False,169.69
True,True,12051.06
False,False,22.29
True,True,9315.47
True,True,3.83
True,True,9185.03
True,True,6312.56
True,False,22.29
True,True,1612.14
True,False,0.04
True,True,374.34
True,True,0.14
True,True,1.81
True,False,478.43
True,True,0.02
True,False,125.42
True,True,91.94
True,True,1.13
True,False,167.22
True,False,0.07
True,True,45.59
True,False,984.7
True,False,30.05
True,True,0.04
True,False,17781.25
True,True,290.8
True,False,50844.88
True,False,17495.7
False,False,2517.8
True,False,14746.23
True,True,22.77
True,True,6429.21
True,False,0.08
True,True,115.74
True,False,4725.8
False,False,2352.63
True,False,0.08
True,False,3.66
True,False,75.24
True,True,958.67
True,False,3233.89
True,True,0.23
True,False,140.43
True,False,121.64
True,False,4997.86
True,True,18.54
True,True,190.1
True,False,0.07
True,False,695.56
True,False,501.56
True,False,0.02
True,True,3023.17
True,True,3098.3
True,False,0.09
True,True,15.12
True,True,622.08
True,True,24942.99
True,False,1.45
True,False,0.16
True,True,6309.88
True,False,258.39
False,False,0.68
True,False,13554.34
True,False,647.31
True,True,6109.36
True,True,3617.68
True,True,0.05
True,False,22.01
True,False,20761.97
True,False,18.45
True,True,0.12
True,True,3874.58
True,True,0.0
True,True,0.57
True,True,3505.87
True,False,0.09
False,False,1198.28
True,False,0.05
True,True,20.26
True,False,2.02
True,False,11.37
True,True,595.61
True,False,2162.85
True,False,500.35
False,False,162.86
True,False,0.07
False,False,1057.51
True,True,9357.62
True,True,0.06
True,False,0.6
True,True,36661.79
True,False,23.61
True,False,28.56
True,False,0.07
True,False,19.09
True,False,0.05
True,True,2150.35
True,False,9418.23
True,True,2171.64
True,True,10510.68
True,False,2.45
True,False,459.59
True,False,0.05
True,True,272.04
True,False,43.08
True,False,596.91
True,True,1561.47
True,False,0.0
True,False,25.77
True,False,2478.55
True,False,340.06
True,False,773.76
True,False,0.48
True,False,0.07
True,False,0.09
True,False,0.03
True,False,1.15
True,True,0.08
True,True,8621.96
False,False,505.77
False,False,1560.79
True,True,0.0
True,False,0.05
True,True,332.29
False,False,8024.4
True,True,0.69
True,False,33.31
True,True,683.53
True,True,74.26
True,False,2.73
True,True,2134.59
True,False,73.33
True,True,334.01
True,True,696.69
True,True,9762.48
False,False,123.08
True,False,19.66
True,True,654.38
True,True,365.0
True,False,2706.99
True,False,46.94
True,False,0.91
True,False,6.08
True,False,3002.28
True,True,24.88
True,False,7388.32
True,False,667.73
True,False,7443.18
True,False,342.54
True,True,1741.29
True,True,412.42
True,False,28.47
True,True,0.1
True,False,0.04
True,False,5879.07
True,False,1686.48
True,True,72.16
True,False,43.95
True,True,0.71
True,True,0.02
True,True,834.19
True,True,48.64
True,False,29467.47
True,False,16.12
True,False,8.15
True,False,462.17
True,True,2543.26
True,False,9646.83
True,True,0.13
True,False,69.2
True,False,0.12
True,True,0.02
True,False,217.06
True,False,2088.48
True,False,7721.07
True,True,140.44
True,False,1511.29
True,True,178.68
True,False,75.27
True,False,22.35
True,False,24.44
True,False,909.98
True,True,4085.84
True,False,236.98
True,False,0.06
True,False,42.15
True,True,145.53
True,False,815.05
True,True,247.31
True,True,84.79
True,True,79.01
True,True,69.52
True,False,4.75
True,False,21.99
True,False,14.01
True,False,0.45
True,True,4507.4
True,True,5715.94
True,True,5.17
True,True,192.03
True,False,20.76
True,True,18217.06
True,False,304.63
True,False,1.98
True,False,7698.68
True,True,0.04
False,False,768.41
True,True,3425.64
True,False,18.97
False,False,1528.4
True,True,1631.1
True,False,699.03
