id,age,changes
935,3689,1521
9816,3147,7640
16515,2538,430
11628,2985,1418
11975,3070,2524
17669,1868,385
27900,1659,263
6816,3572,8071
22629,1938,576
28223,1641,620
10366,2038,176
33689,504,178
8556,3187,3891
32968,667,139
27615,1771,371
4393,3800,1587
15197,2274,1246
24072,2107,645
8833,3201,1784
9656,3239,1792
7847,3421,783
1004,3836,1378
16688,2718,1551
32926,672,452
32666,592,92
28619,1588,2960
8313,2688,492
35540,0,1
34598,210,32
23851,2223,1166
28522,1502,2015
29074,617,11
23084,860,38
28706,1576,174
18418,2617,45
30073,1253,195
1131,3745,804
12549,3037,1154
30074,374,3
20676,2454,143
34120,399,40
14826,2830,3323
14250,2889,307
34375,327,63
13252,2918,904
25613,1376,85
16198,2716,18
35355,17,3
5314,3727,1036
5572,3648,33
8992,2907,258
17685,1907,1583
20733,2382,307
27909,1704,264
30434,505,325
34208,310,68
32787,700,9
21129,2281,468
31203,0,1
16207,253,10
35511,0,1
5689,3621,539
34918,146,3
7118,3514,2564
4690,3679,671
4146,3806,964
30002,1254,186
6593,3583,1964
8297,3276,523
26285,1694,249
32962,667,204
10239,3185,3930
34930,165,7
9414,2468,5793
29632,1355,166
21420,2377,525
5756,3664,529
19065,2510,55
5263,3737,1496
15382,2804,27
32240,698,26
12393,3041,1028
15343,2805,1555
30126,1313,118
15334,2776,2651
29313,1453,519
7730,3343,392
22954,2228,206
16312,2734,347
34996,146,7
31412,941,247
14567,2828,217
12898,2935,1056
32553,749,11
15554,2790,169
22873,2254,261
11604,3087,309
2424,3932,248
35025,136,31
33688,489,37
28806,146,5
28008,1638,191
35014,139,2
20870,2434,2582
34329,335,2
32177,842,64
35414,0,3
35133,16,2
6914,3513,210
31245,1092,286
1,4092,1557
6926,3302,1049
10969,3037,1248
4264,3670,338
35462,0,1
35459,0,1
35460,0,1
35453,0,1
8213,3366,898
30561,1190,544
19262,2513,168
33196,518,40
10342,3147,251
35475,0,1
8367,3289,353
11805,3070,1226
20634,2433,749
30463,293,7
27339,1621,137
8064,2825,98
4571,3783,1879
34293,333,35
6796,3493,1178
31542,904,153
23567,2163,379
28356,1294,87
35105,1,3
34589,246,15
32458,707,107
8543,3341,657
33080,621,40
35227,59,2
23811,2198,358
11655,3036,1616
8655,3308,695
8648,3311,214
34860,125,23
9914,3129,372
32053,873,7
8449,3262,920
30491,1249,1821
9562,3236,195
14611,2805,78
29244,1322,535
11583,3065,62
13686,2881,883
35421,0,1
25600,1871,152
13425,2662,94
35278,0,1
13861,2895,958
7144,3490,1365
7973,3402,508
13692,2711,168
28595,1572,18
14200,2584,523
34275,324,7
11600,3025,624
5202,3142,287
9531,3145,272
30695,1190,23
16643,2625,1160
34647,215,4
35075,98,7
31075,896,68
34429,265,132
34671,207,5
14107,2763,1022
34232,328,4
30539,717,2
34175,327,4
34940,135,11
34564,244,13
29307,709,6
34352,277,51
17216,2656,543
34427,246,8
22623,2219,349
15993,2733,78
6773,3543,1386
34325,0,1
7634,3250,782
7414,3455,73
16465,2401,90
33607,433,3
9976,3186,478
24245,2154,1094
35059,53,6
10058,3122,106
18002,2215,489
34621,186,3
30674,1068,54
32927,625,24
22865,2123,132
33307,533,6
31668,356,5
4694,3485,178
34076,364,9
25023,1963,1905
30623,190,6
32102,814,91
30247,1266,7
35361,1,3
308,4044,1447
32657,681,64
35007,104,4
14482,2638,193
26458,1888,384
28609,1506,63
34411,270,17
35264,16,4
30742,1111,62
34423,223,15
6413,3588,214
34118,323,39
33340,530,3
30562,1210,48
35351,0,1
25701,1995,148
9542,3213,577
10459,3109,1035
35229,0,1
32919,636,37
33787,432,14
28722,491,2
34451,246,115
31792,909,15
20182,2440,160
34952,99,7
19138,2356,148
4257,3737,1490
30566,1187,25
29974,1313,68
15519,2665,712
25402,1350,494
35339,1,3
11297,3022,82
16137,2504,2041
31779,880,4
35016,33,7
14288,2842,404
32586,690,63
31068,1062,23
34980,94,2
35316,0,1
34226,279,6
13039,2937,681
10961,0,1
35245,0,1
4523,3753,1141
30226,0,1
17566,2395,6
34260,143,6
22119,0,1
14119,2854,738
33693,244,2
6476,3374,1589
31721,845,36
19298,2149,97
8122,3354,354
33408,0,1
35327,0,1
6737,3427,334
