project,team
adjutant,adjutant
adjutant-ui,adjutant
python-adjutantclient,adjutant
ansible-role-atos-hsm,barbican
ansible-role-lunasa-hsm,barbican
ansible-role-thales-hsm,barbican
barbican,barbican
barbican-tempest-plugin,barbican
python-barbicanclient,barbican
castellan-ui,barbican
blazar,blazar
blazar-dashboard,blazar
blazar-nova,blazar
blazar-tempest-plugin,blazar
python-blazarclient,blazar
os-brick,cinder
cinder,cinder
cinder-tempest-plugin,cinder
cinderlib,cinder
python-brick-cinderclient-ext,cinder
python-cinderclient,cinder
cloudkitty,cloudkitty
cloudkitty-dashboard,cloudkitty
cloudkitty-tempest-plugin,cloudkitty
python-cloudkittyclient,cloudkitty
python-cyborgclient,cyborg
cyborg,cyborg
cyborg-tempest-plugin,cyborg
os-acc,cyborg
designate,designate
designate-dashboard,designate
designate-tempest-plugin,designate
python-designateclient,designate
openstack-doc-tools,documentation
openstackdocstheme,documentation
whereto,documentation
ec2-api,ecapi
ec2api-tempest-plugin,ecapi
freezer,freezer
freezer-tempest-plugin,freezer
freezer-web-ui,freezer
python-freezerclient,freezer
glance,glance
glance-tempest-plugin,glance
python-glanceclient,glance
heat,heat
heat-agents,heat
heat-dashboard,heat
heat-tempest-plugin,heat
python-heatclient,heat
heat-cfntools,heat
horizon,horizon
tempest-horizon,horizon
django_openstack_auth,horizon
manila-ui,horizon
django-openstack-auth-kerberos,horizon
xstatic-angular,horizon
xstatic-angular-bootstrap,horizon
xstatic-angular-gettext,horizon
xstatic-angular-lrdragndrop,horizon
xstatic-angular-material,horizon
xstatic-angular-notify,horizon
xstatic-angular-smart-table,horizon
xstatic-angular-uuid,horizon
xstatic-angular-vis,horizon
xstatic-bootstrap-datepicker,horizon
xstatic-bootstrap-scss,horizon
xstatic-bootswatch,horizon
xstatic-d3,horizon
xstatic-filesaver,horizon
xstatic-font-awesome,horizon
xstatic-hogan,horizon
xstatic-jasmine,horizon
xstatic-jquery-migrate,horizon
xstatic-jquery.quicksearch,horizon
xstatic-jquery.tablesorter,horizon
xstatic-js-yaml,horizon
xstatic-jsencrypt,horizon
xstatic-json2yaml,horizon
xstatic-magic-search,horizon
xstatic-mdi,horizon
xstatic-rickshaw,horizon
xstatic-roboto-fontface,horizon
xstatic-spin,horizon
ironic,ironic
ironic-inspector,ironic
ironic-python-agent,ironic
metalsmith,ironic
sushy,ironic
bifrost,ironic
ironic-lib,ironic
ironic-prometheus-exporter,ironic
ironic-python-agent-builder,ironic
ironic-tempest-plugin,ironic
ironic-ui,ironic
networking-baremetal,ironic
networking-generic-switch,ironic
python-ironic-inspector-client,ironic
python-ironicclient,ironic
sushy-cli,ironic
python-wsmanclient,ironic
sushy-tools,ironic
tenks,ironic
virtualbmc,ironic
keystoneauth,keystone
keystonemiddleware,keystone
keystone,keystone
keystone-tempest-plugin,keystone
python-keystoneclient,keystone
pycadf,keystone
ldappool,keystone
python-keystoneclient-kerberos,keystone
ansible-collection-kolla,kolla
kolla,kolla
kolla-ansible,kolla
kayobe,kolla
kolla-cli,kolla
kolla-kubernetes,kolla
kuryr,kuryr
kuryr-kubernetes,kuryr
kuryr-libnetwork,kuryr
kuryr-tempest-plugin,kuryr
fuxi,kuryr
python-magnumclient,magnum
magnum,magnum
magnum-tempest-plugin,magnum
magnum-ui,magnum
python-manilaclient,manila
manila,manila
manila-tempest-plugin,manila
python-masakariclient,masakari
masakari,masakari
masakari-dashboard,masakari
masakari-monitors,masakari
mistral-extra,mistral
mistral,mistral
mistral-dashboard,mistral
mistral-lib,mistral
mistral-tempest-plugin,mistral
python-mistralclient,mistral
monasca-agent,monasca
monasca-api,monasca
monasca-common,monasca
