projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/ansible-plugin-container-connection,openstack/os-client-config,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/os-client-config,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/monasca-specs,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/monasca-specs,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/os-performance-tools,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/os-performance-tools,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/trove-specs,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/trove-specs,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/manila-image-elements,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/manila-image-elements,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/blazar-specs,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/blazar-specs,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/molteniron,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/molteniron,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/solum-specs,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/solum-specs,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/patrole,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/patrole,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/performance-docs,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/performance-docs,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/sphinx-feature-classification,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/sphinx-feature-classification,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/etcd3gw,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/etcd3gw,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/watcher-specs,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/watcher-specs,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/yaql,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/yaql,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/puppet-openstack-guide,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/puppet-openstack-guide,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/puppet-panko,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/puppet-panko,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/heat-cfnclient,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/heat-cfnclient,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/heat-cfntools,Core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/heat-cfntools,Non core,0.0,0.0,0,0
openstack/ansible-plugin-container-connection,openstack/heat-templates,Core,0.0,0.0,0,0
