projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-cookiecutter,Core,50.0,50.0,2,3
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-cookiecutter,Non core,0.0,0.0,2,3
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-glance,Core,40.0,50.0,2,3
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-glance,Non core,0.0,0.0,2,3
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-keystone,Core,40.0,37.5,2,3
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-keystone,Non core,0.0,0.0,2,3
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-mariadb,Core,33.33333333333333,37.5,2,3
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-mariadb,Non core,0.0,0.0,2,3
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-rabbitmq,Core,66.66666666666666,50.0,2,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-rabbitmq,Non core,0.0,0.0,2,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-tripleo,Core,40.0,42.857142857142854,2,3
openstack/ansible-role-k8s-cinder,openstack/ansible-role-k8s-tripleo,Non core,0.0,0.0,2,3
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-ui,Core,11.11111111111111,20.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-ui,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-aodh,Core,11.11111111111111,20.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-aodh,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-barbican,Core,11.11111111111111,25.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-barbican,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-ceilometer,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-ceilometer,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-cinder,Core,11.11111111111111,25.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-cinder,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-cookiecutter,Core,16.666666666666664,11.76470588235294,2,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-cookiecutter,Non core,0.0,0.0,2,2
openstack/ansible-role-k8s-cinder,openstack/tripleo-ui,Core,5.555555555555555,2.8169014084507045,2,3
openstack/ansible-role-k8s-cinder,openstack/tripleo-ui,Non core,0.0,1.4084507042253522,2,3
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-ovn,Core,11.11111111111111,25.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-ovn,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-opendaylight,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-opendaylight,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-octavia,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-octavia,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-nova,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-nova,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/os-cloud-config,Core,3.7735849056603774,2.083333333333333,2,2
openstack/ansible-role-k8s-cinder,openstack/os-cloud-config,Non core,0.0,0.0,2,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-zaqar,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-zaqar,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-tempest,Core,11.11111111111111,25.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-tempest,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-sahara,Core,11.11111111111111,25.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-sahara,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-swift,Core,11.11111111111111,25.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-swift,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-tacker,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-tacker,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-rsyslog-sidecar,Core,11.11111111111111,25.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-rsyslog-sidecar,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-rabbitmq,Core,11.11111111111111,25.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-rabbitmq,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-qdrouterd,Core,25.0,16.666666666666664,1,1
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-qdrouterd,Non core,0.0,0.0,1,1
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-panko,Core,11.11111111111111,25.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-panko,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-heat,Core,11.11111111111111,25.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-heat,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-haproxy,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-haproxy,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-gnocchi,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-gnocchi,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-glance,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-glance,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-designate,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-designate,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-neutron,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-neutron,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-mistral,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-mistral,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-memcached,Core,11.11111111111111,20.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-memcached,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-manila,Core,11.11111111111111,20.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-manila,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-ironic,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-ironic,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-keepalived,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-keepalived,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-horizon,Core,11.11111111111111,22.22222222222222,1,2
openstack/ansible-role-k8s-cinder,openstack/ansible-role-tripleo-horizon,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/pylockfile,Core,9.090909090909092,9.090909090909092,1,2
openstack/ansible-role-k8s-cinder,openstack/pylockfile,Non core,0.0,0.0,1,2
openstack/ansible-role-k8s-cinder,openstack/xstatic-moment-timezone,Core,0.0,0.0,0,0
openstack/ansible-role-k8s-cinder,openstack/xstatic-moment-timezone,Non core,0.0,0.0,0,0
openstack/ansible-role-k8s-cinder,openstack/xstatic-dagre-d3,Core,0.0,0.0,0,0
openstack/ansible-role-k8s-cinder,openstack/xstatic-dagre-d3,Non core,0.0,0.0,0,0
openstack/ansible-role-k8s-cinder,openstack/xstatic-dagre,Core,0.0,0.0,0,0
openstack/ansible-role-k8s-cinder,openstack/xstatic-dagre,Non core,0.0,0.0,0,0
openstack/ansible-role-k8s-cinder,openstack/dragonflow,Core,0.7874015748031495,0.5128205128205128,1,1
openstack/ansible-role-k8s-cinder,openstack/dragonflow,Non core,0.0,0.0,1,1
