projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/ansible-role-systemd_mount,openstack/python-senlinclient,Core,2.7777777777777777,1.6,4,7
openstack/ansible-role-systemd_mount,openstack/python-senlinclient,Non core,0.9259259259259258,4.0,4,7
openstack/ansible-role-systemd_mount,openstack/senlin-dashboard,Core,4.225352112676056,1.7699115044247788,6,4
openstack/ansible-role-systemd_mount,openstack/senlin-dashboard,Non core,4.225352112676056,1.7699115044247788,6,4
openstack/ansible-role-systemd_mount,openstack/networking-generic-switch,Core,3.8461538461538463,1.9801980198019802,6,4
openstack/ansible-role-systemd_mount,openstack/networking-generic-switch,Non core,3.8461538461538463,1.9801980198019802,6,4
openstack/ansible-role-systemd_mount,openstack/sahara-image-elements,Core,4.878048780487805,0.0,5,1
openstack/ansible-role-systemd_mount,openstack/sahara-image-elements,Non core,1.2195121951219512,0.9090909090909091,5,1
openstack/ansible-role-systemd_mount,openstack/ansible-role-thales-hsm,Core,4.166666666666666,13.513513513513514,1,5
openstack/ansible-role-systemd_mount,openstack/ansible-role-thales-hsm,Non core,0.0,0.0,1,5
openstack/ansible-role-systemd_mount,openstack/ansible-role-atos-hsm,Core,0.0,8.108108108108109,0,3
openstack/ansible-role-systemd_mount,openstack/ansible-role-atos-hsm,Non core,0.0,0.0,0,3
openstack/ansible-role-systemd_mount,openstack/adjutant-ui,Core,6.666666666666667,2.272727272727273,2,1
openstack/ansible-role-systemd_mount,openstack/adjutant-ui,Non core,0.0,0.0,2,1
openstack/ansible-role-systemd_mount,openstack/sahara-extra,Core,5.172413793103448,1.2195121951219512,4,1
openstack/ansible-role-systemd_mount,openstack/sahara-extra,Non core,1.7241379310344827,0.0,4,1
openstack/ansible-role-systemd_mount,openstack/blazar-nova,Core,4.081632653061225,1.25,4,4
openstack/ansible-role-systemd_mount,openstack/blazar-nova,Non core,4.081632653061225,3.75,4,4
openstack/ansible-role-systemd_mount,openstack/oslo.service,Core,3.7037037037037033,2.4691358024691357,5,7
openstack/ansible-role-systemd_mount,openstack/oslo.service,Non core,0.9259259259259258,1.8518518518518516,5,7
openstack/ansible-role-systemd_mount,openstack/blazar-dashboard,Core,7.6923076923076925,2.73972602739726,6,6
openstack/ansible-role-systemd_mount,openstack/blazar-dashboard,Non core,7.6923076923076925,5.47945205479452,6,6
openstack/ansible-role-systemd_mount,openstack/paunch,Core,3.076923076923077,1.5384615384615385,4,6
openstack/ansible-role-systemd_mount,openstack/paunch,Non core,3.076923076923077,3.076923076923077,4,6
openstack/ansible-role-systemd_mount,openstack/service-types-authority,Core,5.128205128205128,2.197802197802198,3,2
openstack/ansible-role-systemd_mount,openstack/service-types-authority,Non core,2.564102564102564,0.0,3,2
openstack/ansible-role-systemd_mount,openstack/python-ironic-inspector-client,Core,4.615384615384616,1.9047619047619049,4,5
openstack/ansible-role-systemd_mount,openstack/python-ironic-inspector-client,Non core,1.5384615384615385,2.857142857142857,4,5
openstack/ansible-role-systemd_mount,openstack/openstack-ansible-memcached_server,Core,23.076923076923077,23.88059701492537,16,20
openstack/ansible-role-systemd_mount,openstack/openstack-ansible-memcached_server,Non core,7.6923076923076925,5.970149253731343,16,20
openstack/ansible-role-systemd_mount,openstack/os-testr,Core,4.545454545454546,0.9523809523809524,4,6
