projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/ansible-role-systemd_networkd,openstack/ansible-role-systemd_service,Core,46.42857142857143,52.94117647058824,20,25
openstack/ansible-role-systemd_networkd,openstack/ansible-role-systemd_service,Non core,25.0,20.588235294117645,20,25
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_keystone,Core,13.131313131313133,15.748031496062993,18,26
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_keystone,Non core,5.05050505050505,4.724409448818897,18,26
openstack/ansible-role-systemd_networkd,openstack/ansible-role-chrony,Core,0.0,6.666666666666667,3,5
openstack/ansible-role-systemd_networkd,openstack/ansible-role-chrony,Non core,8.823529411764707,4.444444444444445,3,5
openstack/ansible-role-systemd_networkd,openstack/cloudkitty-tempest-plugin,Core,4.878048780487805,1.8518518518518516,4,5
openstack/ansible-role-systemd_networkd,openstack/cloudkitty-tempest-plugin,Non core,4.878048780487805,7.4074074074074066,4,5
openstack/ansible-role-systemd_networkd,openstack/oslo.config,Core,1.5873015873015872,1.2307692307692308,6,10
openstack/ansible-role-systemd_networkd,openstack/oslo.config,Non core,1.5873015873015872,1.8461538461538463,6,10
openstack/ansible-role-systemd_networkd,openstack/senlin-tempest-plugin,Core,6.976744186046512,3.278688524590164,3,5
openstack/ansible-role-systemd_networkd,openstack/senlin-tempest-plugin,Non core,0.0,4.918032786885246,3,5
openstack/ansible-role-systemd_networkd,openstack/heat-tempest-plugin,Core,6.8181818181818175,1.4705882352941175,4,5
openstack/ansible-role-systemd_networkd,openstack/heat-tempest-plugin,Non core,2.272727272727273,5.88235294117647,4,5
openstack/ansible-role-systemd_networkd,openstack/freezer-tempest-plugin,Core,5.0,0.0,5,3
openstack/ansible-role-systemd_networkd,openstack/freezer-tempest-plugin,Non core,7.5,5.454545454545454,5,3
openstack/ansible-role-systemd_networkd,openstack/monasca-tempest-plugin,Core,6.382978723404255,1.5873015873015872,6,5
openstack/ansible-role-systemd_networkd,openstack/monasca-tempest-plugin,Non core,6.382978723404255,6.349206349206349,6,5
openstack/ansible-role-systemd_networkd,openstack/stackviz,Core,5.88235294117647,3.225806451612903,4,7
openstack/ansible-role-systemd_networkd,openstack/stackviz,Non core,1.9607843137254901,8.064516129032258,4,7
openstack/ansible-role-systemd_networkd,openstack/kayobe-config-dev,Core,6.451612903225806,2.2222222222222223,3,1
openstack/ansible-role-systemd_networkd,openstack/kayobe-config-dev,Non core,3.225806451612903,0.0,3,1
openstack/ansible-role-systemd_networkd,openstack/pbr,Core,1.5873015873015872,0.9900990099009901,3,8
openstack/ansible-role-systemd_networkd,openstack/pbr,Non core,0.7936507936507936,2.9702970297029703,3,8
openstack/ansible-role-systemd_networkd,openstack/oslo.cache,Core,5.681818181818182,3.048780487804878,6,9
openstack/ansible-role-systemd_networkd,openstack/oslo.cache,Non core,1.1363636363636365,2.4390243902439024,6,9
openstack/ansible-role-systemd_networkd,openstack/charm-ceph-rbd-mirror,Core,0.0,0.0,0,3
openstack/ansible-role-systemd_networkd,openstack/charm-ceph-rbd-mirror,Non core,0.0,6.521739130434782,0,3
openstack/ansible-role-systemd_networkd,openstack/ansible-config_template,Core,20.51282051282051,26.31578947368421,15,24
openstack/ansible-role-systemd_networkd,openstack/ansible-config_template,Non core,17.94871794871795,15.789473684210526,15,24
openstack/ansible-role-systemd_networkd,openstack/designate-dashboard,Core,3.7037037037037033,3.90625,5,9
openstack/ansible-role-systemd_networkd,openstack/designate-dashboard,Non core,2.4691358024691357,3.125,5,9
openstack/ansible-role-systemd_networkd,openstack/charm-interface-cinder-backend,Core,0.0,0.0,0,0
openstack/ansible-role-systemd_networkd,openstack/charm-interface-cinder-backend,Non core,0.0,0.0,0,0
openstack/ansible-role-systemd_networkd,openstack/cyborg-specs,Core,4.545454545454546,1.25,3,4
openstack/ansible-role-systemd_networkd,openstack/cyborg-specs,Non core,2.272727272727273,3.75,3,4
openstack/ansible-role-systemd_networkd,openstack/python-mistralclient,Core,2.2900763358778624,0.5376344086021506,5,6
openstack/ansible-role-systemd_networkd,openstack/python-mistralclient,Non core,1.5267175572519083,2.6881720430107525,5,6
openstack/ansible-role-systemd_networkd,openstack/ha-guide,Core,1.2658227848101267,2.2388059701492535,1,4
openstack/ansible-role-systemd_networkd,openstack/ha-guide,Non core,0.0,0.7462686567164178,1,4
openstack/ansible-role-systemd_networkd,openstack/watcher,Core,1.5625,0.7905138339920948,7,8
openstack/ansible-role-systemd_networkd,openstack/watcher,Non core,2.083333333333333,2.371541501976284,7,8
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_cloudkitty,Core,21.818181818181817,30.64516129032258,17,22
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_cloudkitty,Non core,9.090909090909092,4.838709677419355,17,22
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_cinder,Core,12.871287128712872,15.2,18,29
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_cinder,Non core,4.9504950495049505,8.0,18,29
openstack/ansible-role-systemd_networkd,openstack/openstack-health,Core,4.761904761904762,0.8849557522123894,5,5
openstack/ansible-role-systemd_networkd,openstack/openstack-health,Non core,3.1746031746031744,3.5398230088495577,5,5
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_swift,Core,16.091954022988507,20.2020202020202,19,28
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_swift,Non core,5.747126436781609,8.080808080808081,19,28
openstack/ansible-role-systemd_networkd,openstack/masakari-specs,Core,7.317073170731707,1.4925373134328357,4,4
openstack/ansible-role-systemd_networkd,openstack/masakari-specs,Non core,2.4390243902439024,4.477611940298507,4,4
openstack/ansible-role-systemd_networkd,openstack/telemetry-specs,Core,3.6585365853658534,0.6896551724137931,3,1
openstack/ansible-role-systemd_networkd,openstack/telemetry-specs,Non core,0.0,0.0,3,1
openstack/ansible-role-systemd_networkd,openstack/osprofiler,Core,3.0,1.5037593984962405,6,7
openstack/ansible-role-systemd_networkd,openstack/osprofiler,Non core,3.0,3.7593984962406015,6,7
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_trove,Core,19.672131147540984,26.76056338028169,16,25
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_trove,Non core,6.557377049180328,8.450704225352112,16,25
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_manila,Core,28.125,43.58974358974359,12,19
openstack/ansible-role-systemd_networkd,openstack/openstack-ansible-os_manila,Non core,9.375,5.128205128205128,12,19
openstack/ansible-role-systemd_networkd,openstack/ansible-hardening,Core,27.27272727272727,29.6875,17,25
openstack/ansible-role-systemd_networkd,openstack/ansible-hardening,Non core,11.363636363636363,9.375,17,25
openstack/ansible-role-systemd_networkd,openstack/barbican-specs,Core,3.0303030303030303,0.8695652173913043,5,1
openstack/ansible-role-systemd_networkd,openstack/barbican-specs,Non core,4.545454545454546,0.0,5,1
openstack/ansible-role-systemd_networkd,openstack/python-heatclient,Core,1.530612244897959,1.2658227848101267,4,8
openstack/ansible-role-systemd_networkd,openstack/python-heatclient,Non core,0.5102040816326531,1.2658227848101267,4,8
openstack/ansible-role-systemd_networkd,openstack/oslo.versionedobjects,Core,2.6785714285714284,1.257861635220126,4,3
openstack/ansible-role-systemd_networkd,openstack/oslo.versionedobjects,Non core,0.8928571428571428,0.628930817610063,4,3
openstack/ansible-role-systemd_networkd,openstack/os-api-ref,Core,4.838709677419355,1.1764705882352942,5,1
