projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/ansible-role-tripleo-cookiecutter,openstack/tripleo-ui,Core,12.82051282051282,6.493506493506493,7,8
openstack/ansible-role-tripleo-cookiecutter,openstack/tripleo-ui,Non core,5.128205128205128,3.896103896103896,7,8
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-ovn,Core,25.0,33.33333333333333,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-ovn,Non core,25.0,6.666666666666667,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-opendaylight,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-opendaylight,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-octavia,Core,23.076923076923077,29.411764705882355,5,5
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-octavia,Non core,15.384615384615385,0.0,5,5
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-nova,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-nova,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/os-cloud-config,Core,8.620689655172415,4.901960784313726,5,7
openstack/ansible-role-tripleo-cookiecutter,openstack/os-cloud-config,Non core,0.0,1.9607843137254901,5,7
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-zaqar,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-zaqar,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-tempest,Core,25.0,33.33333333333333,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-tempest,Non core,25.0,6.666666666666667,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-sahara,Core,25.0,33.33333333333333,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-sahara,Non core,25.0,6.666666666666667,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-swift,Core,25.0,33.33333333333333,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-swift,Non core,25.0,6.666666666666667,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-tacker,Core,25.0,33.33333333333333,6,7
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-tacker,Non core,25.0,13.333333333333334,6,7
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-rsyslog-sidecar,Core,25.0,33.33333333333333,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-rsyslog-sidecar,Non core,25.0,6.666666666666667,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-rabbitmq,Core,25.0,33.33333333333333,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-rabbitmq,Non core,25.0,6.666666666666667,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-qdrouterd,Core,18.181818181818183,20.0,2,3
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-qdrouterd,Non core,0.0,0.0,2,3
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-panko,Core,25.0,33.33333333333333,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-panko,Non core,25.0,6.666666666666667,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-heat,Core,25.0,33.33333333333333,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-heat,Non core,25.0,6.666666666666667,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-haproxy,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-haproxy,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-gnocchi,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-gnocchi,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-glance,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-glance,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-designate,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-designate,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-neutron,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-neutron,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-mistral,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-mistral,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-memcached,Core,25.0,31.25,6,7
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-memcached,Non core,25.0,12.5,6,7
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-manila,Core,25.0,29.411764705882355,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-manila,Non core,25.0,5.88235294117647,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-ironic,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-ironic,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-keepalived,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-keepalived,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-horizon,Core,25.0,31.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/ansible-role-tripleo-horizon,Non core,25.0,6.25,6,6
openstack/ansible-role-tripleo-cookiecutter,openstack/pylockfile,Core,11.11111111111111,6.0606060606060606,2,2
openstack/ansible-role-tripleo-cookiecutter,openstack/pylockfile,Non core,0.0,0.0,2,2
openstack/ansible-role-tripleo-cookiecutter,openstack/xstatic-moment-timezone,Core,7.6923076923076925,0.0,1,0
openstack/ansible-role-tripleo-cookiecutter,openstack/xstatic-moment-timezone,Non core,0.0,0.0,1,0
openstack/ansible-role-tripleo-cookiecutter,openstack/xstatic-dagre-d3,Core,7.6923076923076925,0.0,1,0
openstack/ansible-role-tripleo-cookiecutter,openstack/xstatic-dagre-d3,Non core,0.0,0.0,1,0
openstack/ansible-role-tripleo-cookiecutter,openstack/xstatic-dagre,Core,0.0,0.0,0,0
openstack/ansible-role-tripleo-cookiecutter,openstack/xstatic-dagre,Non core,0.0,0.0,0,0
openstack/ansible-role-tripleo-cookiecutter,openstack/dragonflow,Core,3.0534351145038165,0.9900990099009901,5,5
openstack/ansible-role-tripleo-cookiecutter,openstack/dragonflow,Non core,0.7633587786259541,1.4851485148514851,5,5
openstack/ansible-role-tripleo-cookiecutter,openstack/openstack,Core,6.666666666666667,3.125,1,1
