projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/ansible-role-tripleo-modify-image,openstack/requestsexceptions,Core,2.7027027027027026,0.0,1,2
openstack/ansible-role-tripleo-modify-image,openstack/requestsexceptions,Non core,0.0,2.5,1,2
openstack/ansible-role-tripleo-modify-image,openstack/panko,Core,7.291666666666667,4.697986577181208,7,18
openstack/ansible-role-tripleo-modify-image,openstack/panko,Non core,0.0,7.38255033557047,7,18
openstack/ansible-role-tripleo-modify-image,openstack/api-sig,Core,2.5,1.5810276679841897,2,7
openstack/ansible-role-tripleo-modify-image,openstack/api-sig,Non core,0.0,1.185770750988142,2,7
openstack/ansible-role-tripleo-modify-image,openstack/openstack-chef-specs,Core,3.8461538461538463,1.0416666666666665,2,4
openstack/ansible-role-tripleo-modify-image,openstack/openstack-chef-specs,Non core,0.0,3.125,2,4
openstack/ansible-role-tripleo-modify-image,openstack/freezer-specs,Core,4.0,1.098901098901099,2,1
openstack/ansible-role-tripleo-modify-image,openstack/freezer-specs,Non core,0.0,0.0,2,1
openstack/ansible-role-tripleo-modify-image,openstack/oslo.tools,Core,5.084745762711865,3.3707865168539324,4,5
openstack/ansible-role-tripleo-modify-image,openstack/oslo.tools,Non core,1.694915254237288,2.247191011235955,4,5
openstack/ansible-role-tripleo-modify-image,openstack/microversion-parse,Core,5.405405405405405,3.896103896103896,3,3
openstack/ansible-role-tripleo-modify-image,openstack/microversion-parse,Non core,2.7027027027027026,0.0,3,3
openstack/ansible-role-tripleo-modify-image,openstack/openstackclient,Core,5.769230769230769,3.1578947368421053,3,5
openstack/ansible-role-tripleo-modify-image,openstack/openstackclient,Non core,0.0,2.1052631578947367,3,5
openstack/ansible-role-tripleo-modify-image,openstack/ossa,Core,4.0,3.389830508474576,2,8
openstack/ansible-role-tripleo-modify-image,openstack/ossa,Non core,0.0,3.389830508474576,2,8
openstack/ansible-role-tripleo-modify-image,openstack/reviewstats,Core,2.857142857142857,3.389830508474576,3,9
openstack/ansible-role-tripleo-modify-image,openstack/reviewstats,Non core,0.0,1.694915254237288,3,9
openstack/ansible-role-tripleo-modify-image,openstack/oslo-cookiecutter,Core,6.122448979591836,3.260869565217391,4,5
openstack/ansible-role-tripleo-modify-image,openstack/oslo-cookiecutter,Non core,2.0408163265306123,2.1739130434782608,4,5
openstack/ansible-role-tripleo-modify-image,openstack/openstack-helm-deployments,Core,0.0,0.0,0,0
openstack/ansible-role-tripleo-modify-image,openstack/openstack-helm-deployments,Non core,0.0,0.0,0,0
openstack/ansible-role-tripleo-modify-image,openstack/security-analysis,Core,5.555555555555555,2.3255813953488373,3,3
openstack/ansible-role-tripleo-modify-image,openstack/security-analysis,Non core,2.7777777777777777,1.1627906976744187,3,3
openstack/ansible-role-tripleo-modify-image,openstack/charm-cinder-ibm-storwize-svc,Core,0.0,0.0,0,0
openstack/ansible-role-tripleo-modify-image,openstack/charm-cinder-ibm-storwize-svc,Non core,0.0,0.0,0,0
openstack/ansible-role-tripleo-modify-image,openstack/ansible-role-tripleo-keystone,Core,6.25,4.615384615384616,5,5
openstack/ansible-role-tripleo-modify-image,openstack/ansible-role-tripleo-keystone,Non core,9.375,3.076923076923077,5,5
openstack/ansible-role-tripleo-modify-image,openstack/openstack-ansible-apt_package_pinning,Core,4.838709677419355,2.9702970297029703,5,7
openstack/ansible-role-tripleo-modify-image,openstack/openstack-ansible-apt_package_pinning,Non core,3.225806451612903,3.9603960396039604,5,7
openstack/ansible-role-tripleo-modify-image,openstack/ansible-role-qdrouterd,Core,5.0,4.545454545454546,3,7
openstack/ansible-role-tripleo-modify-image,openstack/ansible-role-qdrouterd,Non core,2.5,3.4090909090909087,3,7
openstack/ansible-role-tripleo-modify-image,openstack/openstack-ansible-openstack_openrc,Core,4.10958904109589,2.7522935779816518,5,8
openstack/ansible-role-tripleo-modify-image,openstack/openstack-ansible-openstack_openrc,Non core,2.73972602739726,4.587155963302752,5,8
openstack/ansible-role-tripleo-modify-image,openstack/openstack-ansible-nspawn_container_create,Core,6.521739130434782,3.4090909090909087,6,9
openstack/ansible-role-tripleo-modify-image,openstack/openstack-ansible-nspawn_container_create,Non core,6.521739130434782,6.8181818181818175,6,9
openstack/ansible-role-tripleo-modify-image,openstack/devstack-tools,Core,4.545454545454546,1.282051282051282,4,4
openstack/ansible-role-tripleo-modify-image,openstack/devstack-tools,Non core,4.545454545454546,3.8461538461538463,4,4
openstack/ansible-role-tripleo-modify-image,openstack/coverage2sql,Core,6.0,1.2658227848101267,5,6
openstack/ansible-role-tripleo-modify-image,openstack/coverage2sql,Non core,4.0,6.329113924050633,5,6
openstack/ansible-role-tripleo-modify-image,openstack/bashate,Core,5.263157894736842,3.4782608695652173,4,5
openstack/ansible-role-tripleo-modify-image,openstack/bashate,Non core,0.0,0.8695652173913043,4,5
openstack/ansible-role-tripleo-modify-image,openstack/hacking,Core,3.5398230088495577,1.8867924528301887,5,9
openstack/ansible-role-tripleo-modify-image,openstack/hacking,Non core,0.8849557522123894,2.358490566037736,5,9
openstack/ansible-role-tripleo-modify-image,openstack/xstatic-mdi,Core,2.7777777777777777,0.0,1,0
openstack/ansible-role-tripleo-modify-image,openstack/xstatic-mdi,Non core,0.0,0.0,1,0
openstack/ansible-role-tripleo-modify-image,openstack/xstatic-roboto-fontface,Core,2.857142857142857,0.0,1,0
