projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/aodh,openstack/operations-guide,Core,3.463203463203463,3.313253012048193,12,17
openstack/aodh,openstack/operations-guide,Non core,1.7316017316017316,1.8072289156626504,12,17
openstack/aodh,openstack/contributor-guide,Core,5.172413793103448,4.166666666666666,13,21
openstack/aodh,openstack/contributor-guide,Non core,2.2988505747126435,4.583333333333333,13,21
openstack/aodh,openstack/charm-ceph-radosgw,Core,2.2857142857142856,1.36986301369863,12,10
openstack/aodh,openstack/charm-ceph-radosgw,Non core,4.571428571428571,3.1963470319634704,12,10
openstack/aodh,openstack/python-aodhclient,Core,10.119047619047619,12.857142857142856,35,59
openstack/aodh,openstack/python-aodhclient,Non core,10.714285714285714,15.238095238095239,35,59
openstack/aodh,openstack/ec2-api,Core,7.4074074074074066,5.394190871369295,26,27
openstack/aodh,openstack/ec2-api,Non core,6.349206349206349,5.809128630705394,26,27
openstack/aodh,openstack/ec2api-tempest-plugin,Core,2.5806451612903225,1.477832512315271,9,3
openstack/aodh,openstack/ec2api-tempest-plugin,Non core,3.225806451612903,0.0,9,3
openstack/aodh,openstack/openstack-manuals,Core,3.170028818443804,3.1294452347083923,63,98
openstack/aodh,openstack/openstack-manuals,Non core,2.881844380403458,3.8406827880512093,63,98
openstack/aodh,openstack/security-doc,Core,3.3333333333333335,3.416856492027335,17,30
openstack/aodh,openstack/security-doc,Non core,2.9629629629629632,3.416856492027335,17,30
openstack/aodh,openstack/openstack-ansible-openstack_hosts,Core,3.9215686274509802,2.6923076923076925,14,19
openstack/aodh,openstack/openstack-ansible-openstack_hosts,Non core,2.941176470588235,4.615384615384616,14,19
openstack/aodh,openstack/magnum-ui,Core,5.263157894736842,3.214285714285714,19,20
openstack/aodh,openstack/magnum-ui,Non core,4.736842105263158,3.9285714285714284,19,20
openstack/aodh,openstack/charm-specs,Core,2.185792349726776,1.7777777777777777,7,9
openstack/aodh,openstack/charm-specs,Non core,1.639344262295082,2.2222222222222223,7,9
openstack/aodh,openstack/ceilometer-powervm,Core,5.421686746987952,3.361344537815126,15,18
openstack/aodh,openstack/ceilometer-powervm,Non core,3.614457831325301,4.201680672268908,15,18
openstack/aodh,openstack/sahara-dashboard,Core,5.213270142180095,3.731343283582089,24,23
openstack/aodh,openstack/sahara-dashboard,Non core,6.161137440758294,4.850746268656716,24,23
openstack/aodh,openstack/freezer-web-ui,Core,5.181347150259067,3.9215686274509802,14,25
openstack/aodh,openstack/freezer-web-ui,Non core,2.072538860103627,5.88235294117647,14,25
openstack/aodh,openstack/neutron-fwaas-dashboard,Core,3.7037037037037033,2.5316455696202533,10,18
openstack/aodh,openstack/neutron-fwaas-dashboard,Non core,2.4691358024691357,5.063291139240507,10,18
openstack/aodh,openstack/neutron-vpnaas-dashboard,Core,4.430379746835443,1.345291479820628,13,11
