projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/app-catalog,openstack/deb-python-fixtures,Core,0.0,0.0,1,1
openstack/app-catalog,openstack/deb-python-fixtures,Non core,1.5873015873015872,1.4705882352941175,1,1
openstack/app-catalog,openstack/python-magnetodbclient,Core,0.0,0.0,0,1
openstack/app-catalog,openstack/python-magnetodbclient,Non core,0.0,1.3157894736842104,0,1
openstack/app-catalog,openstack/app-catalog-ui,Core,10.9375,12.676056338028168,7,13
openstack/app-catalog,openstack/app-catalog-ui,Non core,0.0,5.633802816901409,7,13
openstack/app-catalog,openstack/salt-formula-kubernetes,Core,1.4925373134328357,0.0,1,2
openstack/app-catalog,openstack/salt-formula-kubernetes,Non core,0.0,2.7777777777777777,1,2
openstack/app-catalog,openstack/app-catalog-common,Core,3.225806451612903,4.545454545454546,2,4
openstack/app-catalog,openstack/app-catalog-common,Non core,0.0,1.5151515151515151,2,4
openstack/app-catalog,openstack/python-appcatalogclient,Core,3.1746031746031744,9.090909090909092,3,7
openstack/app-catalog,openstack/python-appcatalogclient,Non core,1.5873015873015872,1.5151515151515151,3,7
openstack/app-catalog,openstack/deb-python-kmip,Core,0.0,0.0,0,0
openstack/app-catalog,openstack/deb-python-kmip,Non core,0.0,0.0,0,0
openstack/app-catalog,openstack/deb-nova,Core,0.0,0.0,1,1
openstack/app-catalog,openstack/deb-nova,Non core,1.5384615384615385,1.4285714285714286,1,1
openstack/app-catalog,openstack/deb-kazoo,Core,0.0,0.0,1,1
openstack/app-catalog,openstack/deb-kazoo,Non core,1.5873015873015872,1.4492753623188406,1,1
openstack/app-catalog,openstack/deb-python-congressclient,Core,0.0,0.0,1,1
openstack/app-catalog,openstack/deb-python-congressclient,Non core,1.5625,1.4492753623188406,1,1
openstack/app-catalog,openstack/deb-congress,Core,0.0,0.0,0,1
openstack/app-catalog,openstack/deb-congress,Non core,0.0,1.4925373134328357,0,1
openstack/app-catalog,openstack/deb-python-os-net-config,Core,0.0,0.0,0,1
openstack/app-catalog,openstack/deb-python-os-net-config,Non core,0.0,1.4705882352941175,0,1
openstack/app-catalog,openstack/deb-ironic,Core,0.0,0.0,1,1
openstack/app-catalog,openstack/deb-ironic,Non core,1.5384615384615385,1.4084507042253522,1,1
openstack/app-catalog,openstack/deb-swauth,Core,0.0,0.0,0,1
openstack/app-catalog,openstack/deb-swauth,Non core,0.0,1.4705882352941175,0,1
openstack/app-catalog,openstack/deb-python-os-api-ref,Core,0.0,0.0,1,1
openstack/app-catalog,openstack/deb-python-os-api-ref,Non core,1.5625,1.4492753623188406,1,1
openstack/app-catalog,openstack/deb-designate,Core,0.0,0.0,1,1
openstack/app-catalog,openstack/deb-designate,Non core,1.5625,1.4285714285714286,1,1
openstack/app-catalog,openstack/deb-swift,Core,0.0,0.0,0,1
openstack/app-catalog,openstack/deb-swift,Non core,0.0,1.4492753623188406,0,1
openstack/app-catalog,openstack/deb-manila-ui,Core,0.0,0.0,1,1
openstack/app-catalog,openstack/deb-manila-ui,Non core,1.5625,1.4492753623188406,1,1
openstack/app-catalog,openstack/deb-barbican,Core,0.0,0.0,1,1
