projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/automaton,openstack/debtcollector,Core,16.94915254237288,21.666666666666668,19,29
openstack/automaton,openstack/debtcollector,Non core,15.254237288135593,26.666666666666668,19,29
openstack/automaton,openstack/vitrage-dashboard,Core,5.555555555555555,3.669724770642202,11,6
openstack/automaton,openstack/vitrage-dashboard,Non core,6.666666666666667,1.834862385321101,11,6
openstack/automaton,openstack/oslotest,Core,11.842105263157894,11.320754716981133,19,29
openstack/automaton,openstack/oslotest,Non core,13.157894736842104,16.037735849056602,19,29
openstack/automaton,openstack/kayobe-config,Core,2.3255813953488373,1.8867924528301887,2,1
openstack/automaton,openstack/kayobe-config,Non core,2.3255813953488373,0.0,2,1
openstack/automaton,openstack/compute-hyperv,Core,6.666666666666667,5.194805194805195,8,10
openstack/automaton,openstack/compute-hyperv,Non core,6.666666666666667,7.792207792207792,8,10
openstack/automaton,openstack/python-cloudkittyclient,Core,6.024096385542169,4.807692307692308,13,13
openstack/automaton,openstack/python-cloudkittyclient,Non core,9.63855421686747,7.6923076923076925,13,13
openstack/automaton,openstack/charm-interface-keystone,Core,4.444444444444445,1.694915254237288,4,4
openstack/automaton,openstack/charm-interface-keystone,Non core,4.444444444444445,5.084745762711865,4,4
openstack/automaton,openstack/cloudkitty-dashboard,Core,4.10958904109589,3.6363636363636362,8,13
openstack/automaton,openstack/cloudkitty-dashboard,Non core,6.8493150684931505,8.181818181818182,8,13
openstack/automaton,openstack/networking-hyperv,Core,8.0,3.488372093023256,12,12
openstack/automaton,openstack/networking-hyperv,Non core,8.0,10.465116279069768,12,12
openstack/automaton,openstack/i18n,Core,5.555555555555555,4.716981132075472,5,11
openstack/automaton,openstack/i18n,Non core,1.3888888888888888,5.660377358490567,5,11
openstack/automaton,openstack/sahara-tests,Core,5.797101449275362,4.761904761904762,4,8
openstack/automaton,openstack/sahara-tests,Non core,0.0,2.857142857142857,4,8
openstack/automaton,openstack/python-zunclient,Core,6.862745098039216,2.857142857142857,16,10
openstack/automaton,openstack/python-zunclient,Non core,8.823529411764707,4.285714285714286,16,10
openstack/automaton,openstack/sahara-plugin-cdh,Core,7.142857142857142,6.666666666666667,5,8
openstack/automaton,openstack/sahara-plugin-cdh,Non core,4.761904761904762,6.666666666666667,5,8
openstack/automaton,openstack/monasca-ui,Core,6.0606060606060606,1.8518518518518516,12,15
openstack/automaton,openstack/monasca-ui,Non core,6.0606060606060606,7.4074074074074066,12,15
openstack/automaton,openstack/python-adjutantclient,Core,9.523809523809524,5.555555555555555,4,5
openstack/automaton,openstack/python-adjutantclient,Non core,0.0,3.7037037037037033,4,5
openstack/automaton,openstack/charm-ceph-nfs,Core,0.0,0.0,0,0
openstack/automaton,openstack/charm-ceph-nfs,Non core,0.0,0.0,0,0
openstack/automaton,openstack/ansible-role-lunasa-hsm,Core,2.857142857142857,2.083333333333333,1,3
openstack/automaton,openstack/ansible-role-lunasa-hsm,Non core,0.0,4.166666666666666,1,3
openstack/automaton,openstack/monasca-thresh,Core,1.694915254237288,1.1494252873563218,3,5
openstack/automaton,openstack/monasca-thresh,Non core,3.389830508474576,4.597701149425287,3,5
openstack/automaton,openstack/heat-specs,Core,1.9417475728155338,4.128440366972478,2,12
openstack/automaton,openstack/heat-specs,Non core,0.0,1.3761467889908259,2,12
openstack/automaton,openstack/watcher-dashboard,Core,8.108108108108109,2.8846153846153846,10,9
