projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/bifrost,openstack/designate-tempest-plugin,Core,3.614457831325301,2.7906976744186047,10,15
openstack/bifrost,openstack/designate-tempest-plugin,Non core,2.4096385542168677,4.186046511627907,10,15
openstack/bifrost,openstack/osc-placement,Core,2.564102564102564,6.103286384976526,4,25
openstack/bifrost,openstack/osc-placement,Non core,0.0,5.633802816901409,4,25
openstack/bifrost,openstack/loci,Core,2.4242424242424243,2.4691358024691357,4,14
openstack/bifrost,openstack/loci,Non core,0.0,3.292181069958848,4,14
openstack/bifrost,openstack/devstack-plugin-ceph,Core,4.069767441860465,4.132231404958678,8,17
openstack/bifrost,openstack/devstack-plugin-ceph,Non core,0.5813953488372093,2.8925619834710745,8,17
openstack/bifrost,openstack/charm-guide,Core,1.6042780748663104,0.4761904761904762,7,5
openstack/bifrost,openstack/charm-guide,Non core,2.13903743315508,1.9047619047619049,7,5
openstack/bifrost,openstack/openstack-zuul-jobs,Core,9.30232558139535,8.157894736842106,26,43
openstack/bifrost,openstack/openstack-zuul-jobs,Non core,0.7751937984496124,3.1578947368421053,26,43
openstack/bifrost,openstack/os-traits,Core,2.941176470588235,4.504504504504505,7,18
openstack/bifrost,openstack/os-traits,Non core,1.1764705882352942,3.6036036036036037,7,18
openstack/bifrost,openstack/python-novaclient,Core,3.710575139146568,3.8821954484605086,33,62
openstack/bifrost,openstack/python-novaclient,Non core,2.411873840445269,4.417670682730924,33,62
openstack/bifrost,openstack/solum,Core,5.381165919282512,5.2264808362369335,20,25
openstack/bifrost,openstack/solum,Non core,3.587443946188341,3.484320557491289,20,25
openstack/bifrost,openstack/murano,Core,3.64741641337386,3.303964757709251,25,41
openstack/bifrost,openstack/murano,Non core,3.951367781155015,5.726872246696035,25,41
openstack/bifrost,openstack/murano-dashboard,Core,4.680851063829787,2.7950310559006213,20,24
openstack/bifrost,openstack/murano-dashboard,Non core,3.829787234042553,4.658385093167702,20,24
openstack/bifrost,openstack/murano-pkg-check,Core,4.054054054054054,0.5235602094240838,9,5
openstack/bifrost,openstack/murano-pkg-check,Non core,2.027027027027027,2.094240837696335,9,5
openstack/bifrost,openstack/murano-agent,Core,4.166666666666666,1.702127659574468,12,14
openstack/bifrost,openstack/murano-agent,Non core,2.083333333333333,4.25531914893617,12,14
openstack/bifrost,openstack/octavia,Core,3.581267217630854,3.9355992844364938,32,49
openstack/bifrost,openstack/octavia,Non core,5.234159779614325,4.83005366726297,32,49
openstack/bifrost,openstack/charm-nova-compute,Core,1.507537688442211,2.1459227467811157,5,11
openstack/bifrost,openstack/charm-nova-compute,Non core,1.0050251256281406,2.575107296137339,5,11
openstack/bifrost,openstack/keystone,Core,3.751803751803752,3.1164069660861595,43,75
openstack/bifrost,openstack/keystone,Non core,2.4531024531024532,3.758020164986251,43,75
openstack/bifrost,openstack/openstack-helm-images,Core,2.127659574468085,2.013422818791946,6,13
openstack/bifrost,openstack/openstack-helm-images,Non core,1.0638297872340425,2.348993288590604,6,13
openstack/bifrost,openstack/python-cinderclient,Core,3.414634146341464,3.0211480362537766,26,52
openstack/bifrost,openstack/python-cinderclient,Non core,2.9268292682926833,4.833836858006042,26,52
openstack/bifrost,openstack/cinderlib,Core,3.4482758620689653,2.564102564102564,6,12
openstack/bifrost,openstack/cinderlib,Non core,0.6896551724137931,3.5897435897435894,6,12
openstack/bifrost,openstack/keystone-specs,Core,2.843601895734597,3.640776699029126,11,33
openstack/bifrost,openstack/keystone-specs,Non core,2.3696682464454977,4.368932038834951,11,33
openstack/bifrost,openstack/os-brick,Core,3.146853146853147,3.382663847780127,14,39
openstack/bifrost,openstack/os-brick,Non core,1.7482517482517483,4.862579281183932,14,39
openstack/bifrost,openstack/ansible-collection-kolla,Core,2.2222222222222223,2.824858757062147,3,8
openstack/bifrost,openstack/ansible-collection-kolla,Non core,0.0,1.694915254237288,3,8
openstack/bifrost,openstack/horizon,Core,2.9748283752860414,2.356902356902357,46,80
openstack/bifrost,openstack/horizon,Non core,2.2883295194508007,3.0303030303030303,46,80
openstack/bifrost,openstack/mistral-extra,Core,3.067484662576687,2.28310502283105,9,14
openstack/bifrost,openstack/mistral-extra,Non core,2.4539877300613497,4.10958904109589,9,14
openstack/bifrost,openstack/puppet-pacemaker,Core,3.048780487804878,2.0491803278688523,9,12
openstack/bifrost,openstack/puppet-pacemaker,Non core,2.4390243902439024,2.8688524590163933,9,12
openstack/bifrost,openstack/charm-trilio-data-mover,Core,0.0,0.0,0,0
openstack/bifrost,openstack/charm-trilio-data-mover,Non core,0.0,0.0,0,0
openstack/bifrost,openstack/glance-tempest-plugin,Core,0.7299270072992701,0.5586592178770949,1,1
openstack/bifrost,openstack/glance-tempest-plugin,Non core,0.0,0.0,1,1
openstack/bifrost,openstack/charm-ops-sunbeam,Core,0.0,0.0,0,0
