projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/blazar-dashboard,openstack/paunch,Core,5.88235294117647,4.72972972972973,6,15
openstack/blazar-dashboard,openstack/paunch,Non core,2.941176470588235,5.405405405405405,6,15
openstack/blazar-dashboard,openstack/service-types-authority,Core,7.142857142857142,5.3097345132743365,5,7
openstack/blazar-dashboard,openstack/service-types-authority,Non core,4.761904761904762,0.8849557522123894,5,7
openstack/blazar-dashboard,openstack/python-ironic-inspector-client,Core,5.970149253731343,4.166666666666666,7,17
openstack/blazar-dashboard,openstack/python-ironic-inspector-client,Non core,4.477611940298507,10.0,7,17
openstack/blazar-dashboard,openstack/openstack-ansible-memcached_server,Core,4.545454545454546,0.9900990099009901,7,13
openstack/blazar-dashboard,openstack/openstack-ansible-memcached_server,Non core,6.0606060606060606,11.881188118811881,7,13
openstack/blazar-dashboard,openstack/os-testr,Core,5.970149253731343,4.958677685950414,8,17
openstack/blazar-dashboard,openstack/os-testr,Non core,5.970149253731343,9.090909090909092,8,17
openstack/blazar-dashboard,openstack/openstack-ansible-ceph_client,Core,4.225352112676056,1.7857142857142856,7,14
openstack/blazar-dashboard,openstack/openstack-ansible-ceph_client,Non core,5.633802816901409,10.714285714285714,7,14
openstack/blazar-dashboard,openstack/openstack-ansible-os_magnum,Core,4.0,3.361344537815126,7,15
openstack/blazar-dashboard,openstack/openstack-ansible-os_magnum,Non core,5.333333333333334,9.243697478991598,7,15
openstack/blazar-dashboard,openstack/openstack-ansible-os_blazar,Core,6.122448979591836,6.097560975609756,7,15
openstack/blazar-dashboard,openstack/openstack-ansible-os_blazar,Non core,8.16326530612245,12.195121951219512,7,15
openstack/blazar-dashboard,openstack/openstack-ansible-os_designate,Core,3.79746835443038,3.2520325203252036,8,18
openstack/blazar-dashboard,openstack/openstack-ansible-os_designate,Non core,6.329113924050633,11.38211382113821,8,18
openstack/blazar-dashboard,openstack/openstack-ansible-os_gnocchi,Core,3.8461538461538463,2.7777777777777777,7,17
openstack/blazar-dashboard,openstack/openstack-ansible-os_gnocchi,Non core,5.128205128205128,12.962962962962962,7,17
openstack/blazar-dashboard,openstack/openstack-ansible-os_senlin,Core,0.0,0.0,0,1
openstack/blazar-dashboard,openstack/openstack-ansible-os_senlin,Non core,0.0,1.5625,0,1
openstack/blazar-dashboard,openstack/ptgbot,Core,5.128205128205128,5.263157894736842,2,6
openstack/blazar-dashboard,openstack/ptgbot,Non core,0.0,2.631578947368421,2,6
openstack/blazar-dashboard,openstack/openstack-ansible-os_zun,Core,6.25,3.7037037037037033,7,12
openstack/blazar-dashboard,openstack/openstack-ansible-os_zun,Non core,8.333333333333332,11.11111111111111,7,12
openstack/blazar-dashboard,openstack/openstack-ansible-repo_server,Core,3.9473684210526314,1.6666666666666667,7,11
openstack/blazar-dashboard,openstack/openstack-ansible-repo_server,Non core,5.263157894736842,7.5,7,11
openstack/blazar-dashboard,openstack/python-watcherclient,Core,2.912621359223301,6.896551724137931,7,20
openstack/blazar-dashboard,openstack/python-watcherclient,Non core,3.8834951456310676,10.344827586206897,7,20
openstack/blazar-dashboard,openstack/heat-agents,Core,4.918032786885246,7.377049180327869,3,19
openstack/blazar-dashboard,openstack/heat-agents,Non core,0.0,8.19672131147541,3,19
openstack/blazar-dashboard,openstack/oslo.rootwrap,Core,5.555555555555555,5.844155844155844,9,18
openstack/blazar-dashboard,openstack/oslo.rootwrap,Non core,4.444444444444445,5.844155844155844,9,18
openstack/blazar-dashboard,openstack/automaton,Core,6.0,4.545454545454546,8,10
openstack/blazar-dashboard,openstack/automaton,Non core,10.0,6.8181818181818175,8,10
openstack/blazar-dashboard,openstack/debtcollector,Core,9.67741935483871,5.813953488372093,8,11
openstack/blazar-dashboard,openstack/debtcollector,Non core,3.225806451612903,6.976744186046512,8,11
openstack/blazar-dashboard,openstack/vitrage-dashboard,Core,4.878048780487805,7.6190476190476195,11,18
openstack/blazar-dashboard,openstack/vitrage-dashboard,Non core,8.536585365853659,9.523809523809524,11,18
openstack/blazar-dashboard,openstack/oslotest,Core,5.0,7.258064516129033,7,19
openstack/blazar-dashboard,openstack/oslotest,Non core,3.75,8.064516129032258,7,19
openstack/blazar-dashboard,openstack/kayobe-config,Core,8.823529411764707,5.084745762711865,3,3
openstack/blazar-dashboard,openstack/kayobe-config,Non core,0.0,0.0,3,3
openstack/blazar-dashboard,openstack/compute-hyperv,Core,5.555555555555555,3.488372093023256,6,9
openstack/blazar-dashboard,openstack/compute-hyperv,Non core,5.555555555555555,6.976744186046512,6,9
openstack/blazar-dashboard,openstack/python-cloudkittyclient,Core,7.59493670886076,8.737864077669903,9,22
openstack/blazar-dashboard,openstack/python-cloudkittyclient,Non core,3.79746835443038,12.62135922330097,9,22
openstack/blazar-dashboard,openstack/charm-interface-keystone,Core,8.333333333333332,1.5151515151515151,5,5
openstack/blazar-dashboard,openstack/charm-interface-keystone,Non core,5.555555555555555,6.0606060606060606,5,5
openstack/blazar-dashboard,openstack/cloudkitty-dashboard,Core,9.375,8.256880733944955,9,22
openstack/blazar-dashboard,openstack/cloudkitty-dashboard,Non core,4.6875,11.926605504587156,9,22
