projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/blazar-tempest-plugin,openstack/neutron-specs,Core,0.9852216748768473,1.0084033613445378,4,11
openstack/blazar-tempest-plugin,openstack/neutron-specs,Non core,0.9852216748768473,0.8403361344537815,4,11
openstack/blazar-tempest-plugin,openstack/tooz,Core,4.807692307692308,3.4682080924855487,6,7
openstack/blazar-tempest-plugin,openstack/tooz,Non core,0.9615384615384616,0.5780346820809248,6,7
openstack/blazar-tempest-plugin,openstack/manila-specs,Core,3.4482758620689653,4.9504950495049505,4,6
openstack/blazar-tempest-plugin,openstack/manila-specs,Non core,3.4482758620689653,0.9900990099009901,4,6
openstack/blazar-tempest-plugin,openstack/glance_store,Core,2.564102564102564,2.1875,6,9
openstack/blazar-tempest-plugin,openstack/glance_store,Non core,1.282051282051282,0.625,6,9
openstack/blazar-tempest-plugin,openstack/openstack-ansible-os_neutron,Core,1.4705882352941175,1.5384615384615385,5,8
openstack/blazar-tempest-plugin,openstack/openstack-ansible-os_neutron,Non core,2.2058823529411766,2.564102564102564,5,8
openstack/blazar-tempest-plugin,openstack/os-ken,Core,7.317073170731707,3.225806451612903,4,4
openstack/blazar-tempest-plugin,openstack/os-ken,Non core,2.4390243902439024,3.225806451612903,4,4
openstack/blazar-tempest-plugin,openstack/keystoneauth,Core,2.0689655172413794,3.153153153153153,4,11
openstack/blazar-tempest-plugin,openstack/keystoneauth,Non core,0.6896551724137931,1.8018018018018018,4,11
openstack/blazar-tempest-plugin,openstack/openstack-ansible-haproxy_server,Core,3.75,0.0,5,4
openstack/blazar-tempest-plugin,openstack/openstack-ansible-haproxy_server,Non core,2.5,3.9215686274509802,5,4
openstack/blazar-tempest-plugin,openstack/grenade,Core,5.128205128205128,4.424778761061947,8,13
openstack/blazar-tempest-plugin,openstack/grenade,Non core,1.7094017094017095,1.3274336283185841,8,13
openstack/blazar-tempest-plugin,openstack/networking-midonet,Core,5.0,2.4390243902439024,8,10
openstack/blazar-tempest-plugin,openstack/networking-midonet,Non core,3.0,2.4390243902439024,8,10
openstack/blazar-tempest-plugin,openstack/python-ironicclient,Core,2.7027027027027026,1.6233766233766231,10,9
openstack/blazar-tempest-plugin,openstack/python-ironicclient,Non core,2.7027027027027026,1.2987012987012987,10,9
openstack/blazar-tempest-plugin,openstack/oslo.messaging,Core,2.8455284552845526,2.313624678663239,10,15
openstack/blazar-tempest-plugin,openstack/oslo.messaging,Non core,1.2195121951219512,1.5424164524421593,10,15
openstack/blazar-tempest-plugin,openstack/tripleo-docs,Core,3.3707865168539324,1.6025641025641024,9,10
openstack/blazar-tempest-plugin,openstack/tripleo-docs,Non core,1.6853932584269662,1.6025641025641024,9,10
openstack/blazar-tempest-plugin,openstack/magnum,Core,1.749271137026239,1.8214936247723135,10,15
openstack/blazar-tempest-plugin,openstack/magnum,Non core,1.1661807580174928,0.9107468123861567,10,15
openstack/blazar-tempest-plugin,openstack/diskimage-builder,Core,1.8518518518518516,1.717557251908397,8,14
