projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/blazar,openstack/openstack-ansible-os_glance,Core,2.4390243902439024,3.6036036036036037,10,22
openstack/blazar,openstack/openstack-ansible-os_glance,Non core,3.6585365853658534,6.306306306306306,10,22
openstack/blazar,openstack/governance,Core,4.892367906066536,3.673835125448029,35,83
openstack/blazar,openstack/governance,Non core,1.9569471624266144,3.763440860215054,35,83
openstack/blazar,openstack/cloudkitty,Core,6.122448979591836,6.83453237410072,26,45
openstack/blazar,openstack/cloudkitty,Non core,7.142857142857142,9.352517985611511,26,45
openstack/blazar,openstack/neutron-dynamic-routing,Core,4.819277108433735,4.651162790697675,17,30
openstack/blazar,openstack/neutron-dynamic-routing,Non core,5.421686746987952,6.976744186046512,17,30
openstack/blazar,openstack/kayobe,Core,4.25531914893617,3.8095238095238098,11,19
openstack/blazar,openstack/kayobe,Non core,3.546099290780142,5.238095238095238,11,19
openstack/blazar,openstack/ansible-role-zookeeper,Core,0.0,0.0,0,0
openstack/blazar,openstack/ansible-role-zookeeper,Non core,0.0,0.0,0,0
openstack/blazar,openstack/python-manilaclient,Core,5.603448275862069,6.461538461538462,27,47
openstack/blazar,openstack/python-manilaclient,Non core,6.0344827586206895,8.0,27,47
openstack/blazar,openstack/tripleo-operator-ansible,Core,3.125,1.4851485148514851,5,3
openstack/blazar,openstack/tripleo-operator-ansible,Non core,0.78125,0.0,5,3
openstack/blazar,openstack/octavia-dashboard,Core,5.9259259259259265,3.5000000000000004,16,25
openstack/blazar,openstack/octavia-dashboard,Non core,5.9259259259259265,9.0,16,25
openstack/blazar,openstack/blazar-tempest-plugin,Core,7.142857142857142,11.320754716981133,13,27
openstack/blazar,openstack/blazar-tempest-plugin,Non core,4.464285714285714,5.660377358490567,13,27
openstack/blazar,openstack/neutron-specs,Core,2.1505376344086025,2.6049204052098407,9,37
openstack/blazar,openstack/neutron-specs,Non core,1.0752688172043012,2.7496382054992763,9,37
openstack/blazar,openstack/tooz,Core,6.2857142857142865,6.7669172932330826,16,36
openstack/blazar,openstack/tooz,Non core,2.857142857142857,6.7669172932330826,16,36
openstack/blazar,openstack/manila-specs,Core,2.158273381294964,1.834862385321101,4,11
openstack/blazar,openstack/manila-specs,Non core,0.7194244604316548,3.211009174311927,4,11
openstack/blazar,openstack/glance_store,Core,5.333333333333334,3.902439024390244,18,41
openstack/blazar,openstack/glance_store,Non core,2.666666666666667,6.097560975609756,18,41
openstack/blazar,openstack/openstack-ansible-os_neutron,Core,1.4423076923076923,2.7303754266211606,14,32
openstack/blazar,openstack/openstack-ansible-os_neutron,Non core,5.288461538461538,8.19112627986348,14,32
openstack/blazar,openstack/os-ken,Core,5.084745762711865,4.597701149425287,8,14
openstack/blazar,openstack/os-ken,Non core,1.694915254237288,3.4482758620689653,8,14
openstack/blazar,openstack/keystoneauth,Core,4.225352112676056,6.774193548387098,17,45
openstack/blazar,openstack/keystoneauth,Non core,3.755868544600939,7.741935483870968,17,45
openstack/blazar,openstack/openstack-ansible-haproxy_server,Core,2.547770700636943,1.4084507042253522,9,15
openstack/blazar,openstack/openstack-ansible-haproxy_server,Non core,3.1847133757961785,5.633802816901409,9,15
openstack/blazar,openstack/grenade,Core,6.806282722513089,7.430340557275541,15,38
openstack/blazar,openstack/grenade,Non core,1.0471204188481675,4.3343653250774,15,38
openstack/blazar,openstack/networking-midonet,Core,6.707317073170732,4.377104377104377,25,40
openstack/blazar,openstack/networking-midonet,Non core,8.536585365853659,9.090909090909092,25,40
openstack/blazar,openstack/python-ironicclient,Core,6.938775510204081,4.603580562659847,31,48
openstack/blazar,openstack/python-ironicclient,Non core,5.714285714285714,7.672634271099745,31,48
openstack/blazar,openstack/oslo.messaging,Core,5.263157894736842,5.769230769230769,33,58
openstack/blazar,openstack/oslo.messaging,Non core,5.592105263157895,6.623931623931624,33,58
openstack/blazar,openstack/tripleo-docs,Core,2.766798418972332,2.9055690072639226,15,31
openstack/blazar,openstack/tripleo-docs,Non core,3.1620553359683794,4.600484261501211,15,31
openstack/blazar,openstack/magnum,Core,3.7406483790523692,5.203252032520325,33,71
openstack/blazar,openstack/magnum,Non core,4.488778054862843,6.341463414634147,33,71
openstack/blazar,openstack/diskimage-builder,Core,3.1088082901554404,3.3003300330033,27,54
openstack/blazar,openstack/diskimage-builder,Non core,3.8860103626943006,5.6105610561056105,27,54
openstack/blazar,openstack/masakari,Core,6.666666666666667,10.0,26,48
openstack/blazar,openstack/masakari,Non core,9.090909090909092,10.869565217391305,26,48
openstack/blazar,openstack/python-venusclient,Core,0.0,1.8633540372670807,0,5
openstack/blazar,openstack/python-venusclient,Non core,0.0,1.2422360248447204,0,5
openstack/blazar,openstack/ansible-role-container-registry,Core,5.0,2.0618556701030926,9,10
