projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/ceilometermiddleware,openstack/trove-tempest-plugin,Core,5.660377358490567,3.061224489795918,3,8
openstack/ceilometermiddleware,openstack/trove-tempest-plugin,Non core,0.0,5.1020408163265305,3,8
openstack/ceilometermiddleware,openstack/arch-design,Core,4.166666666666666,2.5,2,2
openstack/ceilometermiddleware,openstack/arch-design,Non core,0.0,0.0,2,2
openstack/ceilometermiddleware,openstack/monasca-common,Core,7.4074074074074066,2.366863905325444,9,15
openstack/ceilometermiddleware,openstack/monasca-common,Non core,0.9259259259259258,6.508875739644971,9,15
openstack/ceilometermiddleware,openstack/monasca-statsd,Core,9.58904109589041,1.6260162601626018,9,10
openstack/ceilometermiddleware,openstack/monasca-statsd,Non core,2.73972602739726,6.504065040650407,9,10
openstack/ceilometermiddleware,openstack/python-monascaclient,Core,8.547008547008547,4.117647058823529,14,24
openstack/ceilometermiddleware,openstack/python-monascaclient,Non core,3.418803418803419,10.0,14,24
openstack/ceilometermiddleware,openstack/renderspec,Core,10.526315789473683,2.083333333333333,9,8
openstack/ceilometermiddleware,openstack/renderspec,Non core,5.263157894736842,6.25,9,8
openstack/ceilometermiddleware,openstack/os-service-types,Core,6.779661016949152,6.0,5,11
openstack/ceilometermiddleware,openstack/os-service-types,Non core,1.694915254237288,5.0,5,11
openstack/ceilometermiddleware,openstack/masakari-dashboard,Core,4.615384615384616,3.5398230088495577,4,11
openstack/ceilometermiddleware,openstack/masakari-dashboard,Non core,1.5384615384615385,6.1946902654867255,4,11
openstack/ceilometermiddleware,openstack/freezer-dr,Core,8.47457627118644,4.9504950495049505,8,13
openstack/ceilometermiddleware,openstack/freezer-dr,Non core,5.084745762711865,7.920792079207921,8,13
openstack/ceilometermiddleware,openstack/tempest-stress,Core,5.263157894736842,2.3255813953488373,5,7
openstack/ceilometermiddleware,openstack/tempest-stress,Non core,3.508771929824561,5.813953488372093,5,7
openstack/ceilometermiddleware,openstack/charm-neutron-api-genericswitch,Core,4.651162790697675,2.5316455696202533,3,2
openstack/ceilometermiddleware,openstack/charm-neutron-api-genericswitch,Non core,2.3255813953488373,0.0,3,2
openstack/ceilometermiddleware,openstack/charm-neutron-dynamic-routing,Core,3.6363636363636362,1.098901098901099,3,3
openstack/ceilometermiddleware,openstack/charm-neutron-dynamic-routing,Non core,1.8181818181818181,2.197802197802198,3,3
openstack/ceilometermiddleware,openstack/charm-interface-ceph-client,Core,2.0408163265306123,2.380952380952381,1,3
openstack/ceilometermiddleware,openstack/charm-interface-ceph-client,Non core,0.0,1.1904761904761905,1,3
openstack/ceilometermiddleware,openstack/charm-percona-cluster,Core,1.2658227848101267,1.680672268907563,3,7
openstack/ceilometermiddleware,openstack/charm-percona-cluster,Non core,2.5316455696202533,4.201680672268908,3,7
openstack/ceilometermiddleware,openstack/charm-deployment-guide,Core,2.8169014084507045,0.9345794392523363,3,2
openstack/ceilometermiddleware,openstack/charm-deployment-guide,Non core,1.4084507042253522,0.9345794392523363,3,2
openstack/ceilometermiddleware,openstack/rbd-iscsi-client,Core,0.0,0.0,0,0
openstack/ceilometermiddleware,openstack/rbd-iscsi-client,Non core,0.0,0.0,0,0
openstack/ceilometermiddleware,openstack/oslo.metrics,Core,0.0,3.571428571428571,2,7
openstack/ceilometermiddleware,openstack/oslo.metrics,Non core,4.166666666666666,4.761904761904762,2,7
openstack/ceilometermiddleware,openstack/oslo.vmware,Core,9.25925925925926,5.641025641025641,14,24
openstack/ceilometermiddleware,openstack/oslo.vmware,Non core,3.7037037037037033,6.666666666666667,14,24
openstack/ceilometermiddleware,openstack/oslo.upgradecheck,Core,11.320754716981133,7.526881720430108,7,11
openstack/ceilometermiddleware,openstack/oslo.upgradecheck,Non core,1.8867924528301887,4.301075268817205,7,11
openstack/ceilometermiddleware,openstack/python-masakariclient,Core,6.41025641025641,4.3478260869565215,6,13
openstack/ceilometermiddleware,openstack/python-masakariclient,Non core,1.282051282051282,6.956521739130435,6,13
openstack/ceilometermiddleware,openstack/python-vitrageclient,Core,8.045977011494253,0.9174311926605505,9,6
openstack/ceilometermiddleware,openstack/python-vitrageclient,Non core,2.2988505747126435,4.587155963302752,9,6
openstack/ceilometermiddleware,openstack/python-blazarclient,Core,6.976744186046512,6.015037593984962,9,20
openstack/ceilometermiddleware,openstack/python-blazarclient,Non core,3.488372093023256,9.022556390977442,9,20
openstack/ceilometermiddleware,openstack/zaqar-tempest-plugin,Core,3.7735849056603774,2.083333333333333,2,5
openstack/ceilometermiddleware,openstack/zaqar-tempest-plugin,Non core,0.0,3.125,2,5
openstack/ceilometermiddleware,openstack/tripleo-common-tempest-plugin,Core,7.4074074074074066,1.9230769230769231,5,5
openstack/ceilometermiddleware,openstack/tripleo-common-tempest-plugin,Non core,1.8518518518518516,2.8846153846153846,5,5
openstack/ceilometermiddleware,openstack/mistral-tempest-plugin,Core,4.838709677419355,3.8461538461538463,4,7
openstack/ceilometermiddleware,openstack/mistral-tempest-plugin,Non core,1.6129032258064515,2.8846153846153846,4,7
openstack/ceilometermiddleware,openstack/barbican-ui,Core,2.380952380952381,1.1494252873563218,1,1
openstack/ceilometermiddleware,openstack/barbican-ui,Non core,0.0,0.0,1,1
openstack/ceilometermiddleware,openstack/liberasurecode,Core,3.9215686274509802,4.444444444444445,3,6
openstack/ceilometermiddleware,openstack/liberasurecode,Non core,1.9607843137254901,2.2222222222222223,3,6
openstack/ceilometermiddleware,openstack/ansible-plugin-container-connection,Core,0.0,0.0,0,0
openstack/ceilometermiddleware,openstack/ansible-plugin-container-connection,Non core,0.0,0.0,0,0
openstack/ceilometermiddleware,openstack/os-client-config,Core,6.1946902654867255,4.9079754601226995,8,19
openstack/ceilometermiddleware,openstack/os-client-config,Non core,0.8849557522123894,6.748466257668712,8,19
openstack/ceilometermiddleware,openstack/monasca-specs,Core,3.8461538461538463,0.9615384615384616,2,2
openstack/ceilometermiddleware,openstack/monasca-specs,Non core,0.0,0.9615384615384616,2,2
openstack/ceilometermiddleware,openstack/os-performance-tools,Core,5.172413793103448,4.444444444444445,3,7
openstack/ceilometermiddleware,openstack/os-performance-tools,Non core,0.0,3.3333333333333335,3,7
openstack/ceilometermiddleware,openstack/trove-specs,Core,6.493506493506493,1.3071895424836601,5,7
openstack/ceilometermiddleware,openstack/trove-specs,Non core,0.0,3.2679738562091507,5,7
openstack/ceilometermiddleware,openstack/manila-image-elements,Core,9.67741935483871,0.8547008547008548,7,5
openstack/ceilometermiddleware,openstack/manila-image-elements,Non core,1.6129032258064515,3.418803418803419,7,5
openstack/ceilometermiddleware,openstack/blazar-specs,Core,4.081632653061225,1.0416666666666665,2,1
openstack/ceilometermiddleware,openstack/blazar-specs,Non core,0.0,0.0,2,1
openstack/ceilometermiddleware,openstack/molteniron,Core,8.16326530612245,2.0408163265306123,5,4
openstack/ceilometermiddleware,openstack/molteniron,Non core,2.0408163265306123,2.0408163265306123,5,4
openstack/ceilometermiddleware,openstack/solum-specs,Core,7.4074074074074066,1.0416666666666665,4,3
openstack/ceilometermiddleware,openstack/solum-specs,Non core,0.0,2.083333333333333,4,3
openstack/ceilometermiddleware,openstack/patrole,Core,4.032258064516129,2.857142857142857,8,13
openstack/ceilometermiddleware,openstack/patrole,Non core,2.4193548387096775,4.571428571428571,8,13
openstack/ceilometermiddleware,openstack/performance-docs,Core,2.5,0.8064516129032258,2,10
openstack/ceilometermiddleware,openstack/performance-docs,Non core,0.0,7.258064516129033,2,10
openstack/ceilometermiddleware,openstack/sphinx-feature-classification,Core,7.142857142857142,5.9405940594059405,6,10
openstack/ceilometermiddleware,openstack/sphinx-feature-classification,Non core,3.571428571428571,3.9603960396039604,6,10
openstack/ceilometermiddleware,openstack/etcd3gw,Core,0.0,2.3529411764705883,1,2
openstack/ceilometermiddleware,openstack/etcd3gw,Non core,2.0408163265306123,0.0,1,2
openstack/ceilometermiddleware,openstack/watcher-specs,Core,4.705882352941177,2.684563758389262,5,10
openstack/ceilometermiddleware,openstack/watcher-specs,Non core,1.1764705882352942,4.026845637583892,5,10
openstack/ceilometermiddleware,openstack/yaql,Core,11.594202898550725,3.3333333333333335,9,12
openstack/ceilometermiddleware,openstack/yaql,Non core,1.4492753623188406,6.666666666666667,9,12
openstack/ceilometermiddleware,openstack/puppet-openstack-guide,Core,7.936507936507936,3.7383177570093453,6,9
openstack/ceilometermiddleware,openstack/puppet-openstack-guide,Non core,1.5873015873015872,4.672897196261682,6,9
openstack/ceilometermiddleware,openstack/puppet-panko,Core,6.578947368421052,4.040404040404041,5,10
openstack/ceilometermiddleware,openstack/puppet-panko,Non core,0.0,6.0606060606060606,5,10
openstack/ceilometermiddleware,openstack/heat-cfnclient,Core,10.526315789473683,4.040404040404041,7,10
openstack/ceilometermiddleware,openstack/heat-cfnclient,Non core,1.7543859649122806,6.0606060606060606,7,10
openstack/ceilometermiddleware,openstack/heat-cfntools,Core,10.0,3.8461538461538463,11,15
openstack/ceilometermiddleware,openstack/heat-cfntools,Non core,3.75,7.6923076923076925,11,15
openstack/ceilometermiddleware,openstack/heat-templates,Core,4.25531914893617,2.479338842975207,6,13
openstack/ceilometermiddleware,openstack/heat-templates,Non core,0.0,2.8925619834710745,6,13
openstack/ceilometermiddleware,openstack/governance-sigs,Core,7.142857142857142,5.454545454545454,6,13
openstack/ceilometermiddleware,openstack/governance-sigs,Non core,1.4285714285714286,2.4242424242424243,6,13
openstack/ceilometermiddleware,openstack/openstack-zuul-roles,Core,4.545454545454546,2.380952380952381,2,3
openstack/ceilometermiddleware,openstack/openstack-zuul-roles,Non core,0.0,1.1904761904761905,2,3
openstack/ceilometermiddleware,openstack/nova-powervm,Core,5.376344086021505,3.79746835443038,6,17
openstack/ceilometermiddleware,openstack/nova-powervm,Non core,1.0752688172043012,6.962025316455696,6,17
openstack/ceilometermiddleware,openstack/openstack-helm-addons,Core,0.0,0.5494505494505495,1,7
openstack/ceilometermiddleware,openstack/openstack-helm-addons,Non core,1.282051282051282,3.296703296703297,1,7
openstack/ceilometermiddleware,openstack/python-pankoclient,Core,10.16949152542373,14.285714285714285,8,25
openstack/ceilometermiddleware,openstack/python-pankoclient,Non core,3.389830508474576,13.186813186813188,8,25
openstack/ceilometermiddleware,openstack/qa-specs,Core,4.705882352941177,2.824858757062147,5,10
openstack/ceilometermiddleware,openstack/qa-specs,Non core,1.1764705882352942,2.824858757062147,5,10
openstack/ceilometermiddleware,openstack/zaqar-specs,Core,8.450704225352112,2.3255813953488373,7,12
openstack/ceilometermiddleware,openstack/zaqar-specs,Non core,1.4084507042253522,6.976744186046512,7,12
openstack/ceilometermiddleware,openstack/swift-bench,Core,1.7543859649122806,5.88235294117647,3,11
openstack/ceilometermiddleware,openstack/swift-bench,Non core,3.508771929824561,4.901960784313726,3,11
openstack/ceilometermiddleware,openstack/whereto,Core,5.555555555555555,5.434782608695652,5,6
openstack/ceilometermiddleware,openstack/whereto,Non core,3.7037037037037033,1.0869565217391304,5,6
openstack/ceilometermiddleware,openstack/murano-specs,Core,6.329113924050633,1.5267175572519083,5,7
openstack/ceilometermiddleware,openstack/murano-specs,Non core,0.0,3.816793893129771,5,7
openstack/ceilometermiddleware,openstack/ansible-role-tripleo-modify-image,Core,2.898550724637681,1.5151515151515151,2,7
openstack/ceilometermiddleware,openstack/ansible-role-tripleo-modify-image,Non core,0.0,3.787878787878788,2,7
openstack/ceilometermiddleware,openstack/requestsexceptions,Core,8.88888888888889,2.272727272727273,4,5
openstack/ceilometermiddleware,openstack/requestsexceptions,Non core,0.0,3.4090909090909087,4,5
openstack/ceilometermiddleware,openstack/panko,Core,13.402061855670103,9.655172413793103,17,33
openstack/ceilometermiddleware,openstack/panko,Non core,4.123711340206185,13.10344827586207,17,33
openstack/ceilometermiddleware,openstack/api-sig,Core,4.651162790697675,3.543307086614173,7,17
openstack/ceilometermiddleware,openstack/api-sig,Non core,3.488372093023256,3.149606299212598,7,17
openstack/ceilometermiddleware,openstack/openstack-chef-specs,Core,4.838709677419355,1.9230769230769231,3,7
openstack/ceilometermiddleware,openstack/openstack-chef-specs,Non core,0.0,4.807692307692308,3,7
openstack/ceilometermiddleware,openstack/freezer-specs,Core,8.620689655172415,3.061224489795918,5,5
openstack/ceilometermiddleware,openstack/freezer-specs,Non core,0.0,2.0408163265306123,5,5
openstack/ceilometermiddleware,openstack/oslo.tools,Core,6.153846153846154,6.315789473684211,9,10
openstack/ceilometermiddleware,openstack/oslo.tools,Non core,7.6923076923076925,4.2105263157894735,9,10
openstack/ceilometermiddleware,openstack/microversion-parse,Core,4.166666666666666,4.651162790697675,3,5
openstack/ceilometermiddleware,openstack/microversion-parse,Non core,2.083333333333333,1.1627906976744187,3,5
openstack/ceilometermiddleware,openstack/openstackclient,Core,8.47457627118644,3.8834951456310676,7,8
openstack/ceilometermiddleware,openstack/openstackclient,Non core,3.389830508474576,3.8834951456310676,7,8
openstack/ceilometermiddleware,openstack/ossa,Core,3.3333333333333335,4.6875,3,9
openstack/ceilometermiddleware,openstack/ossa,Non core,1.6666666666666667,2.34375,3,9
openstack/ceilometermiddleware,openstack/reviewstats,Core,5.357142857142857,7.262569832402235,7,18
openstack/ceilometermiddleware,openstack/reviewstats,Non core,0.8928571428571428,2.793296089385475,7,18
openstack/ceilometermiddleware,openstack/oslo-cookiecutter,Core,4.918032786885246,6.185567010309279,3,11
openstack/ceilometermiddleware,openstack/oslo-cookiecutter,Non core,0.0,5.154639175257731,3,11
openstack/ceilometermiddleware,openstack/openstack-helm-deployments,Core,0.0,0.0,0,0
openstack/ceilometermiddleware,openstack/openstack-helm-deployments,Non core,0.0,0.0,0,0
openstack/ceilometermiddleware,openstack/security-analysis,Core,4.166666666666666,2.083333333333333,2,4
openstack/ceilometermiddleware,openstack/security-analysis,Non core,0.0,2.083333333333333,2,4
openstack/ceilometermiddleware,openstack/charm-cinder-ibm-storwize-svc,Core,0.0,0.0,0,0
openstack/ceilometermiddleware,openstack/charm-cinder-ibm-storwize-svc,Non core,0.0,0.0,0,0
openstack/ceilometermiddleware,openstack/ansible-role-tripleo-keystone,Core,4.3478260869565215,1.25,2,1
openstack/ceilometermiddleware,openstack/ansible-role-tripleo-keystone,Non core,0.0,0.0,2,1
openstack/ceilometermiddleware,openstack/openstack-ansible-apt_package_pinning,Core,5.405405405405405,0.9090909090909091,4,9
