projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-barbican,openstack/charm-octavia-diskimage-retrofit,Core,7.142857142857142,0.0,14,17
openstack/charm-barbican,openstack/charm-octavia-diskimage-retrofit,Non core,42.857142857142854,56.666666666666664,14,17
openstack/charm-barbican,openstack/ansible-role-redhat-subscription,Core,4.3478260869565215,1.7241379310344827,2,2
openstack/charm-barbican,openstack/ansible-role-redhat-subscription,Non core,0.0,1.7241379310344827,2,2
openstack/charm-barbican,openstack/oslo.db,Core,1.2195121951219512,0.7604562737642585,3,7
openstack/charm-barbican,openstack/oslo.db,Non core,0.6097560975609756,1.9011406844106464,3,7
openstack/charm-barbican,openstack/tripleo-repos,Core,1.5151515151515151,0.0,3,2
openstack/charm-barbican,openstack/tripleo-repos,Non core,3.0303030303030303,2.197802197802198,3,2
openstack/charm-barbican,openstack/openstack-ansible-os_mistral,Core,0.0,1.9607843137254901,0,3
openstack/charm-barbican,openstack/openstack-ansible-os_mistral,Non core,0.0,3.9215686274509802,0,3
openstack/charm-barbican,openstack/oswin-tempest-plugin,Core,0.0,5.714285714285714,1,4
openstack/charm-barbican,openstack/oswin-tempest-plugin,Non core,2.2222222222222223,5.714285714285714,1,4
openstack/charm-barbican,openstack/pymod2pkg,Core,2.941176470588235,2.247191011235955,3,5
openstack/charm-barbican,openstack/pymod2pkg,Non core,1.4705882352941175,3.3707865168539324,3,5
openstack/charm-barbican,openstack/large-scale,Core,0.0,0.0,0,0
openstack/charm-barbican,openstack/large-scale,Non core,0.0,0.0,0,0
openstack/charm-barbican,openstack/neutron-fwaas,Core,0.5649717514124294,0.2932551319648094,4,6
openstack/charm-barbican,openstack/neutron-fwaas,Non core,1.694915254237288,1.466275659824047,4,6
openstack/charm-barbican,openstack/python-tackerclient,Core,1.5267175572519083,1.3245033112582782,2,6
openstack/charm-barbican,openstack/python-tackerclient,Non core,0.0,2.6490066225165565,2,6
openstack/charm-barbican,openstack/charm-cinder-nimblestorage,Core,0.0,0.0,2,7
openstack/charm-barbican,openstack/charm-cinder-nimblestorage,Non core,7.4074074074074066,25.0,2,7
openstack/charm-barbican,openstack/metalsmith,Core,2.0408163265306123,1.6129032258064515,1,2
openstack/charm-barbican,openstack/metalsmith,Non core,0.0,1.6129032258064515,1,2
openstack/charm-barbican,openstack/openstack-ansible-os_murano,Core,0.0,2.564102564102564,0,1
openstack/charm-barbican,openstack/openstack-ansible-os_murano,Non core,0.0,0.0,0,1
openstack/charm-barbican,openstack/kuryr-tempest-plugin,Core,3.8461538461538463,2.941176470588235,2,6
openstack/charm-barbican,openstack/kuryr-tempest-plugin,Non core,0.0,5.88235294117647,2,6
openstack/charm-barbican,openstack/networking-sfc,Core,0.8547008547008548,0.8403361344537815,4,6
openstack/charm-barbican,openstack/networking-sfc,Non core,2.564102564102564,1.680672268907563,4,6
openstack/charm-barbican,openstack/charm-cinder-three-par,Core,0.0,0.0,1,3
openstack/charm-barbican,openstack/charm-cinder-three-par,Non core,3.571428571428571,10.714285714285714,1,3
openstack/charm-barbican,openstack/cyborg-tempest-plugin,Core,1.9230769230769231,1.7241379310344827,1,2
openstack/charm-barbican,openstack/cyborg-tempest-plugin,Non core,0.0,1.7241379310344827,1,2
openstack/charm-barbican,openstack/charm-ceph-iscsi,Core,0.0,0.0,5,10
openstack/charm-barbican,openstack/charm-ceph-iscsi,Non core,17.24137931034483,32.25806451612903,5,10
