projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-ceilometer-agent,openstack/charm-barbican,Core,8.108108108108109,2.857142857142857,17,21
openstack/charm-ceilometer-agent,openstack/charm-barbican,Non core,37.83783783783784,57.14285714285714,17,21
openstack/charm-ceilometer-agent,openstack/charm-octavia-diskimage-retrofit,Core,6.25,0.0,12,14
openstack/charm-ceilometer-agent,openstack/charm-octavia-diskimage-retrofit,Non core,31.25,40.0,12,14
openstack/charm-ceilometer-agent,openstack/ansible-role-redhat-subscription,Core,4.166666666666666,0.0,2,1
openstack/charm-ceilometer-agent,openstack/ansible-role-redhat-subscription,Non core,0.0,1.639344262295082,2,1
openstack/charm-ceilometer-agent,openstack/oslo.db,Core,1.8292682926829267,0.7518796992481203,5,6
openstack/charm-ceilometer-agent,openstack/oslo.db,Non core,1.2195121951219512,1.5037593984962405,5,6
openstack/charm-ceilometer-agent,openstack/tripleo-repos,Core,1.4492753623188406,0.0,2,3
openstack/charm-ceilometer-agent,openstack/tripleo-repos,Non core,1.4492753623188406,3.260869565217391,2,3
openstack/charm-ceilometer-agent,openstack/openstack-ansible-os_mistral,Core,4.545454545454546,0.0,3,2
openstack/charm-ceilometer-agent,openstack/openstack-ansible-os_mistral,Non core,2.272727272727273,3.7037037037037033,3,2
openstack/charm-ceilometer-agent,openstack/oswin-tempest-plugin,Core,2.1739130434782608,5.405405405405405,2,4
openstack/charm-ceilometer-agent,openstack/oswin-tempest-plugin,Non core,2.1739130434782608,5.405405405405405,2,4
openstack/charm-ceilometer-agent,openstack/pymod2pkg,Core,4.411764705882353,2.1739130434782608,5,4
openstack/charm-ceilometer-agent,openstack/pymod2pkg,Non core,2.941176470588235,2.1739130434782608,5,4
openstack/charm-ceilometer-agent,openstack/large-scale,Core,0.0,0.0,0,0
openstack/charm-ceilometer-agent,openstack/large-scale,Non core,0.0,0.0,0,0
openstack/charm-ceilometer-agent,openstack/neutron-fwaas,Core,1.694915254237288,0.8797653958944283,6,8
openstack/charm-ceilometer-agent,openstack/neutron-fwaas,Non core,1.694915254237288,1.466275659824047,6,8
openstack/charm-ceilometer-agent,openstack/python-tackerclient,Core,2.272727272727273,1.3157894736842104,3,7
openstack/charm-ceilometer-agent,openstack/python-tackerclient,Non core,0.0,3.289473684210526,3,7
openstack/charm-ceilometer-agent,openstack/charm-cinder-nimblestorage,Core,0.0,0.0,2,7
openstack/charm-ceilometer-agent,openstack/charm-cinder-nimblestorage,Non core,6.896551724137931,23.333333333333332,2,7
openstack/charm-ceilometer-agent,openstack/metalsmith,Core,4.0,0.0,2,1
openstack/charm-ceilometer-agent,openstack/metalsmith,Non core,0.0,1.5384615384615385,2,1
openstack/charm-ceilometer-agent,openstack/openstack-ansible-os_murano,Core,2.857142857142857,0.0,1,0
openstack/charm-ceilometer-agent,openstack/openstack-ansible-os_murano,Non core,0.0,0.0,1,0
openstack/charm-ceilometer-agent,openstack/kuryr-tempest-plugin,Core,5.769230769230769,2.857142857142857,4,6
openstack/charm-ceilometer-agent,openstack/kuryr-tempest-plugin,Non core,1.9230769230769231,5.714285714285714,4,6
openstack/charm-ceilometer-agent,openstack/networking-sfc,Core,2.564102564102564,1.2605042016806722,6,8
openstack/charm-ceilometer-agent,openstack/networking-sfc,Non core,2.564102564102564,2.100840336134454,6,8
openstack/charm-ceilometer-agent,openstack/charm-cinder-three-par,Core,0.0,0.0,1,3
openstack/charm-ceilometer-agent,openstack/charm-cinder-three-par,Non core,3.3333333333333335,10.0,1,3
openstack/charm-ceilometer-agent,openstack/cyborg-tempest-plugin,Core,3.7735849056603774,3.389830508474576,2,3
openstack/charm-ceilometer-agent,openstack/cyborg-tempest-plugin,Non core,0.0,1.694915254237288,2,3
openstack/charm-ceilometer-agent,openstack/charm-ceph-iscsi,Core,0.0,0.0,5,10
openstack/charm-ceilometer-agent,openstack/charm-ceph-iscsi,Non core,16.129032258064516,30.303030303030305,5,10
openstack/charm-ceilometer-agent,openstack/charm-cinder-solidfire,Core,0.0,0.0,2,7
openstack/charm-ceilometer-agent,openstack/charm-cinder-solidfire,Non core,6.896551724137931,24.137931034482758,2,7
openstack/charm-ceilometer-agent,openstack/puppet-qdr,Core,3.7735849056603774,0.0,3,2
openstack/charm-ceilometer-agent,openstack/puppet-qdr,Non core,1.8867924528301887,3.7037037037037033,3,2
openstack/charm-ceilometer-agent,openstack/vitrage-tempest-plugin,Core,3.278688524590164,1.7857142857142856,2,2
openstack/charm-ceilometer-agent,openstack/vitrage-tempest-plugin,Non core,0.0,1.7857142857142856,2,2
openstack/charm-ceilometer-agent,openstack/tripleo-specs,Core,2.564102564102564,0.3115264797507788,4,3
openstack/charm-ceilometer-agent,openstack/tripleo-specs,Non core,0.8547008547008548,0.6230529595015576,4,3
openstack/charm-ceilometer-agent,openstack/charm-neutron-api-plugin-arista,Core,0.0,0.0,7,10
openstack/charm-ceilometer-agent,openstack/charm-neutron-api-plugin-arista,Non core,25.0,33.33333333333333,7,10
openstack/charm-ceilometer-agent,openstack/charm-ceph-fs,Core,8.333333333333332,5.88235294117647,16,18
openstack/charm-ceilometer-agent,openstack/charm-ceph-fs,Non core,36.11111111111111,47.05882352941176,16,18
openstack/charm-ceilometer-agent,openstack/stevedore,Core,5.263157894736842,1.7391304347826086,6,6
openstack/charm-ceilometer-agent,openstack/stevedore,Non core,2.631578947368421,3.4782608695652173,6,6
openstack/charm-ceilometer-agent,openstack/charm-ceph-proxy,Core,9.090909090909092,7.142857142857142,20,20
openstack/charm-ceilometer-agent,openstack/charm-ceph-proxy,Non core,51.515151515151516,40.476190476190474,20,20
openstack/charm-ceilometer-agent,openstack/charm-cloudkitty,Core,0.0,0.0,0,1
openstack/charm-ceilometer-agent,openstack/charm-cloudkitty,Non core,0.0,3.4482758620689653,0,1
openstack/charm-ceilometer-agent,openstack/charm-ops-openstack,Core,0.0,0.0,5,5
openstack/charm-ceilometer-agent,openstack/charm-ops-openstack,Non core,16.129032258064516,16.129032258064516,5,5
openstack/charm-ceilometer-agent,openstack/zun-tempest-plugin,Core,4.081632653061225,3.571428571428571,2,4
openstack/charm-ceilometer-agent,openstack/zun-tempest-plugin,Non core,0.0,3.571428571428571,2,4
openstack/charm-ceilometer-agent,openstack/storlets,Core,2.4390243902439024,2.1739130434782608,4,3
openstack/charm-ceilometer-agent,openstack/storlets,Non core,2.4390243902439024,1.0869565217391304,4,3
openstack/charm-ceilometer-agent,openstack/training-guides,Core,1.8181818181818181,1.9867549668874174,2,6
openstack/charm-ceilometer-agent,openstack/training-guides,Non core,0.0,1.9867549668874174,2,6
openstack/charm-ceilometer-agent,openstack/openstack-ansible-plugins,Core,3.260869565217391,1.7857142857142856,4,5
openstack/charm-ceilometer-agent,openstack/openstack-ansible-plugins,Non core,1.0869565217391304,2.6785714285714284,4,5
openstack/charm-ceilometer-agent,openstack/python-muranoclient,Core,2.7777777777777777,1.7964071856287425,6,6
openstack/charm-ceilometer-agent,openstack/python-muranoclient,Non core,1.3888888888888888,1.7964071856287425,6,6
openstack/charm-ceilometer-agent,openstack/solum-dashboard,Core,4.6875,2.564102564102564,4,3
openstack/charm-ceilometer-agent,openstack/solum-dashboard,Non core,1.5625,1.282051282051282,4,3
openstack/charm-ceilometer-agent,openstack/python-solumclient,Core,3.571428571428571,2.083333333333333,5,3
