projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-ceph-fs,openstack/stevedore,Core,4.054054054054054,2.7777777777777777,4,7
openstack/charm-ceph-fs,openstack/stevedore,Non core,1.3513513513513513,3.7037037037037033,4,7
openstack/charm-ceph-fs,openstack/charm-ceph-proxy,Core,9.375,8.333333333333332,17,20
openstack/charm-ceph-fs,openstack/charm-ceph-proxy,Non core,43.75,47.22222222222222,17,20
openstack/charm-ceph-fs,openstack/charm-cloudkitty,Core,0.0,0.0,0,1
openstack/charm-ceph-fs,openstack/charm-cloudkitty,Non core,0.0,4.3478260869565215,0,1
openstack/charm-ceph-fs,openstack/charm-ops-openstack,Core,0.0,0.0,5,6
openstack/charm-ceph-fs,openstack/charm-ops-openstack,Non core,18.51851851851852,25.0,5,6
openstack/charm-ceph-fs,openstack/zun-tempest-plugin,Core,6.8181818181818175,4.0,3,4
openstack/charm-ceph-fs,openstack/zun-tempest-plugin,Non core,0.0,4.0,3,4
openstack/charm-ceph-fs,openstack/storlets,Core,3.8461538461538463,2.3255813953488373,4,3
openstack/charm-ceph-fs,openstack/storlets,Non core,1.282051282051282,1.1627906976744187,4,3
openstack/charm-ceph-fs,openstack/training-guides,Core,1.8867924528301887,1.36986301369863,2,5
openstack/charm-ceph-fs,openstack/training-guides,Non core,0.0,2.054794520547945,2,5
openstack/charm-ceph-fs,openstack/openstack-ansible-plugins,Core,2.2222222222222223,0.9259259259259258,2,3
openstack/charm-ceph-fs,openstack/openstack-ansible-plugins,Non core,0.0,1.8518518518518516,2,3
openstack/charm-ceph-fs,openstack/python-muranoclient,Core,2.112676056338028,1.2345679012345678,4,5
openstack/charm-ceph-fs,openstack/python-muranoclient,Non core,0.7042253521126761,1.8518518518518516,4,5
openstack/charm-ceph-fs,openstack/solum-dashboard,Core,5.0,2.7777777777777777,4,3
openstack/charm-ceph-fs,openstack/solum-dashboard,Non core,1.6666666666666667,1.3888888888888888,4,3
openstack/charm-ceph-fs,openstack/python-solumclient,Core,3.7037037037037033,2.2222222222222223,4,3
openstack/charm-ceph-fs,openstack/python-solumclient,Non core,1.2345679012345678,1.1111111111111112,4,3
openstack/charm-ceph-fs,openstack/solum-tempest-plugin,Core,5.88235294117647,3.225806451612903,2,3
openstack/charm-ceph-fs,openstack/solum-tempest-plugin,Non core,0.0,6.451612903225806,2,3
openstack/charm-ceph-fs,openstack/murano-tempest-plugin,Core,5.263157894736842,5.714285714285714,2,3
openstack/charm-ceph-fs,openstack/murano-tempest-plugin,Non core,0.0,2.857142857142857,2,3
openstack/charm-ceph-fs,openstack/heat-translator,Core,2.727272727272727,1.5267175572519083,4,4
openstack/charm-ceph-fs,openstack/heat-translator,Non core,0.9090909090909091,1.5267175572519083,4,4
openstack/charm-ceph-fs,openstack/tosca-parser,Core,3.571428571428571,2.0408163265306123,4,4
openstack/charm-ceph-fs,openstack/tosca-parser,Non core,1.1904761904761905,2.0408163265306123,4,4
openstack/charm-ceph-fs,openstack/tacker-horizon,Core,4.225352112676056,1.8181818181818181,4,6
openstack/charm-ceph-fs,openstack/tacker-horizon,Non core,1.4084507042253522,3.6363636363636362,4,6
openstack/charm-ceph-fs,openstack/ironic-python-agent-builder,Core,1.639344262295082,1.1904761904761905,1,4
openstack/charm-ceph-fs,openstack/ironic-python-agent-builder,Non core,0.0,3.571428571428571,1,4
openstack/charm-ceph-fs,openstack/ansible-role-systemd_networkd,Core,4.444444444444445,2.0,2,3
openstack/charm-ceph-fs,openstack/ansible-role-systemd_networkd,Non core,0.0,4.0,2,3
openstack/charm-ceph-fs,openstack/ansible-role-systemd_service,Core,4.25531914893617,0.0,2,1
openstack/charm-ceph-fs,openstack/ansible-role-systemd_service,Non core,0.0,1.9607843137254901,2,1
openstack/charm-ceph-fs,openstack/openstack-ansible-os_keystone,Core,2.608695652173913,0.7042253521126761,3,4
openstack/charm-ceph-fs,openstack/openstack-ansible-os_keystone,Non core,0.0,2.112676056338028,3,4
openstack/charm-ceph-fs,openstack/ansible-role-chrony,Core,2.7027027027027026,2.380952380952381,1,1
openstack/charm-ceph-fs,openstack/ansible-role-chrony,Non core,0.0,0.0,1,1
openstack/charm-ceph-fs,openstack/cloudkitty-tempest-plugin,Core,9.523809523809524,2.0408163265306123,4,3
openstack/charm-ceph-fs,openstack/cloudkitty-tempest-plugin,Non core,0.0,4.081632653061225,4,3
openstack/charm-ceph-fs,openstack/oslo.config,Core,1.5706806282722512,0.6230529595015576,5,7
openstack/charm-ceph-fs,openstack/oslo.config,Non core,1.0471204188481675,1.557632398753894,5,7
openstack/charm-ceph-fs,openstack/senlin-tempest-plugin,Core,9.30232558139535,3.571428571428571,4,3
