projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-ceph-proxy,openstack/charm-cloudkitty,Core,0.0,0.0,0,1
openstack/charm-ceph-proxy,openstack/charm-cloudkitty,Non core,0.0,3.0303030303030303,0,1
openstack/charm-ceph-proxy,openstack/charm-ops-openstack,Core,0.0,0.0,5,6
openstack/charm-ceph-proxy,openstack/charm-ops-openstack,Non core,17.857142857142858,17.647058823529413,5,6
openstack/charm-ceph-proxy,openstack/zun-tempest-plugin,Core,4.3478260869565215,3.389830508474576,2,5
openstack/charm-ceph-proxy,openstack/zun-tempest-plugin,Non core,0.0,5.084745762711865,2,5
openstack/charm-ceph-proxy,openstack/storlets,Core,2.5,2.1052631578947367,3,4
openstack/charm-ceph-proxy,openstack/storlets,Non core,1.25,2.1052631578947367,3,4
openstack/charm-ceph-proxy,openstack/training-guides,Core,1.8691588785046727,1.935483870967742,2,6
openstack/charm-ceph-proxy,openstack/training-guides,Non core,0.0,1.935483870967742,2,6
openstack/charm-ceph-proxy,openstack/openstack-ansible-plugins,Core,2.197802197802198,1.7241379310344827,2,5
openstack/charm-ceph-proxy,openstack/openstack-ansible-plugins,Non core,0.0,2.586206896551724,2,5
openstack/charm-ceph-proxy,openstack/python-muranoclient,Core,2.097902097902098,1.7543859649122806,4,6
openstack/charm-ceph-proxy,openstack/python-muranoclient,Non core,0.6993006993006993,1.7543859649122806,4,6
openstack/charm-ceph-proxy,openstack/solum-dashboard,Core,3.225806451612903,2.5,3,5
openstack/charm-ceph-proxy,openstack/solum-dashboard,Non core,1.6129032258064515,3.75,3,5
openstack/charm-ceph-proxy,openstack/python-solumclient,Core,2.4096385542168677,3.0927835051546393,3,6
openstack/charm-ceph-proxy,openstack/python-solumclient,Non core,1.2048192771084338,3.0927835051546393,3,6
openstack/charm-ceph-proxy,openstack/solum-tempest-plugin,Core,2.7777777777777777,2.4390243902439024,1,3
openstack/charm-ceph-proxy,openstack/solum-tempest-plugin,Non core,0.0,4.878048780487805,1,3
openstack/charm-ceph-proxy,openstack/murano-tempest-plugin,Core,2.5,4.545454545454546,1,4
openstack/charm-ceph-proxy,openstack/murano-tempest-plugin,Non core,0.0,4.545454545454546,1,4
openstack/charm-ceph-proxy,openstack/heat-translator,Core,1.7857142857142856,1.4184397163120568,3,4
openstack/charm-ceph-proxy,openstack/heat-translator,Non core,0.8928571428571428,1.4184397163120568,3,4
openstack/charm-ceph-proxy,openstack/tosca-parser,Core,2.3255813953488373,1.834862385321101,3,3
openstack/charm-ceph-proxy,openstack/tosca-parser,Non core,1.1627906976744187,0.9174311926605505,3,3
openstack/charm-ceph-proxy,openstack/tacker-horizon,Core,2.7777777777777777,1.680672268907563,4,7
openstack/charm-ceph-proxy,openstack/tacker-horizon,Non core,2.7777777777777777,4.201680672268908,4,7
