projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-heat,openstack/charm-neutron-api-plugin-ironic,Core,0.0,0.0,7,8
openstack/charm-heat,openstack/charm-neutron-api-plugin-ironic,Non core,19.444444444444446,20.0,7,8
openstack/charm-heat,openstack/charm-openstack-dashboard,Core,5.970149253731343,7.142857142857142,27,31
openstack/charm-heat,openstack/charm-openstack-dashboard,Non core,34.32835820895522,48.214285714285715,27,31
openstack/charm-heat,openstack/charm-keystone-kerberos,Core,0.0,0.0,7,12
openstack/charm-heat,openstack/charm-keystone-kerberos,Non core,20.0,30.76923076923077,7,12
openstack/charm-heat,openstack/python-keystoneclient,Core,0.6779661016949152,0.6198347107438017,5,8
openstack/charm-heat,openstack/python-keystoneclient,Non core,1.0169491525423728,1.0330578512396695,5,8
openstack/charm-heat,openstack/charm-gnocchi,Core,4.651162790697675,2.127659574468085,19,24
openstack/charm-heat,openstack/charm-gnocchi,Non core,39.53488372093023,48.93617021276596,19,24
openstack/charm-heat,openstack/ironic-lib,Core,2.7777777777777777,1.910828025477707,6,6
openstack/charm-heat,openstack/ironic-lib,Non core,2.7777777777777777,1.910828025477707,6,6
openstack/charm-heat,openstack/ovsdbapp,Core,3.6585365853658534,2.6548672566371683,6,8
openstack/charm-heat,openstack/ovsdbapp,Non core,3.6585365853658534,4.424778761061947,6,8
openstack/charm-heat,openstack/python-octaviaclient,Core,1.1764705882352942,1.9047619047619049,3,6
openstack/charm-heat,openstack/python-octaviaclient,Non core,2.3529411764705883,3.8095238095238098,3,6
openstack/charm-heat,openstack/octavia-lib,Core,0.0,1.25,2,4
openstack/charm-heat,openstack/octavia-lib,Non core,3.571428571428571,3.75,2,4
openstack/charm-heat,openstack/charm-neutron-gateway,Core,7.017543859649122,6.666666666666667,28,27
openstack/charm-heat,openstack/charm-neutron-gateway,Non core,42.10526315789473,38.333333333333336,28,27
openstack/charm-heat,openstack/charm-hacluster,Core,5.769230769230769,7.2727272727272725,23,27
openstack/charm-heat,openstack/charm-hacluster,Non core,38.46153846153847,41.81818181818181,23,27
openstack/charm-heat,openstack/charm-manila,Core,6.8181818181818175,4.878048780487805,18,22
openstack/charm-heat,openstack/charm-manila,Non core,34.090909090909086,48.78048780487805,18,22
openstack/charm-heat,openstack/ironic-prometheus-exporter,Core,3.8461538461538463,3.508771929824561,2,2
openstack/charm-heat,openstack/ironic-prometheus-exporter,Non core,0.0,0.0,2,2
openstack/charm-heat,openstack/charm-manila-netapp,Core,0.0,0.0,3,6
openstack/charm-heat,openstack/charm-manila-netapp,Non core,8.571428571428571,15.384615384615385,3,6
openstack/charm-heat,openstack/charm-pacemaker-remote,Core,2.7777777777777777,2.5,11,17
openstack/charm-heat,openstack/charm-pacemaker-remote,Non core,27.77777777777778,40.0,11,17
openstack/charm-heat,openstack/charm-glance-simplestreams-sync,Core,4.651162790697675,4.545454545454546,20,20
