projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-interface-hacluster,openstack/puppet-openstack-specs,Core,4.761904761904762,0.0,3,3
openstack/charm-interface-hacluster,openstack/puppet-openstack-specs,Non core,2.380952380952381,4.225352112676056,3,3
openstack/charm-interface-hacluster,openstack/puppet-monasca,Core,0.0,0.0,0,2
openstack/charm-interface-hacluster,openstack/puppet-monasca,Non core,0.0,2.083333333333333,0,2
openstack/charm-interface-hacluster,openstack/eslint-config-openstack,Core,2.857142857142857,1.5873015873015872,1,2
openstack/charm-interface-hacluster,openstack/eslint-config-openstack,Non core,0.0,1.5873015873015872,1,2
openstack/charm-interface-hacluster,openstack/karma-subunit-reporter,Core,9.090909090909092,4.545454545454546,2,2
openstack/charm-interface-hacluster,openstack/karma-subunit-reporter,Non core,0.0,4.545454545454546,2,2
openstack/charm-interface-hacluster,openstack/openstack-helm-docs,Core,0.0,2.4390243902439024,0,2
openstack/charm-interface-hacluster,openstack/openstack-helm-docs,Non core,0.0,2.4390243902439024,0,2
openstack/charm-interface-hacluster,openstack/openstack-ansible-specs,Core,2.73972602739726,0.0,2,3
openstack/charm-interface-hacluster,openstack/openstack-ansible-specs,Non core,0.0,2.380952380952381,2,3
openstack/charm-interface-hacluster,openstack/tempest-lib,Core,0.0,0.9433962264150944,0,3
openstack/charm-interface-hacluster,openstack/tempest-lib,Non core,0.0,1.8867924528301887,0,3
openstack/charm-interface-hacluster,openstack/tripleo-ha-utils,Core,3.7037037037037033,0.0,1,1
openstack/charm-interface-hacluster,openstack/tripleo-ha-utils,Non core,0.0,2.380952380952381,1,1
openstack/charm-interface-hacluster,openstack/devstack-vagrant,Core,0.0,2.564102564102564,0,3
openstack/charm-interface-hacluster,openstack/devstack-vagrant,Non core,0.0,5.128205128205128,0,3
openstack/charm-interface-hacluster,openstack/goal-tools,Core,3.8461538461538463,0.0,1,2
openstack/charm-interface-hacluster,openstack/goal-tools,Non core,0.0,6.0606060606060606,1,2
