projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-interface-keystone-fid-service-provider,openstack/manila-test-image,Core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/manila-test-image,Non core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/governance-website,Core,0.0,3.571428571428571,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/governance-website,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/bugdaystats,Core,0.0,4.3478260869565215,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/bugdaystats,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/upstream-institute-virtual-environment,Core,0.0,5.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/upstream-institute-virtual-environment,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/karbor-dashboard,Core,0.0,1.5151515151515151,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/karbor-dashboard,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/django_openstack_auth,Core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/django_openstack_auth,Non core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/monasca-transform,Core,0.0,1.694915254237288,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/monasca-transform,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/monasca-ceilometer,Core,0.0,1.2345679012345678,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/monasca-ceilometer,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/monasca-log-api,Core,0.0,0.9900990099009901,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/monasca-log-api,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/nose-html-output,Core,0.0,4.545454545454546,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/nose-html-output,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/kolla-cli,Core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/kolla-cli,Non core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/neutron-lbaas-dashboard,Core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/neutron-lbaas-dashboard,Non core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/searchlight,Core,0.0,0.6993006993006993,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/searchlight,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/searchlight-ui,Core,0.0,1.694915254237288,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/searchlight-ui,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/searchlight-specs,Core,0.0,2.3255813953488373,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/searchlight-specs,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/python-searchlightclient,Core,0.0,1.6129032258064515,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/python-searchlightclient,Non core,0.0,0.0,0,1
openstack/charm-interface-keystone-fid-service-provider,openstack/charm-tempest,Core,0.0,3.7037037037037033,2,6
openstack/charm-interface-keystone-fid-service-provider,openstack/charm-tempest,Non core,8.333333333333332,18.51851851851852,2,6
openstack/charm-interface-keystone-fid-service-provider,openstack/charm-barbican-softhsm,Core,0.0,4.545454545454546,2,6
openstack/charm-interface-keystone-fid-service-provider,openstack/charm-barbican-softhsm,Non core,9.523809523809524,22.727272727272727,2,6
openstack/charm-interface-keystone-fid-service-provider,openstack/cookbook-openstack-client,Core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/cookbook-openstack-client,Non core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/instack-undercloud,Core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/instack-undercloud,Non core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/publiccloud-sig,Core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/publiccloud-sig,Non core,0.0,0.0,0,0
openstack/charm-interface-keystone-fid-service-provider,openstack/ideas,Core,0.0,2.7027027027027026,0,1
