projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-interface-mysql-shared,openstack/charm-interface-dashboard-plugin,Core,15.384615384615385,0.0,3,5
openstack/charm-interface-mysql-shared,openstack/charm-interface-dashboard-plugin,Non core,7.6923076923076925,41.66666666666667,3,5
openstack/charm-interface-mysql-shared,openstack/charm-interface-neutron-load-balancer,Core,15.384615384615385,0.0,3,5
openstack/charm-interface-mysql-shared,openstack/charm-interface-neutron-load-balancer,Non core,7.6923076923076925,41.66666666666667,3,5
openstack/charm-interface-mysql-shared,openstack/charm-interface-neutron-plugin-api-subordinate,Core,20.0,0.0,4,7
openstack/charm-interface-mysql-shared,openstack/charm-interface-neutron-plugin-api-subordinate,Non core,6.666666666666667,58.333333333333336,4,7
openstack/charm-interface-mysql-shared,openstack/charm-interface-neutron-plugin,Core,27.27272727272727,0.0,5,7
openstack/charm-interface-mysql-shared,openstack/charm-interface-neutron-plugin,Non core,18.181818181818183,70.0,5,7
openstack/charm-interface-mysql-shared,openstack/xstatic-json2yaml,Core,10.0,0.0,1,0
openstack/charm-interface-mysql-shared,openstack/xstatic-json2yaml,Non core,0.0,0.0,1,0
openstack/charm-interface-mysql-shared,openstack/xstatic-jquery.tablesorter,Core,9.090909090909092,0.0,1,1
openstack/charm-interface-mysql-shared,openstack/xstatic-jquery.tablesorter,Non core,0.0,7.142857142857142,1,1
openstack/charm-interface-mysql-shared,openstack/xstatic-magic-search,Core,6.25,0.0,1,1
openstack/charm-interface-mysql-shared,openstack/xstatic-magic-search,Non core,0.0,4.166666666666666,1,1
openstack/charm-interface-mysql-shared,openstack/xstatic-jsencrypt,Core,7.142857142857142,0.0,1,1
openstack/charm-interface-mysql-shared,openstack/xstatic-jsencrypt,Non core,0.0,4.166666666666666,1,1
openstack/charm-interface-mysql-shared,openstack/xstatic-js-yaml,Core,9.090909090909092,0.0,1,0
openstack/charm-interface-mysql-shared,openstack/xstatic-js-yaml,Non core,0.0,0.0,1,0
openstack/charm-interface-mysql-shared,openstack/xstatic-spin,Core,9.090909090909092,0.0,1,1
openstack/charm-interface-mysql-shared,openstack/xstatic-spin,Non core,0.0,7.142857142857142,1,1
openstack/charm-interface-mysql-shared,openstack/xstatic-rickshaw,Core,6.666666666666667,0.0,1,1
openstack/charm-interface-mysql-shared,openstack/xstatic-rickshaw,Non core,0.0,4.761904761904762,1,1
openstack/charm-interface-mysql-shared,openstack/charm-panko,Core,7.6923076923076925,0.0,2,6
openstack/charm-interface-mysql-shared,openstack/charm-panko,Non core,7.6923076923076925,37.5,2,6
openstack/charm-interface-mysql-shared,openstack/charm-interface-service-control,Core,14.285714285714285,0.0,3,6
openstack/charm-interface-mysql-shared,openstack/charm-interface-service-control,Non core,7.142857142857142,46.15384615384615,3,6
openstack/charm-interface-mysql-shared,openstack/openstack-ansible-os_almanach,Core,6.0606060606060606,0.0,2,1
openstack/charm-interface-mysql-shared,openstack/openstack-ansible-os_almanach,Non core,0.0,2.380952380952381,2,1
openstack/charm-interface-mysql-shared,openstack/openstack-ansible-pip_install,Core,3.571428571428571,0.0,2,1
openstack/charm-interface-mysql-shared,openstack/openstack-ansible-pip_install,Non core,0.0,1.25,2,1
openstack/charm-interface-mysql-shared,openstack/python-karborclient,Core,3.3333333333333335,0.0,2,1
openstack/charm-interface-mysql-shared,openstack/python-karborclient,Non core,0.0,1.36986301369863,2,1
openstack/charm-interface-mysql-shared,openstack/charm-interface-keystone-admin,Core,20.0,0.0,4,5
openstack/charm-interface-mysql-shared,openstack/charm-interface-keystone-admin,Non core,20.0,50.0,4,5
openstack/charm-interface-mysql-shared,openstack/charm-interface-nova-compute,Core,13.333333333333334,0.0,3,6
openstack/charm-interface-mysql-shared,openstack/charm-interface-nova-compute,Non core,6.666666666666667,40.0,3,6
openstack/charm-interface-mysql-shared,openstack/charm-interface-manila-plugin,Core,16.666666666666664,0.0,3,7
openstack/charm-interface-mysql-shared,openstack/charm-interface-manila-plugin,Non core,8.333333333333332,70.0,3,7
openstack/charm-interface-mysql-shared,openstack/murano-apps,Core,3.3333333333333335,0.0,2,1
openstack/charm-interface-mysql-shared,openstack/murano-apps,Non core,0.0,1.25,2,1
openstack/charm-interface-mysql-shared,openstack/puppet-senlin,Core,8.695652173913043,0.0,2,0
openstack/charm-interface-mysql-shared,openstack/puppet-senlin,Non core,0.0,0.0,2,0
openstack/charm-interface-mysql-shared,openstack/cookbook-openstack-application-catalog,Core,0.0,0.0,0,1
openstack/charm-interface-mysql-shared,openstack/cookbook-openstack-application-catalog,Non core,0.0,5.88235294117647,0,1
openstack/charm-interface-mysql-shared,openstack/training-labs,Core,4.444444444444445,0.0,2,1
openstack/charm-interface-mysql-shared,openstack/training-labs,Non core,0.0,1.8518518518518516,2,1
openstack/charm-interface-mysql-shared,openstack/karbor,Core,1.6528925619834711,0.0,2,1
openstack/charm-interface-mysql-shared,openstack/karbor,Non core,0.0,0.5780346820809248,2,1
openstack/charm-interface-mysql-shared,openstack/devstack-plugin-open-cas,Core,0.0,0.0,0,0
openstack/charm-interface-mysql-shared,openstack/devstack-plugin-open-cas,Non core,0.0,0.0,0,0
openstack/charm-interface-mysql-shared,openstack/openstack-ansible-os_congress,Core,6.0606060606060606,0.0,2,0
openstack/charm-interface-mysql-shared,openstack/openstack-ansible-os_congress,Non core,0.0,0.0,2,0
openstack/charm-interface-mysql-shared,openstack/charm-ops-interface-ceph-client,Core,0.0,0.0,2,4
openstack/charm-interface-mysql-shared,openstack/charm-ops-interface-ceph-client,Non core,22.22222222222222,40.0,2,4
openstack/charm-interface-mysql-shared,openstack/charm-interface-keystone-notifications,Core,0.0,0.0,0,2
openstack/charm-interface-mysql-shared,openstack/charm-interface-keystone-notifications,Non core,0.0,20.0,0,2
openstack/charm-interface-mysql-shared,openstack/os-collect-config,Core,5.0,0.0,3,1
openstack/charm-interface-mysql-shared,openstack/os-collect-config,Non core,0.0,0.8849557522123894,3,1
openstack/charm-interface-mysql-shared,openstack/os-apply-config,Core,5.084745762711865,0.0,3,1
openstack/charm-interface-mysql-shared,openstack/os-apply-config,Non core,0.0,0.9523809523809524,3,1
openstack/charm-interface-mysql-shared,openstack/puppet-freezer,Core,6.25,0.0,2,1
openstack/charm-interface-mysql-shared,openstack/puppet-freezer,Non core,0.0,2.7777777777777777,2,1
openstack/charm-interface-mysql-shared,openstack/vitrage-specs,Core,4.444444444444445,0.0,2,1
openstack/charm-interface-mysql-shared,openstack/vitrage-specs,Non core,0.0,1.6666666666666667,2,1
openstack/charm-interface-mysql-shared,openstack/specs-cookiecutter,Core,12.5,0.0,2,1
openstack/charm-interface-mysql-shared,openstack/specs-cookiecutter,Non core,0.0,4.166666666666666,2,1
openstack/charm-interface-mysql-shared,openstack/rpm-packaging-tools,Core,10.526315789473683,0.0,2,1
openstack/charm-interface-mysql-shared,openstack/rpm-packaging-tools,Non core,0.0,2.857142857142857,2,1
openstack/charm-interface-mysql-shared,openstack/ansible-role-openstack-operations,Core,13.636363636363635,0.0,3,0
openstack/charm-interface-mysql-shared,openstack/ansible-role-openstack-operations,Non core,0.0,0.0,3,0
openstack/charm-interface-mysql-shared,openstack/os-refresh-config,Core,6.666666666666667,0.0,3,1
openstack/charm-interface-mysql-shared,openstack/os-refresh-config,Non core,0.0,1.1904761904761905,3,1
openstack/charm-interface-mysql-shared,openstack/mistral-specs,Core,5.714285714285714,0.0,3,1
openstack/charm-interface-mysql-shared,openstack/mistral-specs,Non core,2.857142857142857,2.083333333333333,3,1
openstack/charm-interface-mysql-shared,openstack/scientific-wg,Core,8.333333333333332,0.0,1,1
openstack/charm-interface-mysql-shared,openstack/scientific-wg,Non core,0.0,6.666666666666667,1,1
openstack/charm-interface-mysql-shared,openstack/charm-interface-keystone-fid-service-provider,Core,9.090909090909092,0.0,2,4
openstack/charm-interface-mysql-shared,openstack/charm-interface-keystone-fid-service-provider,Non core,9.090909090909092,33.33333333333333,2,4
openstack/charm-interface-mysql-shared,openstack/manila-test-image,Core,8.333333333333332,0.0,1,1
openstack/charm-interface-mysql-shared,openstack/manila-test-image,Non core,0.0,4.0,1,1
openstack/charm-interface-mysql-shared,openstack/governance-website,Core,11.76470588235294,0.0,2,1
openstack/charm-interface-mysql-shared,openstack/governance-website,Non core,0.0,3.3333333333333335,2,1
openstack/charm-interface-mysql-shared,openstack/bugdaystats,Core,0.0,0.0,0,1
openstack/charm-interface-mysql-shared,openstack/bugdaystats,Non core,0.0,4.0,0,1
openstack/charm-interface-mysql-shared,openstack/upstream-institute-virtual-environment,Core,0.0,0.0,0,0
openstack/charm-interface-mysql-shared,openstack/upstream-institute-virtual-environment,Non core,0.0,0.0,0,0
openstack/charm-interface-mysql-shared,openstack/karbor-dashboard,Core,2.1739130434782608,0.0,1,1
openstack/charm-interface-mysql-shared,openstack/karbor-dashboard,Non core,0.0,1.4705882352941175,1,1
openstack/charm-interface-mysql-shared,openstack/django_openstack_auth,Core,2.3529411764705883,0.0,2,1
