projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-ironic-conductor,openstack/charm-neutron-api-plugin-ovn,Core,0.0,0.0,8,11
openstack/charm-ironic-conductor,openstack/charm-neutron-api-plugin-ovn,Non core,50.0,50.0,8,11
openstack/charm-ironic-conductor,openstack/charm-octavia-dashboard,Core,0.0,0.0,8,10
openstack/charm-ironic-conductor,openstack/charm-octavia-dashboard,Non core,40.0,38.46153846153847,8,10
openstack/charm-ironic-conductor,openstack/charm-masakari,Core,0.0,0.0,8,12
openstack/charm-ironic-conductor,openstack/charm-masakari,Non core,47.05882352941176,50.0,8,12
openstack/charm-ironic-conductor,openstack/zun-ui,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/zun-ui,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/python-brick-cinderclient-ext,Core,0.0,0.0,1,0
openstack/charm-ironic-conductor,openstack/python-brick-cinderclient-ext,Non core,1.8181818181818181,0.0,1,0
openstack/charm-ironic-conductor,openstack/puppet-tacker,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-tacker,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-ec2api,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-ec2api,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-mistral,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-mistral,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-oslo,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-oslo,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-manila,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-manila,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-sahara,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-sahara,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-vswitch,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-vswitch,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-gnocchi,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-gnocchi,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-vitrage,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-vitrage,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-magnum,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-magnum,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-rally,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-rally,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-watcher,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-watcher,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-cloudkitty,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-cloudkitty,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-placement,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-placement,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-ceilometer,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-ceilometer,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-heat,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-heat,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-cinder,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-cinder,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-barbican,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/puppet-barbican,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/tenks,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/tenks,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/charm-cinder-ceph,Core,0.0,0.0,8,11
openstack/charm-ironic-conductor,openstack/charm-cinder-ceph,Non core,22.857142857142858,28.205128205128204,8,11
openstack/charm-ironic-conductor,openstack/charm-heat,Core,0.0,0.0,8,12
openstack/charm-ironic-conductor,openstack/charm-heat,Non core,21.052631578947366,27.906976744186046,8,12
openstack/charm-ironic-conductor,openstack/charm-neutron-api-plugin-ironic,Core,0.0,0.0,8,9
openstack/charm-ironic-conductor,openstack/charm-neutron-api-plugin-ironic,Non core,72.72727272727273,56.25,8,9
openstack/charm-ironic-conductor,openstack/charm-openstack-dashboard,Core,0.0,0.0,10,13
openstack/charm-ironic-conductor,openstack/charm-openstack-dashboard,Non core,16.666666666666664,25.49019607843137,10,13
openstack/charm-ironic-conductor,openstack/charm-keystone-kerberos,Core,0.0,0.0,6,9
openstack/charm-ironic-conductor,openstack/charm-keystone-kerberos,Non core,50.0,47.368421052631575,6,9
openstack/charm-ironic-conductor,openstack/python-keystoneclient,Core,0.0,0.0,1,1
openstack/charm-ironic-conductor,openstack/python-keystoneclient,Non core,0.36363636363636365,0.2136752136752137,1,1
openstack/charm-ironic-conductor,openstack/charm-gnocchi,Core,0.0,0.0,8,11
openstack/charm-ironic-conductor,openstack/charm-gnocchi,Non core,26.666666666666668,29.72972972972973,8,11
openstack/charm-ironic-conductor,openstack/ironic-lib,Core,0.0,0.0,1,0
openstack/charm-ironic-conductor,openstack/ironic-lib,Non core,1.1235955056179776,0.0,1,0
openstack/charm-ironic-conductor,openstack/ovsdbapp,Core,0.0,0.0,1,0
openstack/charm-ironic-conductor,openstack/ovsdbapp,Non core,1.5873015873015872,0.0,1,0
openstack/charm-ironic-conductor,openstack/python-octaviaclient,Core,0.0,0.0,1,0
openstack/charm-ironic-conductor,openstack/python-octaviaclient,Non core,1.5873015873015872,0.0,1,0
openstack/charm-ironic-conductor,openstack/octavia-lib,Core,0.0,0.0,1,0
openstack/charm-ironic-conductor,openstack/octavia-lib,Non core,3.0303030303030303,0.0,1,0
openstack/charm-ironic-conductor,openstack/charm-neutron-gateway,Core,0.0,0.0,9,12
openstack/charm-ironic-conductor,openstack/charm-neutron-gateway,Non core,17.307692307692307,23.076923076923077,9,12
openstack/charm-ironic-conductor,openstack/charm-hacluster,Core,0.0,0.0,8,13
openstack/charm-ironic-conductor,openstack/charm-hacluster,Non core,18.6046511627907,28.26086956521739,8,13
openstack/charm-ironic-conductor,openstack/charm-manila,Core,0.0,0.0,8,11
openstack/charm-ironic-conductor,openstack/charm-manila,Non core,26.666666666666668,37.93103448275862,8,11
openstack/charm-ironic-conductor,openstack/ironic-prometheus-exporter,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/ironic-prometheus-exporter,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/charm-manila-netapp,Core,0.0,0.0,3,6
openstack/charm-ironic-conductor,openstack/charm-manila-netapp,Non core,27.27272727272727,37.5,3,6
openstack/charm-ironic-conductor,openstack/charm-pacemaker-remote,Core,0.0,0.0,6,10
openstack/charm-ironic-conductor,openstack/charm-pacemaker-remote,Non core,35.294117647058826,41.66666666666667,6,10
openstack/charm-ironic-conductor,openstack/charm-glance-simplestreams-sync,Core,0.0,0.0,9,13
openstack/charm-ironic-conductor,openstack/charm-glance-simplestreams-sync,Non core,30.0,46.42857142857143,9,13
openstack/charm-ironic-conductor,openstack/oslo-specs,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/oslo-specs,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/openstack-ansible-rsyslog_server,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/openstack-ansible-rsyslog_server,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/openstack-ansible-rsyslog_client,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/openstack-ansible-rsyslog_client,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/charm-cinder-backup,Core,0.0,0.0,7,10
openstack/charm-ironic-conductor,openstack/charm-cinder-backup,Non core,25.925925925925924,32.25806451612903,7,10
openstack/charm-ironic-conductor,openstack/charm-cinder-backup-swift-proxy,Core,0.0,0.0,7,10
openstack/charm-ironic-conductor,openstack/charm-cinder-backup-swift-proxy,Non core,41.17647058823529,50.0,7,10
openstack/charm-ironic-conductor,openstack/tripleo-ci-health-queries,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/tripleo-ci-health-queries,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/castellan,Core,0.0,0.0,1,3
openstack/charm-ironic-conductor,openstack/castellan,Non core,1.0869565217391304,2.0689655172413794,1,3
openstack/charm-ironic-conductor,openstack/kuryr,Core,0.0,0.0,1,0
openstack/charm-ironic-conductor,openstack/kuryr,Non core,0.9803921568627451,0.0,1,0
openstack/charm-ironic-conductor,openstack/masakari-monitors,Core,0.0,0.0,2,2
openstack/charm-ironic-conductor,openstack/masakari-monitors,Non core,3.6363636363636362,2.3529411764705883,2,2
openstack/charm-ironic-conductor,openstack/adjutant,Core,0.0,0.0,1,1
openstack/charm-ironic-conductor,openstack/adjutant,Non core,2.941176470588235,2.3255813953488373,1,1
openstack/charm-ironic-conductor,openstack/keystonemiddleware,Core,0.0,0.0,1,1
openstack/charm-ironic-conductor,openstack/keystonemiddleware,Non core,0.7936507936507936,0.4405286343612335,1,1
openstack/charm-ironic-conductor,openstack/charm-barbican-vault,Core,0.0,0.0,8,10
openstack/charm-ironic-conductor,openstack/charm-barbican-vault,Non core,38.095238095238095,38.46153846153847,8,10
openstack/charm-ironic-conductor,openstack/charm-aodh,Core,0.0,0.0,7,10
openstack/charm-ironic-conductor,openstack/charm-aodh,Non core,24.137931034482758,28.57142857142857,7,10
openstack/charm-ironic-conductor,openstack/charm-keystone,Core,0.0,0.0,9,13
openstack/charm-ironic-conductor,openstack/charm-keystone,Non core,12.676056338028168,21.666666666666668,9,13
openstack/charm-ironic-conductor,openstack/charm-designate-bind,Core,0.0,0.0,8,11
openstack/charm-ironic-conductor,openstack/charm-designate-bind,Non core,25.0,27.500000000000004,8,11
openstack/charm-ironic-conductor,openstack/charm-magnum,Core,0.0,0.0,3,7
openstack/charm-ironic-conductor,openstack/charm-magnum,Non core,25.0,43.75,3,7
openstack/charm-ironic-conductor,openstack/charm-manila-ganesha,Core,0.0,0.0,8,11
openstack/charm-ironic-conductor,openstack/charm-manila-ganesha,Non core,42.10526315789473,52.38095238095239,8,11
openstack/charm-ironic-conductor,openstack/ldappool,Core,0.0,0.0,1,1
openstack/charm-ironic-conductor,openstack/ldappool,Non core,2.857142857142857,2.127659574468085,1,1
openstack/charm-ironic-conductor,openstack/charm-nova-compute-nvidia-vgpu,Core,0.0,0.0,3,7
openstack/charm-ironic-conductor,openstack/charm-nova-compute-nvidia-vgpu,Non core,25.0,43.75,3,7
openstack/charm-ironic-conductor,openstack/charm-zuul-jobs,Core,0.0,0.0,1,4
openstack/charm-ironic-conductor,openstack/charm-zuul-jobs,Non core,8.333333333333332,22.22222222222222,1,4
openstack/charm-ironic-conductor,openstack/charm-swift-storage,Core,0.0,0.0,8,12
openstack/charm-ironic-conductor,openstack/charm-swift-storage,Non core,18.6046511627907,24.0,8,12
openstack/charm-ironic-conductor,openstack/charm-swift-proxy,Core,0.0,0.0,8,13
openstack/charm-ironic-conductor,openstack/charm-swift-proxy,Non core,19.047619047619047,32.5,8,13
openstack/charm-ironic-conductor,openstack/openstack-virtual-baremetal,Core,0.0,0.0,1,0
openstack/charm-ironic-conductor,openstack/openstack-virtual-baremetal,Non core,3.3333333333333335,0.0,1,0
openstack/charm-ironic-conductor,openstack/charm-neutron-openvswitch,Core,0.0,0.0,9,13
openstack/charm-ironic-conductor,openstack/charm-neutron-openvswitch,Non core,16.9811320754717,24.074074074074073,9,13
openstack/charm-ironic-conductor,openstack/kuryr-libnetwork,Core,0.0,0.0,1,0
openstack/charm-ironic-conductor,openstack/kuryr-libnetwork,Non core,1.36986301369863,0.0,1,0
openstack/charm-ironic-conductor,openstack/charm-placement,Core,0.0,0.0,6,11
openstack/charm-ironic-conductor,openstack/charm-placement,Non core,35.294117647058826,50.0,6,11
openstack/charm-ironic-conductor,openstack/cyborg,Core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/cyborg,Non core,0.0,0.0,0,0
openstack/charm-ironic-conductor,openstack/charm-nova-cell-controller,Core,0.0,0.0,7,10
openstack/charm-ironic-conductor,openstack/charm-nova-cell-controller,Non core,35.0,40.0,7,10
openstack/charm-ironic-conductor,openstack/charm-keystone-ldap,Core,0.0,0.0,8,12
openstack/charm-ironic-conductor,openstack/charm-keystone-ldap,Non core,29.629629629629626,40.0,8,12
openstack/charm-ironic-conductor,openstack/charm-keystone-saml-mellon,Core,0.0,0.0,7,11
openstack/charm-ironic-conductor,openstack/charm-keystone-saml-mellon,Non core,35.0,35.483870967741936,7,11
openstack/charm-ironic-conductor,openstack/charm-manila-generic,Core,0.0,0.0,7,10
