projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-keystone-ldap,openstack/charm-keystone-saml-mellon,Core,3.571428571428571,2.7777777777777777,12,16
openstack/charm-keystone-ldap,openstack/charm-keystone-saml-mellon,Non core,39.285714285714285,41.66666666666667,12,16
openstack/charm-keystone-ldap,openstack/charm-manila-generic,Core,10.344827586206897,6.25,17,17
openstack/charm-keystone-ldap,openstack/charm-manila-generic,Non core,48.275862068965516,46.875,17,17
openstack/charm-keystone-ldap,openstack/charm-manila-dashboard,Core,0.0,0.0,3,9
openstack/charm-keystone-ldap,openstack/charm-manila-dashboard,Non core,12.5,34.61538461538461,3,9
openstack/charm-keystone-ldap,openstack/charm-ironic-api,Core,0.0,0.0,5,10
openstack/charm-keystone-ldap,openstack/charm-ironic-api,Non core,19.230769230769234,37.03703703703704,5,10
openstack/charm-keystone-ldap,openstack/charm-cinder-netapp,Core,0.0,0.0,4,7
openstack/charm-keystone-ldap,openstack/charm-cinder-netapp,Non core,16.0,25.925925925925924,4,7
openstack/charm-keystone-ldap,openstack/charm-ceilometer,Core,4.3478260869565215,0.0,17,21
openstack/charm-keystone-ldap,openstack/charm-ceilometer,Non core,32.608695652173914,50.0,17,21
openstack/charm-keystone-ldap,openstack/charm-keystone-openidc,Core,0.0,0.0,1,3
openstack/charm-keystone-ldap,openstack/charm-keystone-openidc,Non core,4.0,11.538461538461538,1,3
openstack/charm-keystone-ldap,openstack/charm-mysql-router,Core,6.451612903225806,0.0,12,17
openstack/charm-keystone-ldap,openstack/charm-mysql-router,Non core,32.25806451612903,60.71428571428571,12,17
openstack/charm-keystone-ldap,openstack/rally-openstack,Core,2.3255813953488373,0.0,4,1
openstack/charm-keystone-ldap,openstack/rally-openstack,Non core,2.3255813953488373,0.8547008547008548,4,1
openstack/charm-keystone-ldap,openstack/os-win,Core,4.166666666666666,2.4691358024691357,4,4
openstack/charm-keystone-ldap,openstack/os-win,Non core,1.3888888888888888,2.4691358024691357,4,4
openstack/charm-keystone-ldap,openstack/python-neutronclient,Core,0.9090909090909091,0.16051364365971107,6,4
openstack/charm-keystone-ldap,openstack/python-neutronclient,Non core,0.9090909090909091,0.4815409309791332,6,4
openstack/charm-keystone-ldap,openstack/sushy-tools,Core,5.172413793103448,1.3333333333333335,3,2
openstack/charm-keystone-ldap,openstack/sushy-tools,Non core,0.0,1.3333333333333335,3,2
openstack/charm-keystone-ldap,openstack/charm-ceilometer-agent,Core,8.333333333333332,0.0,16,18
openstack/charm-keystone-ldap,openstack/charm-ceilometer-agent,Non core,36.11111111111111,48.64864864864865,16,18
openstack/charm-keystone-ldap,openstack/charm-barbican,Core,5.88235294117647,2.941176470588235,16,19
openstack/charm-keystone-ldap,openstack/charm-barbican,Non core,41.17647058823529,52.94117647058824,16,19
openstack/charm-keystone-ldap,openstack/charm-octavia-diskimage-retrofit,Core,3.3333333333333335,3.125,10,14
openstack/charm-keystone-ldap,openstack/charm-octavia-diskimage-retrofit,Non core,30.0,40.625,10,14
openstack/charm-keystone-ldap,openstack/ansible-role-redhat-subscription,Core,4.545454545454546,1.7241379310344827,2,1
openstack/charm-keystone-ldap,openstack/ansible-role-redhat-subscription,Non core,0.0,0.0,2,1
openstack/charm-keystone-ldap,openstack/oslo.db,Core,1.8633540372670807,0.37593984962406013,4,3
openstack/charm-keystone-ldap,openstack/oslo.db,Non core,0.6211180124223602,0.7518796992481203,4,3
openstack/charm-keystone-ldap,openstack/tripleo-repos,Core,1.5625,0.0,3,1
openstack/charm-keystone-ldap,openstack/tripleo-repos,Non core,3.125,1.098901098901099,3,1
openstack/charm-keystone-ldap,openstack/openstack-ansible-os_mistral,Core,2.380952380952381,1.9230769230769231,1,1
openstack/charm-keystone-ldap,openstack/openstack-ansible-os_mistral,Non core,0.0,0.0,1,1
openstack/charm-keystone-ldap,openstack/oswin-tempest-plugin,Core,2.380952380952381,2.7777777777777777,2,2
openstack/charm-keystone-ldap,openstack/oswin-tempest-plugin,Non core,2.380952380952381,2.7777777777777777,2,2
openstack/charm-keystone-ldap,openstack/pymod2pkg,Core,4.615384615384616,1.098901098901099,4,2
openstack/charm-keystone-ldap,openstack/pymod2pkg,Non core,1.5384615384615385,1.098901098901099,4,2
openstack/charm-keystone-ldap,openstack/large-scale,Core,0.0,0.0,0,0
