projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-magnum-dashboard,openstack/charms.ceph,Core,0.0,0.0,3,8
openstack/charm-magnum-dashboard,openstack/charms.ceph,Non core,8.108108108108109,22.857142857142858,3,8
openstack/charm-magnum-dashboard,openstack/python-troveclient,Core,0.0,0.0,0,1
openstack/charm-magnum-dashboard,openstack/python-troveclient,Non core,0.0,0.4291845493562232,0,1
openstack/charm-magnum-dashboard,openstack/release-test,Core,0.0,0.0,0,0
openstack/charm-magnum-dashboard,openstack/release-test,Non core,0.0,0.0,0,0
openstack/charm-magnum-dashboard,openstack/charm-layer-openstack,Core,0.0,0.0,3,7
openstack/charm-magnum-dashboard,openstack/charm-layer-openstack,Non core,13.636363636363635,31.818181818181817,3,7
openstack/charm-magnum-dashboard,openstack/charm-layer-openstack-api,Core,0.0,0.0,3,4
openstack/charm-magnum-dashboard,openstack/charm-layer-openstack-api,Non core,25.0,25.0,3,4
openstack/charm-magnum-dashboard,openstack/cliff,Core,0.0,0.0,1,1
openstack/charm-magnum-dashboard,openstack/cliff,Non core,0.9803921568627451,0.53475935828877,1,1
openstack/charm-magnum-dashboard,openstack/virtualbmc,Core,0.0,0.0,0,0
openstack/charm-magnum-dashboard,openstack/virtualbmc,Non core,0.0,0.0,0,0
openstack/charm-magnum-dashboard,openstack/watcher-tempest-plugin,Core,0.0,0.0,0,0
openstack/charm-magnum-dashboard,openstack/watcher-tempest-plugin,Non core,0.0,0.0,0,0
openstack/charm-magnum-dashboard,openstack/charm-nova-cloud-controller,Core,0.0,0.0,4,8
openstack/charm-magnum-dashboard,openstack/charm-nova-cloud-controller,Non core,7.8431372549019605,15.686274509803921,4,8
openstack/charm-magnum-dashboard,openstack/devstack-gate,Core,0.0,0.0,0,1
openstack/charm-magnum-dashboard,openstack/devstack-gate,Non core,0.0,0.24271844660194172,0,1
openstack/charm-magnum-dashboard,openstack/ansible-role-pki,Core,0.0,0.0,0,0
openstack/charm-magnum-dashboard,openstack/ansible-role-pki,Non core,0.0,0.0,0,0
openstack/charm-magnum-dashboard,openstack/charm-masakari-monitors,Core,0.0,0.0,3,8
openstack/charm-magnum-dashboard,openstack/charm-masakari-monitors,Non core,20.0,57.14285714285714,3,8
