projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-openstack-loadbalancer,openstack/ansible-role-python_venv_build,Core,0.0,0.0,0,0
openstack/charm-openstack-loadbalancer,openstack/ansible-role-python_venv_build,Non core,0.0,0.0,0,0
openstack/charm-openstack-loadbalancer,openstack/mistral-dashboard,Core,0.0,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/mistral-dashboard,Non core,1.5384615384615385,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/mistral-lib,Core,0.0,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/mistral-lib,Non core,2.2222222222222223,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/monasca-events-api,Core,0.0,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/monasca-events-api,Non core,3.7037037037037033,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/python-zaqarclient,Core,0.0,0.0,0,1
openstack/charm-openstack-loadbalancer,openstack/python-zaqarclient,Non core,0.0,0.7936507936507936,0,1
openstack/charm-openstack-loadbalancer,openstack/monasca-api,Core,0.0,0.0,0,0
openstack/charm-openstack-loadbalancer,openstack/monasca-api,Non core,0.0,0.0,0,0
openstack/charm-openstack-loadbalancer,openstack/monasca-persister,Core,0.0,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/monasca-persister,Non core,1.3333333333333335,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/monasca-notification,Core,0.0,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/monasca-notification,Non core,1.282051282051282,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/python-saharaclient,Core,0.0,0.0,0,1
openstack/charm-openstack-loadbalancer,openstack/python-saharaclient,Non core,0.0,0.7518796992481203,0,1
openstack/charm-openstack-loadbalancer,openstack/charm-magpie,Core,0.0,0.0,5,7
openstack/charm-openstack-loadbalancer,openstack/charm-magpie,Non core,35.714285714285715,46.666666666666664,5,7
openstack/charm-openstack-loadbalancer,openstack/openstack-ansible-os_placement,Core,0.0,0.0,0,0
openstack/charm-openstack-loadbalancer,openstack/openstack-ansible-os_placement,Non core,0.0,0.0,0,0
openstack/charm-openstack-loadbalancer,openstack/openstackdocstheme,Core,0.0,0.0,1,2
openstack/charm-openstack-loadbalancer,openstack/openstackdocstheme,Non core,1.36986301369863,1.7391304347826086,1,2
openstack/charm-openstack-loadbalancer,openstack/sahara,Core,0.0,0.0,1,1
openstack/charm-openstack-loadbalancer,openstack/sahara,Non core,0.36496350364963503,0.2688172043010753,1,1
openstack/charm-openstack-loadbalancer,openstack/ironic-ui,Core,0.0,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/ironic-ui,Non core,1.5625,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/oslo.serialization,Core,0.0,0.0,2,1
openstack/charm-openstack-loadbalancer,openstack/oslo.serialization,Non core,2.8169014084507045,0.9523809523809524,2,1
openstack/charm-openstack-loadbalancer,openstack/oslo.context,Core,0.0,0.0,0,1
openstack/charm-openstack-loadbalancer,openstack/oslo.context,Non core,0.0,0.9259259259259258,0,1
openstack/charm-openstack-loadbalancer,openstack/oslo.limit,Core,0.0,0.0,1,1
openstack/charm-openstack-loadbalancer,openstack/oslo.limit,Non core,2.564102564102564,1.8181818181818181,1,1
openstack/charm-openstack-loadbalancer,openstack/oslo.middleware,Core,0.0,0.0,1,1
openstack/charm-openstack-loadbalancer,openstack/oslo.middleware,Non core,1.1494252873563218,0.7633587786259541,1,1
openstack/charm-openstack-loadbalancer,openstack/oslo.reports,Core,0.0,0.0,0,1
openstack/charm-openstack-loadbalancer,openstack/oslo.reports,Non core,0.0,1.1363636363636365,0,1
openstack/charm-openstack-loadbalancer,openstack/futurist,Core,0.0,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/futurist,Non core,2.0408163265306123,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/oslo.i18n,Core,0.0,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/oslo.i18n,Non core,1.5151515151515151,0.0,1,0
openstack/charm-openstack-loadbalancer,openstack/sushy-oem-idrac,Core,0.0,0.0,0,0
openstack/charm-openstack-loadbalancer,openstack/sushy-oem-idrac,Non core,0.0,0.0,0,0
openstack/charm-openstack-loadbalancer,openstack/python-dracclient,Core,0.0,0.0,0,0
openstack/charm-openstack-loadbalancer,openstack/python-dracclient,Non core,0.0,0.0,0,0
