projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-percona-cluster,openstack/charm-deployment-guide,Core,1.6666666666666667,3.1746031746031744,14,22
openstack/charm-percona-cluster,openstack/charm-deployment-guide,Non core,21.666666666666668,31.746031746031743,14,22
openstack/charm-percona-cluster,openstack/rbd-iscsi-client,Core,0.0,0.0,0,0
openstack/charm-percona-cluster,openstack/rbd-iscsi-client,Non core,0.0,0.0,0,0
openstack/charm-percona-cluster,openstack/oslo.metrics,Core,2.083333333333333,0.0,2,2
openstack/charm-percona-cluster,openstack/oslo.metrics,Non core,2.083333333333333,3.076923076923077,2,2
openstack/charm-percona-cluster,openstack/oslo.vmware,Core,1.7241379310344827,1.6042780748663104,6,8
openstack/charm-percona-cluster,openstack/oslo.vmware,Non core,3.4482758620689653,2.6737967914438503,6,8
openstack/charm-percona-cluster,openstack/oslo.upgradecheck,Core,3.571428571428571,2.5974025974025974,4,3
openstack/charm-percona-cluster,openstack/oslo.upgradecheck,Non core,3.571428571428571,1.2987012987012987,4,3
openstack/charm-percona-cluster,openstack/python-masakariclient,Core,2.4390243902439024,2.1052631578947367,2,9
openstack/charm-percona-cluster,openstack/python-masakariclient,Non core,0.0,7.368421052631578,2,9
openstack/charm-percona-cluster,openstack/python-vitrageclient,Core,2.1739130434782608,1.1494252873563218,4,4
openstack/charm-percona-cluster,openstack/python-vitrageclient,Non core,2.1739130434782608,3.4482758620689653,4,4
openstack/charm-percona-cluster,openstack/python-blazarclient,Core,2.197802197802198,1.639344262295082,4,7
openstack/charm-percona-cluster,openstack/python-blazarclient,Non core,2.197802197802198,4.098360655737705,4,7
openstack/charm-percona-cluster,openstack/zaqar-tempest-plugin,Core,3.7735849056603774,2.73972602739726,2,4
openstack/charm-percona-cluster,openstack/zaqar-tempest-plugin,Non core,0.0,2.73972602739726,2,4
openstack/charm-percona-cluster,openstack/tripleo-common-tempest-plugin,Core,1.7543859649122806,2.4691358024691357,2,4
openstack/charm-percona-cluster,openstack/tripleo-common-tempest-plugin,Non core,1.7543859649122806,2.4691358024691357,2,4
openstack/charm-percona-cluster,openstack/mistral-tempest-plugin,Core,0.0,2.4096385542168677,2,4
openstack/charm-percona-cluster,openstack/mistral-tempest-plugin,Non core,3.125,2.4096385542168677,2,4
openstack/charm-percona-cluster,openstack/barbican-ui,Core,0.0,1.5873015873015872,0,1
openstack/charm-percona-cluster,openstack/barbican-ui,Non core,0.0,0.0,0,1
openstack/charm-percona-cluster,openstack/liberasurecode,Core,0.0,1.4705882352941175,1,4
openstack/charm-percona-cluster,openstack/liberasurecode,Non core,1.8867924528301887,4.411764705882353,1,4
openstack/charm-percona-cluster,openstack/ansible-plugin-container-connection,Core,0.0,0.0,0,0
openstack/charm-percona-cluster,openstack/ansible-plugin-container-connection,Non core,0.0,0.0,0,0
openstack/charm-percona-cluster,openstack/os-client-config,Core,1.7094017094017095,1.3071895424836601,4,5
openstack/charm-percona-cluster,openstack/os-client-config,Non core,1.7094017094017095,1.9607843137254901,4,5
openstack/charm-percona-cluster,openstack/monasca-specs,Core,1.8867924528301887,0.0,1,1
openstack/charm-percona-cluster,openstack/monasca-specs,Non core,0.0,1.2345679012345678,1,1
openstack/charm-percona-cluster,openstack/os-performance-tools,Core,3.4482758620689653,2.857142857142857,3,3
openstack/charm-percona-cluster,openstack/os-performance-tools,Non core,1.7241379310344827,1.4285714285714286,3,3
openstack/charm-percona-cluster,openstack/trove-specs,Core,1.25,0.7518796992481203,2,3
openstack/charm-percona-cluster,openstack/trove-specs,Non core,1.25,1.5037593984962405,2,3
openstack/charm-percona-cluster,openstack/manila-image-elements,Core,1.4925373134328357,1.0638297872340425,2,4
openstack/charm-percona-cluster,openstack/manila-image-elements,Non core,1.4925373134328357,3.1914893617021276,2,4
openstack/charm-percona-cluster,openstack/blazar-specs,Core,0.0,1.3888888888888888,0,1
openstack/charm-percona-cluster,openstack/blazar-specs,Non core,0.0,0.0,0,1
openstack/charm-percona-cluster,openstack/molteniron,Core,6.0,2.7027027027027026,4,4
openstack/charm-percona-cluster,openstack/molteniron,Non core,2.0,2.7027027027027026,4,4
openstack/charm-percona-cluster,openstack/solum-specs,Core,3.571428571428571,0.0,2,1
openstack/charm-percona-cluster,openstack/solum-specs,Non core,0.0,1.3513513513513513,2,1
openstack/charm-percona-cluster,openstack/patrole,Core,2.3622047244094486,1.935483870967742,5,9
openstack/charm-percona-cluster,openstack/patrole,Non core,1.574803149606299,3.870967741935484,5,9
openstack/charm-percona-cluster,openstack/performance-docs,Core,1.2345679012345678,0.9523809523809524,1,5
openstack/charm-percona-cluster,openstack/performance-docs,Non core,0.0,3.8095238095238098,1,5
