projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/charm-swift-storage,openstack/charm-swift-proxy,Core,8.0,7.4074074074074066,29,29
openstack/charm-swift-storage,openstack/charm-swift-proxy,Non core,50.0,46.2962962962963,29,29
openstack/charm-swift-storage,openstack/openstack-virtual-baremetal,Core,1.7543859649122806,0.0,3,0
openstack/charm-swift-storage,openstack/openstack-virtual-baremetal,Non core,3.508771929824561,0.0,3,0
openstack/charm-swift-storage,openstack/charm-neutron-openvswitch,Core,4.545454545454546,6.0606060606060606,25,31
openstack/charm-swift-storage,openstack/charm-neutron-openvswitch,Non core,33.33333333333333,40.909090909090914,25,31
openstack/charm-swift-storage,openstack/kuryr-libnetwork,Core,4.2105263157894735,2.18978102189781,8,7
openstack/charm-swift-storage,openstack/kuryr-libnetwork,Non core,4.2105263157894735,2.9197080291970803,8,7
openstack/charm-swift-storage,openstack/charm-placement,Core,2.380952380952381,0.0,10,15
openstack/charm-swift-storage,openstack/charm-placement,Non core,21.428571428571427,31.25,10,15
openstack/charm-swift-storage,openstack/cyborg,Core,3.7735849056603774,2.2857142857142856,7,10
openstack/charm-swift-storage,openstack/cyborg,Non core,2.8301886792452833,3.428571428571429,7,10
openstack/charm-swift-storage,openstack/charm-nova-cell-controller,Core,2.3255813953488373,4.25531914893617,13,18
openstack/charm-swift-storage,openstack/charm-nova-cell-controller,Non core,27.906976744186046,34.04255319148936,13,18
openstack/charm-swift-storage,openstack/charm-keystone-ldap,Core,4.3478260869565215,1.9230769230769231,18,20
openstack/charm-swift-storage,openstack/charm-keystone-ldap,Non core,34.78260869565217,36.53846153846153,18,20
openstack/charm-swift-storage,openstack/charm-keystone-saml-mellon,Core,2.2222222222222223,1.7857142857142856,11,16
openstack/charm-swift-storage,openstack/charm-keystone-saml-mellon,Non core,22.22222222222222,26.785714285714285,11,16
openstack/charm-swift-storage,openstack/charm-manila-generic,Core,4.3478260869565215,4.0,16,19
openstack/charm-swift-storage,openstack/charm-manila-generic,Non core,30.434782608695656,34.0,16,19
openstack/charm-swift-storage,openstack/charm-manila-dashboard,Core,0.0,0.0,3,9
openstack/charm-swift-storage,openstack/charm-manila-dashboard,Non core,7.5,19.565217391304348,3,9
openstack/charm-swift-storage,openstack/charm-ironic-api,Core,0.0,0.0,6,10
openstack/charm-swift-storage,openstack/charm-ironic-api,Non core,14.634146341463413,21.27659574468085,6,10
openstack/charm-swift-storage,openstack/charm-cinder-netapp,Core,0.0,0.0,4,8
openstack/charm-swift-storage,openstack/charm-cinder-netapp,Non core,9.75609756097561,17.391304347826086,4,8
openstack/charm-swift-storage,openstack/charm-ceilometer,Core,5.263157894736842,5.263157894736842,22,26
openstack/charm-swift-storage,openstack/charm-ceilometer,Non core,33.33333333333333,40.35087719298245,22,26
openstack/charm-swift-storage,openstack/charm-keystone-openidc,Core,0.0,0.0,2,3
openstack/charm-swift-storage,openstack/charm-keystone-openidc,Non core,5.0,6.521739130434782,2,3
openstack/charm-swift-storage,openstack/charm-mysql-router,Core,2.127659574468085,0.0,12,16
openstack/charm-swift-storage,openstack/charm-mysql-router,Non core,23.404255319148938,32.6530612244898,12,16
openstack/charm-swift-storage,openstack/rally-openstack,Core,2.9702970297029703,2.272727272727273,5,6
openstack/charm-swift-storage,openstack/rally-openstack,Non core,1.9801980198019802,2.272727272727273,5,6
openstack/charm-swift-storage,openstack/os-win,Core,3.571428571428571,3.061224489795918,8,7
openstack/charm-swift-storage,openstack/os-win,Non core,5.952380952380952,4.081632653061225,8,7
openstack/charm-swift-storage,openstack/python-neutronclient,Core,1.1661807580174928,0.47095761381475665,9,10
openstack/charm-swift-storage,openstack/python-neutronclient,Non core,1.4577259475218658,1.098901098901099,9,10
openstack/charm-swift-storage,openstack/sushy-tools,Core,4.10958904109589,1.0869565217391304,4,5
openstack/charm-swift-storage,openstack/sushy-tools,Non core,1.36986301369863,4.3478260869565215,4,5
openstack/charm-swift-storage,openstack/charm-ceilometer-agent,Core,6.122448979591836,5.88235294117647,19,24
openstack/charm-swift-storage,openstack/charm-ceilometer-agent,Non core,32.6530612244898,41.17647058823529,19,24
openstack/charm-swift-storage,openstack/charm-barbican,Core,4.166666666666666,1.8518518518518516,18,19
openstack/charm-swift-storage,openstack/charm-barbican,Non core,33.33333333333333,33.33333333333333,18,19
openstack/charm-swift-storage,openstack/charm-octavia-diskimage-retrofit,Core,2.2222222222222223,2.0,11,16
openstack/charm-swift-storage,openstack/charm-octavia-diskimage-retrofit,Non core,22.22222222222222,30.0,11,16
openstack/charm-swift-storage,openstack/ansible-role-redhat-subscription,Core,5.084745762711865,0.0,3,1
openstack/charm-swift-storage,openstack/ansible-role-redhat-subscription,Non core,0.0,1.282051282051282,3,1
openstack/charm-swift-storage,openstack/oslo.db,Core,1.7341040462427744,0.7092198581560284,8,7
openstack/charm-swift-storage,openstack/oslo.db,Non core,2.8901734104046244,1.773049645390071,8,7
openstack/charm-swift-storage,openstack/tripleo-repos,Core,2.5316455696202533,0.0,4,2
openstack/charm-swift-storage,openstack/tripleo-repos,Non core,2.5316455696202533,1.8181818181818181,4,2
openstack/charm-swift-storage,openstack/openstack-ansible-os_mistral,Core,3.6363636363636362,0.0,4,2
openstack/charm-swift-storage,openstack/openstack-ansible-os_mistral,Non core,3.6363636363636362,2.8169014084507045,4,2
openstack/charm-swift-storage,openstack/oswin-tempest-plugin,Core,1.7543859649122806,3.7037037037037033,3,4
openstack/charm-swift-storage,openstack/oswin-tempest-plugin,Non core,3.508771929824561,3.7037037037037033,3,4
openstack/charm-swift-storage,openstack/pymod2pkg,Core,3.75,1.8518518518518516,5,5
openstack/charm-swift-storage,openstack/pymod2pkg,Non core,2.5,2.7777777777777777,5,5
