projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/cliff,openstack/virtualbmc,Core,6.7164179104477615,2.7149321266968327,9,15
openstack/cliff,openstack/virtualbmc,Non core,0.0,4.072398190045249,9,15
openstack/cliff,openstack/watcher-tempest-plugin,Core,3.3333333333333335,2.358490566037736,5,10
openstack/cliff,openstack/watcher-tempest-plugin,Non core,0.8333333333333334,2.358490566037736,5,10
openstack/cliff,openstack/charm-nova-cloud-controller,Core,1.36986301369863,0.8888888888888888,4,6
openstack/cliff,openstack/charm-nova-cloud-controller,Non core,1.36986301369863,1.7777777777777777,4,6
openstack/cliff,openstack/devstack-gate,Core,8.860759493670885,8.445297504798464,22,64
openstack/cliff,openstack/devstack-gate,Non core,0.42194092827004215,3.8387715930902107,22,64
openstack/cliff,openstack/ansible-role-pki,Core,0.0,0.0,0,0
openstack/cliff,openstack/ansible-role-pki,Non core,0.0,0.0,0,0
openstack/cliff,openstack/charm-masakari-monitors,Core,0.9009009009009009,0.5208333333333333,2,2
openstack/cliff,openstack/charm-masakari-monitors,Non core,0.9009009009009009,0.5208333333333333,2,2
openstack/cliff,openstack/networking-baremetal,Core,4.724409448818897,5.213270142180095,8,23
openstack/cliff,openstack/networking-baremetal,Non core,1.574803149606299,5.687203791469194,8,23
openstack/cliff,openstack/reno,Core,11.76470588235294,10.526315789473683,21,37
openstack/cliff,openstack/reno,Non core,3.6764705882352944,5.701754385964912,21,37
openstack/cliff,openstack/project-team-guide,Core,10.416666666666668,8.91089108910891,17,40
openstack/cliff,openstack/project-team-guide,Non core,1.3888888888888888,4.29042904290429,17,40
openstack/cliff,openstack/ui-cookiecutter,Core,4.716981132075472,1.5151515151515151,5,6
openstack/cliff,openstack/ui-cookiecutter,Non core,0.0,1.5151515151515151,5,6
openstack/cliff,openstack/networking-odl,Core,5.752212389380531,6.280193236714976,18,48
openstack/cliff,openstack/networking-odl,Non core,2.2123893805309733,5.314009661835748,18,48
openstack/cliff,openstack/monasca-agent,Core,6.106870229007633,2.941176470588235,23,32
openstack/cliff,openstack/monasca-agent,Non core,2.6717557251908395,4.901960784313726,23,32
openstack/cliff,openstack/shade,Core,8.333333333333332,8.0,24,40
openstack/cliff,openstack/shade,Non core,5.0,5.333333333333334,24,40
openstack/cliff,openstack/python-freezerclient,Core,5.839416058394161,4.405286343612335,13,21
openstack/cliff,openstack/python-freezerclient,Non core,3.64963503649635,4.845814977973569,13,21
openstack/cliff,openstack/js-openstack-lib,Core,2.7777777777777777,0.9950248756218906,3,5
openstack/cliff,openstack/js-openstack-lib,Non core,0.0,1.4925373134328357,3,5
openstack/cliff,openstack/rally,Core,3.803131991051454,4.012841091492777,23,45
openstack/cliff,openstack/rally,Non core,1.342281879194631,3.210272873194221,23,45
openstack/cliff,openstack/cinder-specs,Core,3.7209302325581395,3.5955056179775284,11,31
openstack/cliff,openstack/cinder-specs,Non core,1.3953488372093024,3.3707865168539324,11,31
openstack/cliff,openstack/reviewday,Core,3.418803418803419,2.912621359223301,4,8
openstack/cliff,openstack/reviewday,Non core,0.0,0.9708737864077669,4,8
openstack/cliff,openstack/freezer-api,Core,7.18562874251497,3.11284046692607,17,24
openstack/cliff,openstack/freezer-api,Non core,2.9940119760479043,6.22568093385214,17,24
openstack/cliff,openstack/networking-powervm,Core,5.511811023622047,3.508771929824561,7,18
openstack/cliff,openstack/networking-powervm,Non core,0.0,4.385964912280701,7,18
openstack/cliff,openstack/openstack-doc-tools,Core,6.329113924050633,5.363984674329502,16,23
openstack/cliff,openstack/openstack-doc-tools,Non core,3.79746835443038,3.4482758620689653,16,23
openstack/cliff,openstack/freezer,Core,5.454545454545454,3.9886039886039883,21,34
openstack/cliff,openstack/freezer,Non core,4.090909090909091,5.698005698005698,21,34
openstack/cliff,openstack/puppet-openstack-cookiecutter,Core,3.2,2.3696682464454977,7,12
openstack/cliff,openstack/puppet-openstack-cookiecutter,Non core,2.4,3.3175355450236967,7,12
openstack/cliff,openstack/zaqar-ui,Core,8.064516129032258,4.672897196261682,14,21
openstack/cliff,openstack/zaqar-ui,Non core,3.225806451612903,5.14018691588785,14,21
openstack/cliff,openstack/oslo.concurrency,Core,11.949685534591195,11.020408163265307,25,49
openstack/cliff,openstack/oslo.concurrency,Non core,3.7735849056603774,8.979591836734693,25,49
openstack/cliff,openstack/charm-octavia,Core,1.6129032258064515,0.9478672985781991,4,6
openstack/cliff,openstack/charm-octavia,Non core,1.6129032258064515,1.8957345971563981,4,6
openstack/cliff,openstack/charm-ironic-conductor,Core,0.0,0.0,1,1
openstack/cliff,openstack/charm-ironic-conductor,Non core,0.9174311926605505,0.5128205128205128,1,1
openstack/cliff,openstack/charm-neutron-api-plugin-ovn,Core,1.834862385321101,0.0,3,1
openstack/cliff,openstack/charm-neutron-api-plugin-ovn,Non core,0.9174311926605505,0.5102040816326531,3,1
openstack/cliff,openstack/charm-octavia-dashboard,Core,0.8849557522123894,1.0204081632653061,3,4
openstack/cliff,openstack/charm-octavia-dashboard,Non core,1.7699115044247788,1.0204081632653061,3,4
openstack/cliff,openstack/charm-masakari,Core,0.9009009009009009,0.5076142131979695,2,3
openstack/cliff,openstack/charm-masakari,Non core,0.9009009009009009,1.015228426395939,2,3
openstack/cliff,openstack/zun-ui,Core,4.724409448818897,3.829787234042553,7,14
openstack/cliff,openstack/zun-ui,Non core,0.7874015748031495,2.127659574468085,7,14
openstack/cliff,openstack/python-brick-cinderclient-ext,Core,5.263157894736842,3.070175438596491,11,19
openstack/cliff,openstack/python-brick-cinderclient-ext,Non core,3.007518796992481,5.263157894736842,11,19
openstack/cliff,openstack/puppet-tacker,Core,5.042016806722689,1.5,9,9
openstack/cliff,openstack/puppet-tacker,Non core,2.5210084033613445,3.0,9,9
openstack/cliff,openstack/puppet-ec2api,Core,4.878048780487805,1.9801980198019802,10,7
openstack/cliff,openstack/puppet-ec2api,Non core,3.2520325203252036,1.4851485148514851,10,7
openstack/cliff,openstack/puppet-mistral,Core,4.316546762589928,3.6734693877551026,11,19
openstack/cliff,openstack/puppet-mistral,Non core,3.597122302158273,4.081632653061225,11,19
openstack/cliff,openstack/puppet-oslo,Core,5.0359712230215825,3.8135593220338984,12,19
openstack/cliff,openstack/puppet-oslo,Non core,3.597122302158273,4.23728813559322,12,19
openstack/cliff,openstack/puppet-manila,Core,4.790419161676647,1.7985611510791366,14,16
openstack/cliff,openstack/puppet-manila,Non core,3.592814371257485,3.9568345323741005,14,16
