projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/compute-hyperv,openstack/python-cloudkittyclient,Core,6.8181818181818175,5.154639175257731,10,17
openstack/compute-hyperv,openstack/python-cloudkittyclient,Non core,4.545454545454546,12.371134020618557,10,17
openstack/compute-hyperv,openstack/charm-interface-keystone,Core,4.081632653061225,1.7857142857142856,2,4
openstack/compute-hyperv,openstack/charm-interface-keystone,Non core,0.0,5.357142857142857,2,4
openstack/compute-hyperv,openstack/cloudkitty-dashboard,Core,7.894736842105263,3.669724770642202,7,11
openstack/compute-hyperv,openstack/cloudkitty-dashboard,Non core,1.3157894736842104,6.422018348623854,7,11
openstack/compute-hyperv,openstack/networking-hyperv,Core,15.277777777777779,12.5,17,23
openstack/compute-hyperv,openstack/networking-hyperv,Non core,8.333333333333332,19.444444444444446,17,23
openstack/compute-hyperv,openstack/i18n,Core,6.8493150684931505,3.9215686274509802,6,12
openstack/compute-hyperv,openstack/i18n,Non core,1.36986301369863,7.8431372549019605,6,12
openstack/compute-hyperv,openstack/sahara-tests,Core,4.225352112676056,5.0,4,10
openstack/compute-hyperv,openstack/sahara-tests,Non core,1.4084507042253522,5.0,4,10
openstack/compute-hyperv,openstack/python-zunclient,Core,5.5045871559633035,4.444444444444445,11,12
openstack/compute-hyperv,openstack/python-zunclient,Non core,4.587155963302752,4.444444444444445,11,12
openstack/compute-hyperv,openstack/sahara-plugin-cdh,Core,6.666666666666667,8.928571428571429,4,9
openstack/compute-hyperv,openstack/sahara-plugin-cdh,Non core,2.2222222222222223,7.142857142857142,4,9
openstack/compute-hyperv,openstack/monasca-ui,Core,4.761904761904762,2.5316455696202533,8,16
openstack/compute-hyperv,openstack/monasca-ui,Non core,2.857142857142857,7.59493670886076,8,16
openstack/compute-hyperv,openstack/python-adjutantclient,Core,9.090909090909092,8.16326530612245,4,7
openstack/compute-hyperv,openstack/python-adjutantclient,Non core,0.0,6.122448979591836,4,7
openstack/compute-hyperv,openstack/charm-ceph-nfs,Core,0.0,0.0,0,0
openstack/compute-hyperv,openstack/charm-ceph-nfs,Non core,0.0,0.0,0,0
openstack/compute-hyperv,openstack/ansible-role-lunasa-hsm,Core,2.7027027027027026,2.1739130434782608,1,2
openstack/compute-hyperv,openstack/ansible-role-lunasa-hsm,Non core,0.0,2.1739130434782608,1,2
openstack/compute-hyperv,openstack/monasca-thresh,Core,4.918032786885246,1.1764705882352942,3,4
openstack/compute-hyperv,openstack/monasca-thresh,Non core,0.0,3.5294117647058822,3,4
openstack/compute-hyperv,openstack/heat-specs,Core,4.9504950495049505,1.36986301369863,6,8
openstack/compute-hyperv,openstack/heat-specs,Non core,0.9900990099009901,2.28310502283105,6,8
openstack/compute-hyperv,openstack/watcher-dashboard,Core,6.329113924050633,5.1020408163265305,7,12
openstack/compute-hyperv,openstack/watcher-dashboard,Non core,2.5316455696202533,7.142857142857142,7,12
openstack/compute-hyperv,openstack/sahara-plugin-ambari,Core,6.8181818181818175,5.769230769230769,4,6
openstack/compute-hyperv,openstack/sahara-plugin-ambari,Non core,2.272727272727273,5.769230769230769,4,6
openstack/compute-hyperv,openstack/sahara-plugin-mapr,Core,6.8181818181818175,7.2727272727272725,3,8
openstack/compute-hyperv,openstack/sahara-plugin-mapr,Non core,0.0,7.2727272727272725,3,8
openstack/compute-hyperv,openstack/sahara-plugin-spark,Core,6.976744186046512,6.25,3,5
openstack/compute-hyperv,openstack/sahara-plugin-spark,Non core,0.0,4.166666666666666,3,5
openstack/compute-hyperv,openstack/sahara-plugin-storm,Core,6.976744186046512,6.122448979591836,3,5
openstack/compute-hyperv,openstack/sahara-plugin-storm,Non core,0.0,4.081632653061225,3,5
openstack/compute-hyperv,openstack/sahara-plugin-vanilla,Core,6.976744186046512,6.0,3,6
openstack/compute-hyperv,openstack/sahara-plugin-vanilla,Non core,0.0,6.0,3,6
openstack/compute-hyperv,openstack/sahara-specs,Core,3.571428571428571,1.8018018018018018,3,5
openstack/compute-hyperv,openstack/sahara-specs,Non core,0.0,2.7027027027027026,3,5
openstack/compute-hyperv,openstack/venus-tempest-plugin,Core,0.0,2.083333333333333,0,1
openstack/compute-hyperv,openstack/venus-tempest-plugin,Non core,0.0,0.0,0,1
openstack/compute-hyperv,openstack/venus-specs,Core,0.0,0.0,0,0
openstack/compute-hyperv,openstack/venus-specs,Non core,0.0,0.0,0,0
openstack/compute-hyperv,openstack/ceilometermiddleware,Core,8.695652173913043,4.901960784313726,7,15
openstack/compute-hyperv,openstack/ceilometermiddleware,Non core,1.4492753623188406,9.803921568627452,7,15
openstack/compute-hyperv,openstack/trove-tempest-plugin,Core,6.8181818181818175,4.545454545454546,6,7
