projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/cookbook-openstack-common,openstack/self-healing-sig,Core,1.36986301369863,0.0,1,1
openstack/cookbook-openstack-common,openstack/self-healing-sig,Non core,0.0,0.8547008547008548,1,1
openstack/cookbook-openstack-common,openstack/charm-ops-interface-tls-certificates,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-ops-interface-tls-certificates,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/security-specs,Core,2.5974025974025974,0.8264462809917356,2,2
openstack/cookbook-openstack-common,openstack/security-specs,Non core,0.0,0.8264462809917356,2,2
openstack/cookbook-openstack-common,openstack/openstack-ansible-os_panko,Core,2.380952380952381,1.5873015873015872,4,6
openstack/cookbook-openstack-common,openstack/openstack-ansible-os_panko,Non core,2.380952380952381,3.1746031746031744,4,6
openstack/cookbook-openstack-common,openstack/openstack-ansible-nspawn_hosts,Core,2.4096385542168677,0.819672131147541,3,5
openstack/cookbook-openstack-common,openstack/openstack-ansible-nspawn_hosts,Non core,1.2048192771084338,3.278688524590164,3,5
openstack/cookbook-openstack-common,openstack/charm-layer-openstack-principle,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-layer-openstack-principle,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-watcher-dashboard,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-watcher-dashboard,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-watcher,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-watcher,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/openstack-ansible-galera_client,Core,4.587155963302752,2.112676056338028,9,8
openstack/cookbook-openstack-common,openstack/openstack-ansible-galera_client,Non core,3.669724770642202,3.5211267605633805,9,8
openstack/cookbook-openstack-common,openstack/cloudkitty-specs,Core,1.2658227848101267,0.0,1,2
openstack/cookbook-openstack-common,openstack/cloudkitty-specs,Non core,0.0,1.6666666666666667,1,2
openstack/cookbook-openstack-common,openstack/osops,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/osops,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-mistral,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-mistral,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-ironic,Core,1.4705882352941175,1.0526315789473684,1,1
openstack/cookbook-openstack-common,openstack/charm-ironic,Non core,0.0,0.0,1,1
openstack/cookbook-openstack-common,openstack/ansible-role-vault,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/ansible-role-vault,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/multi-arch-sig,Core,1.5384615384615385,1.0101010101010102,1,1
openstack/cookbook-openstack-common,openstack/multi-arch-sig,Non core,0.0,0.0,1,1
openstack/cookbook-openstack-common,openstack/charm-nova-compute-proxy,Core,1.3513513513513513,0.9708737864077669,1,2
openstack/cookbook-openstack-common,openstack/charm-nova-compute-proxy,Non core,0.0,0.9708737864077669,1,2
openstack/cookbook-openstack-common,openstack/charm-odl-controller,Core,1.3333333333333335,0.9900990099009901,1,2
openstack/cookbook-openstack-common,openstack/charm-odl-controller,Non core,0.0,0.9900990099009901,1,2
openstack/cookbook-openstack-common,openstack/charm-nova-lxd,Core,3.7037037037037033,0.8695652173913043,3,2
openstack/cookbook-openstack-common,openstack/charm-nova-lxd,Non core,0.0,0.8695652173913043,3,2
openstack/cookbook-openstack-common,openstack/charm-interface-nova-cell,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-interface-nova-cell,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-interface-magpie,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-interface-magpie,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/xstatic-lodash,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/xstatic-lodash,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/xstatic-moment,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/xstatic-moment,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-interface-barbican-secrets,Core,1.4492753623188406,0.0,1,1
openstack/cookbook-openstack-common,openstack/charm-interface-barbican-secrets,Non core,0.0,1.0101010101010102,1,1
openstack/cookbook-openstack-common,openstack/charm-interface-mysql-innodb-cluster,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-interface-mysql-innodb-cluster,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-interface-ceph-rbd-mirror,Core,1.4705882352941175,0.0,1,1
openstack/cookbook-openstack-common,openstack/charm-interface-ceph-rbd-mirror,Non core,0.0,1.0,1,1
openstack/cookbook-openstack-common,openstack/charm-interface-placement,Core,1.5384615384615385,0.0,1,0
openstack/cookbook-openstack-common,openstack/charm-interface-placement,Non core,0.0,0.0,1,0
openstack/cookbook-openstack-common,openstack/charm-interface-mysql-shared,Core,2.857142857142857,0.0,2,1
openstack/cookbook-openstack-common,openstack/charm-interface-mysql-shared,Non core,0.0,1.0,2,1
openstack/cookbook-openstack-common,openstack/charm-interface-dashboard-plugin,Core,1.4492753623188406,0.0,1,1
openstack/cookbook-openstack-common,openstack/charm-interface-dashboard-plugin,Non core,0.0,1.0101010101010102,1,1
openstack/cookbook-openstack-common,openstack/charm-interface-neutron-load-balancer,Core,1.4492753623188406,0.0,1,1
openstack/cookbook-openstack-common,openstack/charm-interface-neutron-load-balancer,Non core,0.0,1.0101010101010102,1,1
openstack/cookbook-openstack-common,openstack/charm-interface-neutron-plugin-api-subordinate,Core,1.3888888888888888,0.0,1,0
openstack/cookbook-openstack-common,openstack/charm-interface-neutron-plugin-api-subordinate,Non core,0.0,0.0,1,0
openstack/cookbook-openstack-common,openstack/charm-interface-neutron-plugin,Core,1.4492753623188406,0.0,1,1
openstack/cookbook-openstack-common,openstack/charm-interface-neutron-plugin,Non core,0.0,1.0101010101010102,1,1
openstack/cookbook-openstack-common,openstack/xstatic-json2yaml,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/xstatic-json2yaml,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/xstatic-jquery.tablesorter,Core,0.0,0.0,0,1
openstack/cookbook-openstack-common,openstack/xstatic-jquery.tablesorter,Non core,0.0,1.0309278350515463,0,1
openstack/cookbook-openstack-common,openstack/xstatic-magic-search,Core,1.4285714285714286,0.0,1,2
openstack/cookbook-openstack-common,openstack/xstatic-magic-search,Non core,0.0,1.8867924528301887,1,2
openstack/cookbook-openstack-common,openstack/xstatic-jsencrypt,Core,1.4705882352941175,0.0,1,2
openstack/cookbook-openstack-common,openstack/xstatic-jsencrypt,Non core,0.0,1.8867924528301887,1,2
openstack/cookbook-openstack-common,openstack/xstatic-js-yaml,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/xstatic-js-yaml,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/xstatic-spin,Core,0.0,0.0,0,1
openstack/cookbook-openstack-common,openstack/xstatic-spin,Non core,0.0,1.0309278350515463,0,1
openstack/cookbook-openstack-common,openstack/xstatic-rickshaw,Core,1.4492753623188406,0.0,1,2
openstack/cookbook-openstack-common,openstack/xstatic-rickshaw,Non core,0.0,1.9417475728155338,1,2
openstack/cookbook-openstack-common,openstack/charm-panko,Core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-panko,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-common,openstack/charm-interface-service-control,Core,1.4285714285714286,0.0,1,2
openstack/cookbook-openstack-common,openstack/charm-interface-service-control,Non core,0.0,2.0,1,2
openstack/cookbook-openstack-common,openstack/openstack-ansible-os_almanach,Core,6.097560975609756,2.5,7,6
openstack/cookbook-openstack-common,openstack/openstack-ansible-os_almanach,Non core,2.4390243902439024,2.5,7,6
openstack/cookbook-openstack-common,openstack/openstack-ansible-pip_install,Core,4.716981132075472,2.5974025974025974,6,10
openstack/cookbook-openstack-common,openstack/openstack-ansible-pip_install,Non core,0.9433962264150944,3.896103896103896,6,10
openstack/cookbook-openstack-common,openstack/python-karborclient,Core,1.7699115044247788,0.0,3,2
openstack/cookbook-openstack-common,openstack/python-karborclient,Non core,0.8849557522123894,1.2903225806451613,3,2
openstack/cookbook-openstack-common,openstack/charm-interface-keystone-admin,Core,1.4925373134328357,0.0,1,1
openstack/cookbook-openstack-common,openstack/charm-interface-keystone-admin,Non core,0.0,1.0309278350515463,1,1
openstack/cookbook-openstack-common,openstack/charm-interface-nova-compute,Core,1.4084507042253522,0.0,1,3
openstack/cookbook-openstack-common,openstack/charm-interface-nova-compute,Non core,0.0,2.9702970297029703,1,3
openstack/cookbook-openstack-common,openstack/charm-interface-manila-plugin,Core,1.4705882352941175,0.0,1,1
