projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/cookbook-openstack-identity,openstack/cookbook-openstack-ops-database,Core,20.33898305084746,11.627906976744185,32,38
openstack/cookbook-openstack-identity,openstack/cookbook-openstack-ops-database,Non core,33.89830508474576,32.55813953488372,32,38
openstack/cookbook-openstack-identity,openstack/cookbook-openstack-ops-messaging,Core,21.428571428571427,12.5,28,37
openstack/cookbook-openstack-identity,openstack/cookbook-openstack-ops-messaging,Non core,28.57142857142857,33.75,28,37
openstack/cookbook-openstack-identity,openstack/cookbook-openstack-common,Core,17.94871794871795,12.037037037037036,40,59
openstack/cookbook-openstack-identity,openstack/cookbook-openstack-common,Non core,33.33333333333333,42.592592592592595,40,59
openstack/cookbook-openstack-identity,openstack/self-healing-sig,Core,1.5384615384615385,1.0101010101010102,1,2
openstack/cookbook-openstack-identity,openstack/self-healing-sig,Non core,0.0,1.0101010101010102,1,2
openstack/cookbook-openstack-identity,openstack/charm-ops-interface-tls-certificates,Core,0.0,0.0,0,0
openstack/cookbook-openstack-identity,openstack/charm-ops-interface-tls-certificates,Non core,0.0,0.0,0,0
openstack/cookbook-openstack-identity,openstack/security-specs,Core,2.941176470588235,0.9615384615384616,3,2
openstack/cookbook-openstack-identity,openstack/security-specs,Non core,1.4705882352941175,0.9615384615384616,3,2
openstack/cookbook-openstack-identity,openstack/openstack-ansible-os_panko,Core,2.631578947368421,0.8928571428571428,4,3
openstack/cookbook-openstack-identity,openstack/openstack-ansible-os_panko,Non core,2.631578947368421,1.7857142857142856,4,3
openstack/cookbook-openstack-identity,openstack/openstack-ansible-nspawn_hosts,Core,2.666666666666667,0.9433962264150944,3,4
openstack/cookbook-openstack-identity,openstack/openstack-ansible-nspawn_hosts,Non core,1.3333333333333335,2.8301886792452833,3,4
openstack/cookbook-openstack-identity,openstack/charm-layer-openstack-principle,Core,1.6666666666666667,0.0,1,0
openstack/cookbook-openstack-identity,openstack/charm-layer-openstack-principle,Non core,0.0,0.0,1,0
openstack/cookbook-openstack-identity,openstack/charm-watcher-dashboard,Core,1.7241379310344827,0.0,1,0
openstack/cookbook-openstack-identity,openstack/charm-watcher-dashboard,Non core,0.0,0.0,1,0
openstack/cookbook-openstack-identity,openstack/charm-watcher,Core,1.6666666666666667,0.0,1,0
openstack/cookbook-openstack-identity,openstack/charm-watcher,Non core,0.0,0.0,1,0
openstack/cookbook-openstack-identity,openstack/openstack-ansible-galera_client,Core,5.0,0.78125,10,5
openstack/cookbook-openstack-identity,openstack/openstack-ansible-galera_client,Non core,5.0,3.125,10,5
openstack/cookbook-openstack-identity,openstack/cloudkitty-specs,Core,2.857142857142857,0.0,2,2
openstack/cookbook-openstack-identity,openstack/cloudkitty-specs,Non core,0.0,1.9417475728155338,2,2
openstack/cookbook-openstack-identity,openstack/osops,Core,1.6666666666666667,1.1904761904761905,1,1
