projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/cyborg-tempest-plugin,openstack/charm-ceph-iscsi,Core,0.0,0.0,0,0
openstack/cyborg-tempest-plugin,openstack/charm-ceph-iscsi,Non core,0.0,0.0,0,0
openstack/cyborg-tempest-plugin,openstack/charm-cinder-solidfire,Core,0.0,0.0,0,0
openstack/cyborg-tempest-plugin,openstack/charm-cinder-solidfire,Non core,0.0,0.0,0,0
openstack/cyborg-tempest-plugin,openstack/puppet-qdr,Core,1.8867924528301887,1.7241379310344827,2,2
openstack/cyborg-tempest-plugin,openstack/puppet-qdr,Non core,1.8867924528301887,1.7241379310344827,2,2
openstack/cyborg-tempest-plugin,openstack/vitrage-tempest-plugin,Core,5.357142857142857,3.3333333333333335,6,2
openstack/cyborg-tempest-plugin,openstack/vitrage-tempest-plugin,Non core,5.357142857142857,0.0,6,2
openstack/cyborg-tempest-plugin,openstack/tripleo-specs,Core,1.694915254237288,0.6134969325153374,2,2
openstack/cyborg-tempest-plugin,openstack/tripleo-specs,Non core,0.0,0.0,2,2
openstack/cyborg-tempest-plugin,openstack/charm-neutron-api-plugin-arista,Core,0.0,0.0,0,0
openstack/cyborg-tempest-plugin,openstack/charm-neutron-api-plugin-arista,Non core,0.0,0.0,0,0
openstack/cyborg-tempest-plugin,openstack/charm-ceph-fs,Core,4.081632653061225,3.7037037037037033,2,2
openstack/cyborg-tempest-plugin,openstack/charm-ceph-fs,Non core,0.0,0.0,2,2
openstack/cyborg-tempest-plugin,openstack/stevedore,Core,2.564102564102564,1.6528925619834711,3,4
openstack/cyborg-tempest-plugin,openstack/stevedore,Non core,1.282051282051282,1.6528925619834711,3,4
openstack/cyborg-tempest-plugin,openstack/charm-ceph-proxy,Core,1.9607843137254901,3.125,1,2
openstack/cyborg-tempest-plugin,openstack/charm-ceph-proxy,Non core,0.0,0.0,1,2
openstack/cyborg-tempest-plugin,openstack/charm-cloudkitty,Core,0.0,0.0,0,0
openstack/cyborg-tempest-plugin,openstack/charm-cloudkitty,Non core,0.0,0.0,0,0
openstack/cyborg-tempest-plugin,openstack/charm-ops-openstack,Core,0.0,0.0,0,0
openstack/cyborg-tempest-plugin,openstack/charm-ops-openstack,Non core,0.0,0.0,0,0
openstack/cyborg-tempest-plugin,openstack/zun-tempest-plugin,Core,6.382978723404255,3.225806451612903,3,2
openstack/cyborg-tempest-plugin,openstack/zun-tempest-plugin,Non core,0.0,0.0,3,2
openstack/cyborg-tempest-plugin,openstack/storlets,Core,2.4691358024691357,4.25531914893617,4,5
openstack/cyborg-tempest-plugin,openstack/storlets,Non core,2.4691358024691357,1.0638297872340425,4,5
openstack/cyborg-tempest-plugin,openstack/training-guides,Core,0.9090909090909091,1.89873417721519,1,3
openstack/cyborg-tempest-plugin,openstack/training-guides,Non core,0.0,0.0,1,3
openstack/cyborg-tempest-plugin,openstack/openstack-ansible-plugins,Core,1.098901098901099,0.847457627118644,4,3
openstack/cyborg-tempest-plugin,openstack/openstack-ansible-plugins,Non core,3.296703296703297,1.694915254237288,4,3
openstack/cyborg-tempest-plugin,openstack/python-muranoclient,Core,2.7777777777777777,1.7341040462427744,5,4
openstack/cyborg-tempest-plugin,openstack/python-muranoclient,Non core,0.6944444444444444,0.5780346820809248,5,4
openstack/cyborg-tempest-plugin,openstack/solum-dashboard,Core,6.349206349206349,3.7037037037037033,4,4
openstack/cyborg-tempest-plugin,openstack/solum-dashboard,Non core,0.0,1.2345679012345678,4,4
openstack/cyborg-tempest-plugin,openstack/python-solumclient,Core,4.761904761904762,3.061224489795918,4,5
openstack/cyborg-tempest-plugin,openstack/python-solumclient,Non core,0.0,2.0408163265306123,4,5
openstack/cyborg-tempest-plugin,openstack/solum-tempest-plugin,Core,5.555555555555555,4.761904761904762,3,2
openstack/cyborg-tempest-plugin,openstack/solum-tempest-plugin,Non core,2.7777777777777777,0.0,3,2
openstack/cyborg-tempest-plugin,openstack/murano-tempest-plugin,Core,5.0,6.666666666666667,3,3
openstack/cyborg-tempest-plugin,openstack/murano-tempest-plugin,Non core,2.5,0.0,3,3
openstack/cyborg-tempest-plugin,openstack/heat-translator,Core,2.6548672566371683,1.4184397163120568,4,4
openstack/cyborg-tempest-plugin,openstack/heat-translator,Non core,0.8849557522123894,1.4184397163120568,4,4
openstack/cyborg-tempest-plugin,openstack/tosca-parser,Core,3.4090909090909087,1.8518518518518516,3,4
openstack/cyborg-tempest-plugin,openstack/tosca-parser,Non core,0.0,1.8518518518518516,3,4
openstack/cyborg-tempest-plugin,openstack/tacker-horizon,Core,2.631578947368421,1.6528925619834711,2,5
openstack/cyborg-tempest-plugin,openstack/tacker-horizon,Non core,0.0,2.479338842975207,2,5
openstack/cyborg-tempest-plugin,openstack/ironic-python-agent-builder,Core,0.0,1.0526315789473684,2,3
openstack/cyborg-tempest-plugin,openstack/ironic-python-agent-builder,Non core,3.1746031746031744,2.1052631578947367,2,3
openstack/cyborg-tempest-plugin,openstack/ansible-role-systemd_networkd,Core,2.083333333333333,1.6129032258064515,2,1
openstack/cyborg-tempest-plugin,openstack/ansible-role-systemd_networkd,Non core,2.083333333333333,0.0,2,1
openstack/cyborg-tempest-plugin,openstack/ansible-role-systemd_service,Core,2.0,0.0,2,0
openstack/cyborg-tempest-plugin,openstack/ansible-role-systemd_service,Non core,2.0,0.0,2,0
openstack/cyborg-tempest-plugin,openstack/openstack-ansible-os_keystone,Core,0.8403361344537815,0.6535947712418301,2,3
openstack/cyborg-tempest-plugin,openstack/openstack-ansible-os_keystone,Non core,0.8403361344537815,1.3071895424836601,2,3
openstack/cyborg-tempest-plugin,openstack/ansible-role-chrony,Core,2.5,1.9230769230769231,1,1
openstack/cyborg-tempest-plugin,openstack/ansible-role-chrony,Non core,0.0,0.0,1,1
openstack/cyborg-tempest-plugin,openstack/cloudkitty-tempest-plugin,Core,9.090909090909092,1.6666666666666667,5,2
openstack/cyborg-tempest-plugin,openstack/cloudkitty-tempest-plugin,Non core,2.272727272727273,1.6666666666666667,5,2
openstack/cyborg-tempest-plugin,openstack/oslo.config,Core,2.094240837696335,1.21580547112462,8,9
openstack/cyborg-tempest-plugin,openstack/oslo.config,Non core,2.094240837696335,1.5197568389057752,8,9
openstack/cyborg-tempest-plugin,openstack/senlin-tempest-plugin,Core,6.521739130434782,4.615384615384616,4,4
openstack/cyborg-tempest-plugin,openstack/senlin-tempest-plugin,Non core,2.1739130434782608,1.5384615384615385,4,4
openstack/cyborg-tempest-plugin,openstack/heat-tempest-plugin,Core,4.0,2.7027027027027026,2,2
openstack/cyborg-tempest-plugin,openstack/heat-tempest-plugin,Non core,0.0,0.0,2,2
openstack/cyborg-tempest-plugin,openstack/freezer-tempest-plugin,Core,6.521739130434782,1.6666666666666667,3,1
openstack/cyborg-tempest-plugin,openstack/freezer-tempest-plugin,Non core,0.0,0.0,3,1
openstack/cyborg-tempest-plugin,openstack/monasca-tempest-plugin,Core,3.7735849056603774,2.941176470588235,4,3
openstack/cyborg-tempest-plugin,openstack/monasca-tempest-plugin,Non core,3.7735849056603774,1.4705882352941175,4,3
openstack/cyborg-tempest-plugin,openstack/stackviz,Core,5.357142857142857,4.3478260869565215,3,3
openstack/cyborg-tempest-plugin,openstack/stackviz,Non core,0.0,0.0,3,3
openstack/cyborg-tempest-plugin,openstack/kayobe-config-dev,Core,2.7027027027027026,2.127659574468085,1,2
openstack/cyborg-tempest-plugin,openstack/kayobe-config-dev,Non core,0.0,2.127659574468085,1,2
openstack/cyborg-tempest-plugin,openstack/pbr,Core,0.7633587786259541,1.4423076923076923,2,5
openstack/cyborg-tempest-plugin,openstack/pbr,Non core,0.7633587786259541,0.9615384615384616,2,5
openstack/cyborg-tempest-plugin,openstack/oslo.cache,Core,4.3478260869565215,3.571428571428571,6,8
openstack/cyborg-tempest-plugin,openstack/oslo.cache,Non core,2.1739130434782608,1.1904761904761905,6,8
openstack/cyborg-tempest-plugin,openstack/charm-ceph-rbd-mirror,Core,2.3255813953488373,1.9607843137254901,1,1
openstack/cyborg-tempest-plugin,openstack/charm-ceph-rbd-mirror,Non core,0.0,0.0,1,1
openstack/cyborg-tempest-plugin,openstack/ansible-config_template,Core,3.7037037037037033,1.2048192771084338,4,1
openstack/cyborg-tempest-plugin,openstack/ansible-config_template,Non core,3.7037037037037033,0.0,4,1
openstack/cyborg-tempest-plugin,openstack/designate-dashboard,Core,3.488372093023256,1.4705882352941175,4,4
openstack/cyborg-tempest-plugin,openstack/designate-dashboard,Non core,1.1627906976744187,1.4705882352941175,4,4
openstack/cyborg-tempest-plugin,openstack/charm-interface-cinder-backend,Core,3.125,2.564102564102564,1,1
openstack/cyborg-tempest-plugin,openstack/charm-interface-cinder-backend,Non core,0.0,0.0,1,1
openstack/cyborg-tempest-plugin,openstack/cyborg-specs,Core,14.634146341463413,28.57142857142857,10,24
openstack/cyborg-tempest-plugin,openstack/cyborg-specs,Non core,9.75609756097561,9.523809523809524,10,24
openstack/cyborg-tempest-plugin,openstack/python-mistralclient,Core,2.18978102189781,1.5873015873015872,3,6
openstack/cyborg-tempest-plugin,openstack/python-mistralclient,Non core,0.0,1.5873015873015872,3,6
openstack/cyborg-tempest-plugin,openstack/ha-guide,Core,0.0,0.7142857142857143,1,1
openstack/cyborg-tempest-plugin,openstack/ha-guide,Non core,1.2048192771084338,0.0,1,1
openstack/cyborg-tempest-plugin,openstack/watcher,Core,4.736842105263158,3.187250996015936,13,13
openstack/cyborg-tempest-plugin,openstack/watcher,Non core,2.1052631578947367,1.9920318725099602,13,13
openstack/cyborg-tempest-plugin,openstack/openstack-ansible-os_cloudkitty,Core,1.3513513513513513,2.380952380952381,2,3
openstack/cyborg-tempest-plugin,openstack/openstack-ansible-os_cloudkitty,Non core,1.3513513513513513,1.1904761904761905,2,3
openstack/cyborg-tempest-plugin,openstack/openstack-ansible-os_cinder,Core,2.5423728813559325,1.3157894736842104,5,5
openstack/cyborg-tempest-plugin,openstack/openstack-ansible-os_cinder,Non core,1.694915254237288,1.9736842105263157,5,5
openstack/cyborg-tempest-plugin,openstack/openstack-health,Core,2.857142857142857,1.7241379310344827,2,5
openstack/cyborg-tempest-plugin,openstack/openstack-health,Non core,0.0,2.586206896551724,2,5
openstack/cyborg-tempest-plugin,openstack/openstack-ansible-os_swift,Core,1.8691588785046727,1.5625,3,2
