projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/deb-magnum,openstack/deb-trove,Core,16.666666666666664,0.0,2,4
openstack/deb-magnum,openstack/deb-trove,Non core,16.666666666666664,50.0,2,4
openstack/deb-magnum,openstack/deb-openstack-pkg-tools,Core,0.0,0.0,2,4
openstack/deb-magnum,openstack/deb-openstack-pkg-tools,Non core,22.22222222222222,33.33333333333333,2,4
openstack/deb-magnum,openstack/deb-python-swiftclient,Core,20.0,0.0,3,4
openstack/deb-magnum,openstack/deb-python-swiftclient,Non core,40.0,80.0,3,4
openstack/deb-magnum,openstack/deb-alembic,Core,20.0,0.0,3,4
openstack/deb-magnum,openstack/deb-alembic,Non core,40.0,80.0,3,4
openstack/deb-magnum,openstack/deb-python-cinderclient,Core,20.0,0.0,3,4
openstack/deb-magnum,openstack/deb-python-cinderclient,Non core,40.0,80.0,3,4
openstack/deb-magnum,openstack/deb-python-xstatic-angular-bootstrap,Core,20.0,0.0,3,3
openstack/deb-magnum,openstack/deb-python-xstatic-angular-bootstrap,Non core,40.0,60.0,3,3
openstack/deb-magnum,openstack/deb-python-greenio,Core,0.0,0.0,0,0
openstack/deb-magnum,openstack/deb-python-greenio,Non core,0.0,0.0,0,0
openstack/deb-magnum,openstack/deb-networking-nec,Core,20.0,0.0,1,2
openstack/deb-magnum,openstack/deb-networking-nec,Non core,0.0,40.0,1,2
openstack/deb-magnum,openstack/deb-neutron-taas,Core,20.0,0.0,1,2
openstack/deb-magnum,openstack/deb-neutron-taas,Non core,0.0,40.0,1,2
openstack/deb-magnum,openstack/deb-networking-mlnx,Core,16.666666666666664,0.0,2,3
openstack/deb-magnum,openstack/deb-networking-mlnx,Non core,16.666666666666664,60.0,2,3
openstack/deb-magnum,openstack/deb-openstack-meta-packages,Core,0.0,0.0,2,3
openstack/deb-magnum,openstack/deb-openstack-meta-packages,Non core,40.0,60.0,2,3
openstack/deb-magnum,openstack/deb-networking-odl,Core,20.0,0.0,1,2
openstack/deb-magnum,openstack/deb-networking-odl,Non core,0.0,40.0,1,2
openstack/deb-magnum,openstack/deb-nodepool,Core,20.0,0.0,1,2
openstack/deb-magnum,openstack/deb-nodepool,Non core,0.0,40.0,1,2
openstack/deb-magnum,openstack/deb-networking-cisco,Core,20.0,0.0,1,2
