projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/deb-manila-ui,openstack/deb-barbican,Core,25.0,0.0,3,4
openstack/deb-manila-ui,openstack/deb-barbican,Non core,50.0,66.66666666666666,3,4
openstack/deb-manila-ui,openstack/deb-cinder,Core,20.0,0.0,3,4
openstack/deb-manila-ui,openstack/deb-cinder,Non core,40.0,100.0,3,4
openstack/deb-manila-ui,openstack/deb-magnum,Core,20.0,0.0,3,4
openstack/deb-manila-ui,openstack/deb-magnum,Non core,40.0,80.0,3,4
openstack/deb-manila-ui,openstack/deb-trove,Core,25.0,0.0,2,4
openstack/deb-manila-ui,openstack/deb-trove,Non core,25.0,57.14285714285714,2,4
openstack/deb-manila-ui,openstack/deb-openstack-pkg-tools,Core,0.0,0.0,2,4
openstack/deb-manila-ui,openstack/deb-openstack-pkg-tools,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-manila-ui,openstack/deb-python-swiftclient,Core,33.33333333333333,0.0,3,4
openstack/deb-manila-ui,openstack/deb-python-swiftclient,Non core,66.66666666666666,100.0,3,4
openstack/deb-manila-ui,openstack/deb-alembic,Core,33.33333333333333,0.0,3,4
openstack/deb-manila-ui,openstack/deb-alembic,Non core,66.66666666666666,100.0,3,4
openstack/deb-manila-ui,openstack/deb-python-cinderclient,Core,33.33333333333333,0.0,3,4
openstack/deb-manila-ui,openstack/deb-python-cinderclient,Non core,66.66666666666666,100.0,3,4
openstack/deb-manila-ui,openstack/deb-python-xstatic-angular-bootstrap,Core,33.33333333333333,0.0,3,3
openstack/deb-manila-ui,openstack/deb-python-xstatic-angular-bootstrap,Non core,66.66666666666666,75.0,3,3
openstack/deb-manila-ui,openstack/deb-python-greenio,Core,0.0,0.0,0,0
openstack/deb-manila-ui,openstack/deb-python-greenio,Non core,0.0,0.0,0,0
openstack/deb-manila-ui,openstack/deb-networking-nec,Core,33.33333333333333,0.0,1,2
openstack/deb-manila-ui,openstack/deb-networking-nec,Non core,0.0,50.0,1,2
openstack/deb-manila-ui,openstack/deb-neutron-taas,Core,33.33333333333333,0.0,1,2
openstack/deb-manila-ui,openstack/deb-neutron-taas,Non core,0.0,50.0,1,2
openstack/deb-manila-ui,openstack/deb-networking-mlnx,Core,25.0,0.0,2,3
openstack/deb-manila-ui,openstack/deb-networking-mlnx,Non core,25.0,75.0,2,3
openstack/deb-manila-ui,openstack/deb-openstack-meta-packages,Core,0.0,0.0,2,3
openstack/deb-manila-ui,openstack/deb-openstack-meta-packages,Non core,66.66666666666666,75.0,2,3
openstack/deb-manila-ui,openstack/deb-networking-odl,Core,33.33333333333333,0.0,1,2
openstack/deb-manila-ui,openstack/deb-networking-odl,Non core,0.0,50.0,1,2
openstack/deb-manila-ui,openstack/deb-nodepool,Core,33.33333333333333,0.0,1,2
openstack/deb-manila-ui,openstack/deb-nodepool,Non core,0.0,50.0,1,2
openstack/deb-manila-ui,openstack/deb-networking-cisco,Core,33.33333333333333,0.0,1,2
openstack/deb-manila-ui,openstack/deb-networking-cisco,Non core,0.0,50.0,1,2
openstack/deb-manila-ui,openstack/deb-networking-midonet,Core,33.33333333333333,0.0,1,2
openstack/deb-manila-ui,openstack/deb-networking-midonet,Non core,0.0,50.0,1,2
openstack/deb-manila-ui,openstack/deb-networking-arista,Core,33.33333333333333,0.0,2,3
openstack/deb-manila-ui,openstack/deb-networking-arista,Non core,33.33333333333333,75.0,2,3
openstack/deb-manila-ui,openstack/deb-python-misaka,Core,0.0,0.0,0,0
openstack/deb-manila-ui,openstack/deb-python-misaka,Non core,0.0,0.0,0,0
openstack/deb-manila-ui,openstack/deb-networking-hyperv,Core,33.33333333333333,0.0,1,2
openstack/deb-manila-ui,openstack/deb-networking-hyperv,Non core,0.0,50.0,1,2
openstack/deb-manila-ui,openstack/deb-python-rtslib-fb,Core,0.0,0.0,2,3
openstack/deb-manila-ui,openstack/deb-python-rtslib-fb,Non core,50.0,75.0,2,3
openstack/deb-manila-ui,openstack/deb-murano,Core,20.0,0.0,3,4
