projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/deb-networking-nec,openstack/deb-neutron-taas,Core,100.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-neutron-taas,Non core,0.0,100.0,1,2
openstack/deb-networking-nec,openstack/deb-networking-mlnx,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-networking-mlnx,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-openstack-meta-packages,Core,0.0,0.0,0,1
openstack/deb-networking-nec,openstack/deb-openstack-meta-packages,Non core,0.0,25.0,0,1
openstack/deb-networking-nec,openstack/deb-networking-odl,Core,100.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-networking-odl,Non core,0.0,100.0,1,2
openstack/deb-networking-nec,openstack/deb-nodepool,Core,100.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-nodepool,Non core,0.0,100.0,1,2
openstack/deb-networking-nec,openstack/deb-networking-cisco,Core,100.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-networking-cisco,Non core,0.0,100.0,1,2
openstack/deb-networking-nec,openstack/deb-networking-midonet,Core,100.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-networking-midonet,Non core,0.0,100.0,1,2
openstack/deb-networking-nec,openstack/deb-networking-arista,Core,50.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-networking-arista,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-python-misaka,Core,0.0,0.0,0,0
openstack/deb-networking-nec,openstack/deb-python-misaka,Non core,0.0,0.0,0,0
openstack/deb-networking-nec,openstack/deb-networking-hyperv,Core,100.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-networking-hyperv,Non core,0.0,100.0,1,2
openstack/deb-networking-nec,openstack/deb-python-rtslib-fb,Core,0.0,0.0,0,1
openstack/deb-networking-nec,openstack/deb-python-rtslib-fb,Non core,0.0,25.0,0,1
openstack/deb-networking-nec,openstack/deb-murano,Core,20.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-murano,Non core,0.0,28.57142857142857,1,2
openstack/deb-networking-nec,openstack/deb-python-semantic-version,Core,0.0,0.0,0,1
openstack/deb-networking-nec,openstack/deb-python-semantic-version,Non core,0.0,25.0,0,1
openstack/deb-networking-nec,openstack/deb-python-ldappool,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-ldappool,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-zaqar-ui,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-zaqar-ui,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-zaqar,Core,20.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-zaqar,Non core,0.0,28.57142857142857,1,2
openstack/deb-networking-nec,openstack/deb-watcher,Core,20.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-watcher,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-os-testr,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-os-testr,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-os-win,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-os-win,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-pycadf,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-pycadf,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-pyghmi,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-pyghmi,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-reno,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-reno,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-os-refresh-config,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-os-refresh-config,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-os-vif,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-os-vif,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-pyeclib,Core,50.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-pyeclib,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-python-quantumclient,Core,50.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-quantumclient,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-python-requestsexceptions,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-requestsexceptions,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-pbr,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-pbr,Non core,0.0,40.0,1,2
openstack/deb-networking-nec,openstack/deb-python-requests-mock,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-requests-mock,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-saharaclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-saharaclient,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-scciclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-scciclient,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-python-seamicroclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-seamicroclient,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-auto-backports,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-auto-backports,Non core,0.0,33.33333333333333,1,2
openstack/deb-networking-nec,openstack/deb-python-senlinclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-senlinclient,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-taskflow,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-taskflow,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-testtools,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-testtools,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-tooz,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-tooz,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-shotgun,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-shotgun,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-tackerclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-tackerclient,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-tosca-parser,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-tosca-parser,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-troveclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-troveclient,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-tuskarclient,Core,50.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-tuskarclient,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-python-watcherclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-watcherclient,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-cookies,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-cookies,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-fileupload,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-fileupload,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-lrdragndrop,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-lrdragndrop,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-wsme,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-wsme,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-schema-form,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-schema-form,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-bootstrap-datepicker,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-bootstrap-datepicker,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-bootswatch,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-bootswatch,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-gettext,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-gettext,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-mock,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-angular-mock,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-bootstrap-scss,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-bootstrap-scss,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-d3,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-d3,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-hogan,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-hogan,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-font-awesome,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-font-awesome,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jasmine,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jasmine,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jquery.bootstrap.wizard,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jquery.bootstrap.wizard,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jquery-migrate,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jquery-migrate,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jquery.quicksearch,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jquery.quicksearch,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jquery.tablesorter,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jquery.tablesorter,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jsencrypt,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-jsencrypt,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-magic-search,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-magic-search,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-mdi,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-mdi,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-objectpath,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-objectpath,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-qunit,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-qunit,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-rickshaw,Core,50.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-rickshaw,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-spin,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-spin,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-tv4,Core,50.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-xstatic-tv4,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-python-yaql,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-yaql,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-zaqarclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-zaqarclient,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-rally,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-rally,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-sahara,Core,20.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-sahara,Non core,0.0,40.0,1,2
openstack/deb-networking-nec,openstack/deb-sahara-dashboard,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-sahara-dashboard,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-senlin,Core,20.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-senlin,Non core,0.0,40.0,1,2
openstack/deb-networking-nec,openstack/deb-senlin-dashboard,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-senlin-dashboard,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-stevedore,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-stevedore,Non core,0.0,40.0,1,2
openstack/deb-networking-nec,openstack/deb-swift-bench,Core,50.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-swift-bench,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-swift-plugin-s3,Core,50.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-swift-plugin-s3,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-trove-dashboard,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-trove-dashboard,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-tempest,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-tempest,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-osprofiler,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-osprofiler,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.vmware,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.vmware,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.utils,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.utils,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.rootwrap,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.rootwrap,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.service,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.service,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.privsep,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.privsep,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.versionedobjects,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.versionedobjects,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslotest,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslotest,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.serialization,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.serialization,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.reports,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.reports,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.policy,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.policy,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.middleware,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.middleware,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.messaging,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.messaging,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.log,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-oslo.log,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-aodhclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-aodhclient,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-automaton,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-automaton,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-barbicanclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-barbicanclient,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-bashate,Core,50.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-bashate,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-python-castellan,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-castellan,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-ceilometerclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-ceilometerclient,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-ceilometermiddleware,Core,25.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-ceilometermiddleware,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-cliff,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-cliff,Non core,0.0,40.0,1,2
openstack/deb-networking-nec,openstack/deb-python-cursive,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-cursive,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-debtcollector,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-debtcollector,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-designateclient,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-designateclient,Non core,0.0,40.0,1,2
openstack/deb-networking-nec,openstack/deb-python-dib-utils,Core,50.0,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-dib-utils,Non core,0.0,66.66666666666666,1,2
openstack/deb-networking-nec,openstack/deb-python-diskimage-builder,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-diskimage-builder,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-doc8,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-doc8,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-django-openstack-auth,Core,33.33333333333333,0.0,1,2
openstack/deb-networking-nec,openstack/deb-python-django-openstack-auth,Non core,0.0,50.0,1,2
openstack/deb-networking-nec,openstack/deb-python-fuelclient,Core,33.33333333333333,0.0,1,2
