projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/deb-neutron,openstack/deb-neutron-fwaas,Core,25.0,0.0,3,4
openstack/deb-neutron,openstack/deb-neutron-fwaas,Non core,50.0,66.66666666666666,3,4
openstack/deb-neutron,openstack/deb-neutron-vpnaas,Core,25.0,0.0,3,4
openstack/deb-neutron,openstack/deb-neutron-vpnaas,Non core,50.0,66.66666666666666,3,4
openstack/deb-neutron,openstack/deb-neutron-lbaas,Core,20.0,0.0,3,5
openstack/deb-neutron,openstack/deb-neutron-lbaas,Non core,40.0,62.5,3,5
openstack/deb-neutron,openstack/installguide-cookiecutter,Core,0.0,0.0,0,1
openstack/deb-neutron,openstack/installguide-cookiecutter,Non core,0.0,5.0,0,1
openstack/deb-neutron,openstack/deb-gnocchi,Core,0.0,0.0,3,3
openstack/deb-neutron,openstack/deb-gnocchi,Non core,60.0,50.0,3,3
openstack/deb-neutron,openstack/deb-python-eventlet,Core,0.0,0.0,2,3
openstack/deb-neutron,openstack/deb-python-eventlet,Non core,40.0,50.0,2,3
openstack/deb-neutron,openstack/deb-python-pymysql,Core,0.0,0.0,2,3
openstack/deb-neutron,openstack/deb-python-pymysql,Non core,50.0,50.0,2,3
openstack/deb-neutron,openstack/salt-formula-opencontrail,Core,0.0,0.0,1,2
openstack/deb-neutron,openstack/salt-formula-opencontrail,Non core,5.0,11.76470588235294,1,2
openstack/deb-neutron,openstack/salt-formula-neutron,Core,0.0,0.0,1,2
openstack/deb-neutron,openstack/salt-formula-neutron,Non core,5.263157894736842,10.0,1,2
openstack/deb-neutron,openstack/salt-formula-swift,Core,0.0,0.0,0,2
openstack/deb-neutron,openstack/salt-formula-swift,Non core,0.0,20.0,0,2
openstack/deb-neutron,openstack/salt-formula-nova,Core,0.0,0.0,1,2
openstack/deb-neutron,openstack/salt-formula-nova,Non core,4.0,10.0,1,2
openstack/deb-neutron,openstack/salt-formula-keystone,Core,0.0,0.0,1,2
openstack/deb-neutron,openstack/salt-formula-keystone,Non core,4.545454545454546,11.11111111111111,1,2
openstack/deb-neutron,openstack/salt-formula-horizon,Core,0.0,0.0,1,2
openstack/deb-neutron,openstack/salt-formula-horizon,Non core,5.88235294117647,13.333333333333334,1,2
openstack/deb-neutron,openstack/salt-formula-heat,Core,0.0,0.0,1,2
openstack/deb-neutron,openstack/salt-formula-heat,Non core,4.166666666666666,12.5,1,2
openstack/deb-neutron,openstack/salt-formula-glance,Core,0.0,0.0,1,1
openstack/deb-neutron,openstack/salt-formula-glance,Non core,4.3478260869565215,5.263157894736842,1,1
openstack/deb-neutron,openstack/salt-formula-cinder,Core,0.0,0.0,1,1
openstack/deb-neutron,openstack/salt-formula-cinder,Non core,4.545454545454546,6.25,1,1
openstack/deb-neutron,openstack/salt-formula-ceilometer,Core,0.0,0.0,1,2
openstack/deb-neutron,openstack/salt-formula-ceilometer,Non core,7.142857142857142,11.76470588235294,1,2
openstack/deb-neutron,openstack/deb-python-pygit2,Core,0.0,0.0,1,2
openstack/deb-neutron,openstack/deb-python-pygit2,Non core,25.0,33.33333333333333,1,2
openstack/deb-neutron,openstack/deb-libisal,Core,0.0,0.0,1,2
openstack/deb-neutron,openstack/deb-libisal,Non core,25.0,33.33333333333333,1,2
openstack/deb-neutron,openstack/deb-python-xvfbwrapper,Core,0.0,0.0,2,3
openstack/deb-neutron,openstack/deb-python-xvfbwrapper,Non core,50.0,50.0,2,3
openstack/deb-neutron,openstack/deb-testresources,Core,0.0,0.0,2,3
openstack/deb-neutron,openstack/deb-testresources,Non core,50.0,50.0,2,3
openstack/deb-neutron,openstack/deb-python-django-compressor,Core,0.0,0.0,2,3
openstack/deb-neutron,openstack/deb-python-django-compressor,Non core,50.0,50.0,2,3
openstack/deb-neutron,openstack/deb-python-sqlalchemy-utils,Core,0.0,0.0,2,3
