projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/deb-openstack-pkg-tools,openstack/deb-python-swiftclient,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-swiftclient,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-alembic,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-alembic,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-cinderclient,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-cinderclient,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-xstatic-angular-bootstrap,Core,0.0,0.0,2,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-xstatic-angular-bootstrap,Non core,28.57142857142857,27.27272727272727,2,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-greenio,Core,0.0,0.0,0,0
openstack/deb-openstack-pkg-tools,openstack/deb-python-greenio,Non core,0.0,0.0,0,0
openstack/deb-openstack-pkg-tools,openstack/deb-networking-nec,Core,0.0,0.0,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-networking-nec,Non core,0.0,18.181818181818183,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-neutron-taas,Core,0.0,0.0,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-neutron-taas,Non core,0.0,18.181818181818183,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-networking-mlnx,Core,0.0,0.0,1,3
openstack/deb-openstack-pkg-tools,openstack/deb-networking-mlnx,Non core,12.5,27.27272727272727,1,3
openstack/deb-openstack-pkg-tools,openstack/deb-openstack-meta-packages,Core,0.0,0.0,2,3
openstack/deb-openstack-pkg-tools,openstack/deb-openstack-meta-packages,Non core,33.33333333333333,27.27272727272727,2,3
openstack/deb-openstack-pkg-tools,openstack/deb-networking-odl,Core,0.0,0.0,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-networking-odl,Non core,0.0,18.181818181818183,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-nodepool,Core,0.0,0.0,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-nodepool,Non core,0.0,18.181818181818183,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-networking-cisco,Core,0.0,0.0,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-networking-cisco,Non core,0.0,18.181818181818183,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-networking-midonet,Core,0.0,0.0,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-networking-midonet,Non core,0.0,18.181818181818183,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-networking-arista,Core,0.0,0.0,1,3
openstack/deb-openstack-pkg-tools,openstack/deb-networking-arista,Non core,14.285714285714285,27.27272727272727,1,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-misaka,Core,0.0,0.0,0,0
openstack/deb-openstack-pkg-tools,openstack/deb-python-misaka,Non core,0.0,0.0,0,0
openstack/deb-openstack-pkg-tools,openstack/deb-networking-hyperv,Core,0.0,0.0,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-networking-hyperv,Non core,0.0,18.181818181818183,0,2
openstack/deb-openstack-pkg-tools,openstack/deb-python-rtslib-fb,Core,0.0,0.0,2,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-rtslib-fb,Non core,28.57142857142857,27.27272727272727,2,3
openstack/deb-openstack-pkg-tools,openstack/deb-murano,Core,0.0,0.0,2,6
openstack/deb-openstack-pkg-tools,openstack/deb-murano,Non core,22.22222222222222,50.0,2,6
openstack/deb-openstack-pkg-tools,openstack/deb-python-semantic-version,Core,0.0,0.0,2,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-semantic-version,Non core,33.33333333333333,27.27272727272727,2,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-ldappool,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-ldappool,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-zaqar-ui,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-zaqar-ui,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-zaqar,Core,0.0,0.0,2,6
openstack/deb-openstack-pkg-tools,openstack/deb-zaqar,Non core,22.22222222222222,50.0,2,6
openstack/deb-openstack-pkg-tools,openstack/deb-watcher,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-watcher,Non core,22.22222222222222,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-os-testr,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-os-testr,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-os-win,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-os-win,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-pycadf,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-pycadf,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-pyghmi,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-pyghmi,Non core,25.0,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-reno,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-reno,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-os-refresh-config,Core,0.0,0.0,1,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-os-refresh-config,Non core,12.5,36.36363636363637,1,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-os-vif,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-os-vif,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-pyeclib,Core,0.0,0.0,1,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-pyeclib,Non core,14.285714285714285,27.27272727272727,1,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-quantumclient,Core,0.0,0.0,1,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-quantumclient,Non core,14.285714285714285,27.27272727272727,1,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-requestsexceptions,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-requestsexceptions,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-pbr,Core,0.0,0.0,2,5
openstack/deb-openstack-pkg-tools,openstack/deb-python-pbr,Non core,28.57142857142857,45.45454545454545,2,5
openstack/deb-openstack-pkg-tools,openstack/deb-python-requests-mock,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-requests-mock,Non core,25.0,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-saharaclient,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-saharaclient,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-scciclient,Core,0.0,0.0,2,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-scciclient,Non core,28.57142857142857,27.27272727272727,2,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-seamicroclient,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-seamicroclient,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-auto-backports,Core,0.0,0.0,3,6
openstack/deb-openstack-pkg-tools,openstack/deb-auto-backports,Non core,42.857142857142854,54.54545454545454,3,6
openstack/deb-openstack-pkg-tools,openstack/deb-python-senlinclient,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-senlinclient,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-taskflow,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-taskflow,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-testtools,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-testtools,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-tooz,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-tooz,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-shotgun,Core,0.0,0.0,1,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-shotgun,Non core,12.5,36.36363636363637,1,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-tackerclient,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-tackerclient,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-tosca-parser,Core,0.0,0.0,1,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-tosca-parser,Non core,12.5,36.36363636363637,1,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-troveclient,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-troveclient,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-tuskarclient,Core,0.0,0.0,1,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-tuskarclient,Non core,14.285714285714285,27.27272727272727,1,3
openstack/deb-openstack-pkg-tools,openstack/deb-python-watcherclient,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-watcherclient,Non core,28.57142857142857,36.36363636363637,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-xstatic-angular,Core,0.0,0.0,2,4
openstack/deb-openstack-pkg-tools,openstack/deb-python-xstatic-angular,Non core,28.57142857142857,36.36363636363637,2,4
