projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/deb-python-aioeventlet,openstack/fuel-devops,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-devops,Non core,0.0,0.7042253521126761,0,1
openstack/deb-python-aioeventlet,openstack/fuel-plugin-murano,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-plugin-murano,Non core,0.0,3.225806451612903,0,1
openstack/deb-python-aioeventlet,openstack/fuel-web,Core,0.0,0.0,1,1
openstack/deb-python-aioeventlet,openstack/fuel-web,Non core,0.47393364928909953,0.2557544757033248,1,1
openstack/deb-python-aioeventlet,openstack/fuel-plugins,Core,0.0,0.0,1,1
openstack/deb-python-aioeventlet,openstack/fuel-plugins,Non core,2.1739130434782608,0.9803921568627451,1,1
openstack/deb-python-aioeventlet,openstack/fuel-virtualbox,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-virtualbox,Non core,0.0,4.3478260869565215,0,1
openstack/deb-python-aioeventlet,openstack/fuel-ostf,Core,0.0,0.0,1,1
openstack/deb-python-aioeventlet,openstack/fuel-ostf,Non core,1.0204081632653061,0.4694835680751174,1,1
openstack/deb-python-aioeventlet,openstack/fuel-qa,Core,0.0,0.0,1,1
openstack/deb-python-aioeventlet,openstack/fuel-qa,Non core,0.8064516129032258,0.40650406504065045,1,1
openstack/deb-python-aioeventlet,openstack/fuel-specs,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-specs,Non core,0.0,0.33444816053511706,0,1
openstack/deb-python-aioeventlet,openstack/fuel-nailgun-extension-cluster-upgrade,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-nailgun-extension-cluster-upgrade,Non core,0.0,4.3478260869565215,0,1
openstack/deb-python-aioeventlet,openstack/fuel-nailgun-agent,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-nailgun-agent,Non core,0.0,1.0204081632653061,0,1
openstack/deb-python-aioeventlet,openstack/fuel-mirror,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-mirror,Non core,0.0,0.9708737864077669,0,1
openstack/deb-python-aioeventlet,openstack/fuel-menu,Core,0.0,0.0,1,1
openstack/deb-python-aioeventlet,openstack/fuel-menu,Non core,2.857142857142857,0.8695652173913043,1,1
openstack/deb-python-aioeventlet,openstack/fuel-main,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-main,Non core,0.0,0.4016064257028112,0,1
openstack/deb-python-aioeventlet,openstack/fuel-ui,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-ui,Non core,0.0,1.1111111111111112,0,1
openstack/deb-python-aioeventlet,openstack/fuel-library,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-library,Non core,0.0,0.22727272727272727,0,1
openstack/deb-python-aioeventlet,openstack/fuel-dev-tools,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-dev-tools,Non core,0.0,4.3478260869565215,0,1
openstack/deb-python-aioeventlet,openstack/fuel-stats,Core,0.0,0.0,1,1
openstack/deb-python-aioeventlet,openstack/fuel-stats,Non core,4.761904761904762,2.0408163265306123,1,1
openstack/deb-python-aioeventlet,openstack/fuel-nailgun-extension-converted-serializers,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-nailgun-extension-converted-serializers,Non core,0.0,16.666666666666664,0,1
openstack/deb-python-aioeventlet,openstack/fuel-nailgun-extension-iac,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-nailgun-extension-iac,Non core,0.0,12.5,0,1
openstack/deb-python-aioeventlet,openstack/fuel-plugin-murano-tests,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-plugin-murano-tests,Non core,0.0,3.225806451612903,0,1
openstack/deb-python-aioeventlet,openstack/fuel-astute,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-astute,Non core,0.0,0.6493506493506493,0,1
openstack/deb-python-aioeventlet,openstack/fuel-docs,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-docs,Non core,0.0,0.31645569620253167,0,1
openstack/deb-python-aioeventlet,openstack/fuel-agent,Core,0.0,0.0,1,1
openstack/deb-python-aioeventlet,openstack/fuel-agent,Non core,1.4285714285714286,0.6666666666666667,1,1
openstack/deb-python-aioeventlet,openstack/fuel-octane,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/fuel-octane,Non core,0.0,1.7543859649122806,0,1
openstack/deb-python-aioeventlet,openstack/tuning-box,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/tuning-box,Non core,0.0,3.571428571428571,0,1
openstack/deb-python-aioeventlet,openstack/python-fuelclient,Core,0.0,0.0,1,1
openstack/deb-python-aioeventlet,openstack/python-fuelclient,Non core,1.4285714285714286,0.6756756756756757,1,1
openstack/deb-python-aioeventlet,openstack/neutron-interconnection,Core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/neutron-interconnection,Non core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/openstack-chef-repo,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/openstack-chef-repo,Non core,0.0,1.7857142857142856,0,1
openstack/deb-python-aioeventlet,openstack/os-acc,Core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/os-acc,Non core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/openstack-ansible-os_zaqar,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/openstack-ansible-os_zaqar,Non core,0.0,2.0,0,1
openstack/deb-python-aioeventlet,openstack/openstack-ansible-os_watcher,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/openstack-ansible-os_watcher,Non core,0.0,2.380952380952381,0,1
openstack/deb-python-aioeventlet,openstack/openstack-ansible-os_searchlight,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/openstack-ansible-os_searchlight,Non core,0.0,3.0303030303030303,0,1
openstack/deb-python-aioeventlet,openstack/xstatic-angular-vis,Core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/xstatic-angular-vis,Non core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/xstatic-font-awesome,Core,0.0,0.0,1,1
openstack/deb-python-aioeventlet,openstack/xstatic-font-awesome,Non core,14.285714285714285,6.666666666666667,1,1
openstack/deb-python-aioeventlet,openstack/xstatic-jasmine,Core,0.0,0.0,1,1
openstack/deb-python-aioeventlet,openstack/xstatic-jasmine,Non core,9.090909090909092,5.88235294117647,1,1
openstack/deb-python-aioeventlet,openstack/xstatic-angular-notify,Core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/xstatic-angular-notify,Non core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/xstatic-angular-material,Core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/xstatic-angular-material,Non core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/tempest-tripleo-ui,Core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/tempest-tripleo-ui,Non core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/docs-specs,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/docs-specs,Non core,0.0,0.4807692307692308,0,1
openstack/deb-python-aioeventlet,openstack/release-schedule-generator,Core,0.0,0.0,0,1
openstack/deb-python-aioeventlet,openstack/release-schedule-generator,Non core,0.0,12.5,0,1
openstack/deb-python-aioeventlet,openstack-infra/opendev-website,Core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack-infra/opendev-website,Non core,0.0,0.0,0,0
openstack/deb-python-aioeventlet,openstack/castellan-ui,Core,0.0,0.0,0,1
