projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/deb-python-nosehtmloutput,openstack/deb-python-csscompressor,Core,0.0,0.0,1,2
openstack/deb-python-nosehtmloutput,openstack/deb-python-csscompressor,Non core,50.0,100.0,1,2
openstack/deb-python-nosehtmloutput,openstack/deb-python-croniter,Core,0.0,0.0,1,2
openstack/deb-python-nosehtmloutput,openstack/deb-python-croniter,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-nosehtmloutput,openstack/deb-python-concurrent.futures,Core,0.0,0.0,1,2
openstack/deb-python-nosehtmloutput,openstack/deb-python-concurrent.futures,Non core,50.0,66.66666666666666,1,2
openstack/deb-python-nosehtmloutput,openstack/openstack-salt,Core,0.0,0.0,0,1
openstack/deb-python-nosehtmloutput,openstack/openstack-salt,Non core,0.0,12.5,0,1
openstack/deb-python-nosehtmloutput,openstack/deb-spice-html5,Core,0.0,0.0,0,1
openstack/deb-python-nosehtmloutput,openstack/deb-spice-html5,Non core,0.0,33.33333333333333,0,1
openstack/deb-python-nosehtmloutput,openstack/salt-formula-midonet,Core,0.0,0.0,0,1
openstack/deb-python-nosehtmloutput,openstack/salt-formula-midonet,Non core,0.0,33.33333333333333,0,1
openstack/deb-python-nosehtmloutput,openstack/magnetodb-specs,Core,0.0,0.0,0,1
openstack/deb-python-nosehtmloutput,openstack/magnetodb-specs,Non core,0.0,5.0,0,1
openstack/deb-python-nosehtmloutput,openstack/magnetodb,Core,0.0,0.0,0,1
openstack/deb-python-nosehtmloutput,openstack/magnetodb,Non core,0.0,2.564102564102564,0,1
openstack/deb-python-nosehtmloutput,openstack/openstack-nose,Core,0.0,0.0,0,1
openstack/deb-python-nosehtmloutput,openstack/openstack-nose,Non core,0.0,10.0,0,1
