projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/deb-python-pyghmi,openstack/deb-python-reno,Core,25.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-reno,Non core,50.0,100.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-os-refresh-config,Core,50.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-os-refresh-config,Non core,25.0,100.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-os-vif,Core,25.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-os-vif,Non core,50.0,100.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-pyeclib,Core,25.0,0.0,2,3
openstack/deb-python-pyghmi,openstack/deb-python-pyeclib,Non core,25.0,75.0,2,3
openstack/deb-python-pyghmi,openstack/deb-python-quantumclient,Core,25.0,0.0,2,3
openstack/deb-python-pyghmi,openstack/deb-python-quantumclient,Non core,25.0,75.0,2,3
openstack/deb-python-pyghmi,openstack/deb-python-requestsexceptions,Core,25.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-requestsexceptions,Non core,50.0,100.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-pbr,Core,25.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-pbr,Non core,50.0,80.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-requests-mock,Core,20.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-requests-mock,Non core,40.0,100.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-saharaclient,Core,25.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-saharaclient,Non core,50.0,100.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-scciclient,Core,20.0,0.0,2,3
openstack/deb-python-pyghmi,openstack/deb-python-scciclient,Non core,20.0,75.0,2,3
openstack/deb-python-pyghmi,openstack/deb-python-seamicroclient,Core,25.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-seamicroclient,Non core,50.0,100.0,3,4
openstack/deb-python-pyghmi,openstack/deb-auto-backports,Core,20.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-auto-backports,Non core,40.0,66.66666666666666,3,4
openstack/deb-python-pyghmi,openstack/deb-python-senlinclient,Core,25.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-senlinclient,Non core,50.0,100.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-taskflow,Core,25.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-taskflow,Non core,50.0,100.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-testtools,Core,25.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-testtools,Non core,50.0,100.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-tooz,Core,25.0,0.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-tooz,Non core,50.0,100.0,3,4
openstack/deb-python-pyghmi,openstack/deb-python-shotgun,Core,50.0,0.0,3,4
