projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/deb-python-shotgun,openstack/deb-python-tackerclient,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-tackerclient,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-tosca-parser,Core,66.66666666666666,0.0,3,4
openstack/deb-python-shotgun,openstack/deb-python-tosca-parser,Non core,33.33333333333333,100.0,3,4
openstack/deb-python-shotgun,openstack/deb-python-troveclient,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-troveclient,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-tuskarclient,Core,33.33333333333333,0.0,2,3
openstack/deb-python-shotgun,openstack/deb-python-tuskarclient,Non core,33.33333333333333,75.0,2,3
openstack/deb-python-shotgun,openstack/deb-python-watcherclient,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-watcherclient,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-cookies,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-cookies,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-fileupload,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-fileupload,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-lrdragndrop,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-lrdragndrop,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-wsme,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-wsme,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-schema-form,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-schema-form,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-bootstrap-datepicker,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-bootstrap-datepicker,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-bootswatch,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-bootswatch,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-gettext,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-gettext,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-mock,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-angular-mock,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-bootstrap-scss,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-bootstrap-scss,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-d3,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-d3,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-hogan,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-hogan,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-font-awesome,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-font-awesome,Non core,25.0,100.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-jasmine,Core,25.0,0.0,2,4
openstack/deb-python-shotgun,openstack/deb-python-xstatic-jasmine,Non core,25.0,100.0,2,4
