projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/designate-specs,openstack/ironic-python-agent,Core,1.4423076923076923,1.5923566878980893,8,9
openstack/designate-specs,openstack/ironic-python-agent,Non core,2.403846153846154,1.2738853503184715,8,9
openstack/designate-specs,openstack/glance,Core,1.0600706713780919,1.1702127659574468,10,19
openstack/designate-specs,openstack/glance,Non core,0.7067137809187279,0.851063829787234,10,19
openstack/designate-specs,openstack/tripleo-validations,Core,1.9867549668874174,1.3761467889908259,4,6
openstack/designate-specs,openstack/tripleo-validations,Non core,0.6622516556291391,1.3761467889908259,4,6
openstack/designate-specs,openstack/kolla-ansible,Core,1.0752688172043012,1.3136288998357963,9,13
openstack/designate-specs,openstack/kolla-ansible,Non core,1.3440860215053763,0.8210180623973727,9,13
openstack/designate-specs,openstack/barbican,Core,1.4134275618374559,2.4330900243309004,10,17
openstack/designate-specs,openstack/barbican,Non core,2.1201413427561837,1.70316301703163,10,17
openstack/designate-specs,openstack/manila-tempest-plugin,Core,2.5,1.7857142857142856,4,3
openstack/designate-specs,openstack/manila-tempest-plugin,Non core,2.5,0.8928571428571428,4,3
openstack/designate-specs,openstack/networking-ovn,Core,1.935483870967742,1.8656716417910446,6,10
openstack/designate-specs,openstack/networking-ovn,Non core,1.935483870967742,1.8656716417910446,6,10
openstack/designate-specs,openstack/designate,Core,2.2304832713754648,3.3707865168539324,26,34
openstack/designate-specs,openstack/designate,Non core,7.434944237918216,6.179775280898876,26,34
openstack/designate-specs,openstack/ansible-role-uwsgi,Core,2.4390243902439024,1.8181818181818181,1,1
openstack/designate-specs,openstack/ansible-role-uwsgi,Non core,0.0,0.0,1,1
openstack/designate-specs,openstack/ironic-specs,Core,2.272727272727273,1.1869436201780417,9,9
openstack/designate-specs,openstack/ironic-specs,Non core,4.545454545454546,1.483679525222552,9,9
openstack/designate-specs,openstack/tap-as-a-service,Core,2.631578947368421,2.097902097902098,3,7
openstack/designate-specs,openstack/tap-as-a-service,Non core,1.3157894736842104,2.797202797202797,3,7
openstack/designate-specs,openstack/tripleo-quickstart-extras,Core,1.8633540372670807,1.0273972602739725,5,6
openstack/designate-specs,openstack/tripleo-quickstart-extras,Non core,1.2422360248447204,1.0273972602739725,5,6
openstack/designate-specs,openstack/openstacksdk,Core,1.2779552715654952,2.3640661938534278,8,13
openstack/designate-specs,openstack/openstacksdk,Non core,1.2779552715654952,0.7092198581560284,8,13
openstack/designate-specs,openstack/openstack-ansible-os_octavia,Core,1.1235955056179776,3.389830508474576,2,6
openstack/designate-specs,openstack/openstack-ansible-os_octavia,Non core,1.1235955056179776,1.694915254237288,2,6
