projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/designate-tempest-plugin,openstack/osc-placement,Core,5.555555555555555,4.273504273504273,4,9
openstack/designate-tempest-plugin,openstack/osc-placement,Non core,0.0,3.418803418803419,4,9
openstack/designate-tempest-plugin,openstack/loci,Core,2.4096385542168677,0.7092198581560284,2,4
openstack/designate-tempest-plugin,openstack/loci,Non core,0.0,2.127659574468085,2,4
openstack/designate-tempest-plugin,openstack/devstack-plugin-ceph,Core,6.666666666666667,5.223880597014925,6,13
openstack/designate-tempest-plugin,openstack/devstack-plugin-ceph,Non core,0.0,4.477611940298507,6,13
openstack/designate-tempest-plugin,openstack/charm-guide,Core,2.803738317757009,0.9900990099009901,3,2
openstack/designate-tempest-plugin,openstack/charm-guide,Non core,0.0,0.9900990099009901,3,2
openstack/designate-tempest-plugin,openstack/openstack-zuul-jobs,Core,7.567567567567568,5.517241379310345,15,21
openstack/designate-tempest-plugin,openstack/openstack-zuul-jobs,Non core,0.5405405405405406,1.7241379310344827,15,21
openstack/designate-tempest-plugin,openstack/os-traits,Core,4.597701149425287,5.128205128205128,6,11
openstack/designate-tempest-plugin,openstack/os-traits,Non core,2.2988505747126435,4.273504273504273,6,11
openstack/designate-tempest-plugin,openstack/python-novaclient,Core,2.330508474576271,1.1869436201780417,16,23
openstack/designate-tempest-plugin,openstack/python-novaclient,Non core,1.059322033898305,2.225519287833828,16,23
openstack/designate-tempest-plugin,openstack/solum,Core,7.6923076923076925,2.6595744680851063,16,12
openstack/designate-tempest-plugin,openstack/solum,Non core,3.4965034965034967,3.723404255319149,16,12
openstack/designate-tempest-plugin,openstack/murano,Core,5.179282868525896,2.197802197802198,19,19
openstack/designate-tempest-plugin,openstack/murano,Non core,2.3904382470119523,3.021978021978022,19,19
openstack/designate-tempest-plugin,openstack/murano-dashboard,Core,5.0,2.242152466367713,11,11
openstack/designate-tempest-plugin,openstack/murano-dashboard,Non core,1.875,2.690582959641256,11,11
openstack/designate-tempest-plugin,openstack/murano-pkg-check,Core,10.9375,1.25,9,4
openstack/designate-tempest-plugin,openstack/murano-pkg-check,Non core,3.125,3.75,9,4
openstack/designate-tempest-plugin,openstack/murano-agent,Core,6.25,3.076923076923077,8,7
openstack/designate-tempest-plugin,openstack/murano-agent,Non core,0.8928571428571428,2.307692307692308,8,7
openstack/designate-tempest-plugin,openstack/octavia,Core,5.555555555555555,3.470715835140998,23,35
openstack/designate-tempest-plugin,openstack/octavia,Non core,2.430555555555556,4.121475054229935,23,35
openstack/designate-tempest-plugin,openstack/charm-nova-compute,Core,1.7094017094017095,3.2,3,7
openstack/designate-tempest-plugin,openstack/charm-nova-compute,Non core,0.8547008547008548,2.4,3,7
openstack/designate-tempest-plugin,openstack/keystone,Core,2.8616852146263914,1.5609756097560976,23,29
openstack/designate-tempest-plugin,openstack/keystone,Non core,0.7949125596184419,1.2682926829268293,23,29
openstack/designate-tempest-plugin,openstack/openstack-helm-images,Core,0.9259259259259258,1.0256410256410255,2,4
openstack/designate-tempest-plugin,openstack/openstack-helm-images,Non core,0.9259259259259258,1.0256410256410255,2,4
openstack/designate-tempest-plugin,openstack/python-cinderclient,Core,2.359882005899705,1.3722126929674099,13,19
openstack/designate-tempest-plugin,openstack/python-cinderclient,Non core,1.4749262536873156,1.8867924528301887,13,19
openstack/designate-tempest-plugin,openstack/cinderlib,Core,8.19672131147541,4.545454545454546,6,7
openstack/designate-tempest-plugin,openstack/cinderlib,Non core,1.639344262295082,3.4090909090909087,6,7
openstack/designate-tempest-plugin,openstack/keystone-specs,Core,3.816793893129771,3.1746031746031744,7,18
openstack/designate-tempest-plugin,openstack/keystone-specs,Non core,1.5267175572519083,2.5396825396825395,7,18
openstack/designate-tempest-plugin,openstack/os-brick,Core,4.9504950495049505,2.083333333333333,14,16
openstack/designate-tempest-plugin,openstack/os-brick,Non core,1.9801980198019802,2.083333333333333,14,16
openstack/designate-tempest-plugin,openstack/ansible-collection-kolla,Core,1.8867924528301887,1.4084507042253522,1,2
openstack/designate-tempest-plugin,openstack/ansible-collection-kolla,Non core,0.0,1.4084507042253522,1,2
openstack/designate-tempest-plugin,openstack/horizon,Core,1.96319018404908,1.1243851018973998,21,30
openstack/designate-tempest-plugin,openstack/horizon,Non core,0.6134969325153374,0.9838369641602248,21,30
openstack/designate-tempest-plugin,openstack/mistral-extra,Core,7.59493670886076,2.6548672566371683,9,8
openstack/designate-tempest-plugin,openstack/mistral-extra,Non core,3.79746835443038,4.424778761061947,9,8
openstack/designate-tempest-plugin,openstack/puppet-pacemaker,Core,10.0,2.941176470588235,9,8
openstack/designate-tempest-plugin,openstack/puppet-pacemaker,Non core,1.25,2.941176470588235,9,8
openstack/designate-tempest-plugin,openstack/charm-trilio-data-mover,Core,0.0,0.0,0,0
openstack/designate-tempest-plugin,openstack/charm-trilio-data-mover,Non core,0.0,0.0,0,0
openstack/designate-tempest-plugin,openstack/glance-tempest-plugin,Core,3.8461538461538463,1.4925373134328357,2,1
openstack/designate-tempest-plugin,openstack/glance-tempest-plugin,Non core,0.0,0.0,2,1
openstack/designate-tempest-plugin,openstack/charm-ops-sunbeam,Core,0.0,0.0,0,0
openstack/designate-tempest-plugin,openstack/charm-ops-sunbeam,Non core,0.0,0.0,0,0
openstack/designate-tempest-plugin,openstack/mistral,Core,5.204460966542751,2.380952380952381,19,20
openstack/designate-tempest-plugin,openstack/mistral,Non core,1.858736059479554,2.91005291005291,19,20
openstack/designate-tempest-plugin,openstack/validations-common,Core,4.225352112676056,4.761904761904762,3,7
openstack/designate-tempest-plugin,openstack/validations-common,Non core,0.0,1.9047619047619049,3,7
openstack/designate-tempest-plugin,openstack/ci-log-processing,Core,0.0,1.2658227848101267,0,2
openstack/designate-tempest-plugin,openstack/ci-log-processing,Non core,0.0,1.2658227848101267,0,2
openstack/designate-tempest-plugin,openstack/openstack-ansible-os_ceilometer,Core,6.140350877192982,4.195804195804196,9,9
openstack/designate-tempest-plugin,openstack/openstack-ansible-os_ceilometer,Non core,1.7543859649122806,2.097902097902098,9,9
openstack/designate-tempest-plugin,openstack/openstack-ansible-os_aodh,Core,6.862745098039216,2.2556390977443606,9,6
openstack/designate-tempest-plugin,openstack/openstack-ansible-os_aodh,Non core,1.9607843137254901,2.2556390977443606,9,6
openstack/designate-tempest-plugin,openstack/python-swiftclient,Core,4.225352112676056,2.3728813559322033,14,12
openstack/designate-tempest-plugin,openstack/python-swiftclient,Non core,2.3474178403755865,1.694915254237288,14,12
openstack/designate-tempest-plugin,openstack/rpm-packaging,Core,7.18954248366013,2.066115702479339,13,13
openstack/designate-tempest-plugin,openstack/rpm-packaging,Non core,1.3071895424836601,3.3057851239669422,13,13
openstack/designate-tempest-plugin,openstack/placement,Core,6.896551724137931,6.535947712418301,8,13
openstack/designate-tempest-plugin,openstack/placement,Non core,2.2988505747126435,1.9607843137254901,8,13
openstack/designate-tempest-plugin,openstack/os-resource-classes,Core,3.571428571428571,3.6585365853658534,3,4
openstack/designate-tempest-plugin,openstack/os-resource-classes,Non core,1.7857142857142856,1.2195121951219512,3,4
openstack/designate-tempest-plugin,openstack/blazar,Core,5.109489051094891,3.5175879396984926,12,14
openstack/designate-tempest-plugin,openstack/blazar,Non core,3.64963503649635,3.5175879396984926,12,14
openstack/designate-tempest-plugin,openstack/openstack-ansible-os_glance,Core,7.547169811320755,3.597122302158273,11,10
openstack/designate-tempest-plugin,openstack/openstack-ansible-os_glance,Non core,2.8301886792452833,3.597122302158273,11,10
openstack/designate-tempest-plugin,openstack/governance,Core,3.862660944206009,1.7740429505135387,23,33
openstack/designate-tempest-plugin,openstack/governance,Non core,1.0729613733905579,1.3071895424836601,23,33
openstack/designate-tempest-plugin,openstack/cloudkitty,Core,5.228758169934641,3.30188679245283,12,16
openstack/designate-tempest-plugin,openstack/cloudkitty,Non core,2.6143790849673203,4.245283018867925,12,16
openstack/designate-tempest-plugin,openstack/neutron-dynamic-routing,Core,5.982905982905983,5.714285714285714,9,18
openstack/designate-tempest-plugin,openstack/neutron-dynamic-routing,Non core,1.7094017094017095,4.571428571428571,9,18
openstack/designate-tempest-plugin,openstack/kayobe,Core,3.3333333333333335,3.125,5,6
openstack/designate-tempest-plugin,openstack/kayobe,Non core,2.2222222222222223,1.5625,5,6
openstack/designate-tempest-plugin,openstack/ansible-role-zookeeper,Core,0.0,0.0,0,0
openstack/designate-tempest-plugin,openstack/ansible-role-zookeeper,Non core,0.0,0.0,0,0
openstack/designate-tempest-plugin,openstack/python-manilaclient,Core,4.81283422459893,1.5037593984962405,15,11
openstack/designate-tempest-plugin,openstack/python-manilaclient,Non core,3.2085561497326207,2.631578947368421,15,11
openstack/designate-tempest-plugin,openstack/tripleo-operator-ansible,Core,4.10958904109589,3.8095238095238098,3,5
openstack/designate-tempest-plugin,openstack/tripleo-operator-ansible,Non core,0.0,0.9523809523809524,3,5
openstack/designate-tempest-plugin,openstack/octavia-dashboard,Core,9.75609756097561,6.956521739130435,12,15
openstack/designate-tempest-plugin,openstack/octavia-dashboard,Non core,4.878048780487805,6.086956521739131,12,15
openstack/designate-tempest-plugin,openstack/blazar-tempest-plugin,Core,8.19672131147541,4.651162790697675,7,5
openstack/designate-tempest-plugin,openstack/blazar-tempest-plugin,Non core,3.278688524590164,1.1627906976744187,7,5
openstack/designate-tempest-plugin,openstack/neutron-specs,Core,2.242152466367713,1.4705882352941175,8,21
openstack/designate-tempest-plugin,openstack/neutron-specs,Non core,1.345291479820628,1.9607843137254901,8,21
openstack/designate-tempest-plugin,openstack/tooz,Core,8.130081300813007,6.382978723404255,11,19
openstack/designate-tempest-plugin,openstack/tooz,Non core,0.8130081300813009,3.723404255319149,11,19
openstack/designate-tempest-plugin,openstack/manila-specs,Core,3.614457831325301,2.34375,3,6
openstack/designate-tempest-plugin,openstack/manila-specs,Non core,0.0,2.34375,3,6
openstack/designate-tempest-plugin,openstack/glance_store,Core,6.976744186046512,2.9585798816568047,14,18
openstack/designate-tempest-plugin,openstack/glance_store,Non core,1.1627906976744187,2.366863905325444,14,18
openstack/designate-tempest-plugin,openstack/openstack-ansible-os_neutron,Core,5.228758169934641,3.211009174311927,12,12
openstack/designate-tempest-plugin,openstack/openstack-ansible-os_neutron,Non core,2.6143790849673203,2.293577981651376,12,12
openstack/designate-tempest-plugin,openstack/os-ken,Core,6.153846153846154,6.976744186046512,4,7
openstack/designate-tempest-plugin,openstack/os-ken,Non core,0.0,1.1627906976744187,4,7
openstack/designate-tempest-plugin,openstack/keystoneauth,Core,8.176100628930817,3.6734693877551026,14,15
openstack/designate-tempest-plugin,openstack/keystoneauth,Non core,0.628930817610063,2.4489795918367347,14,15
openstack/designate-tempest-plugin,openstack/openstack-ansible-haproxy_server,Core,6.0,0.7751937984496124,9,4
openstack/designate-tempest-plugin,openstack/openstack-ansible-haproxy_server,Non core,3.0,2.3255813953488373,9,4
openstack/designate-tempest-plugin,openstack/grenade,Core,5.714285714285714,4.016064257028113,9,17
openstack/designate-tempest-plugin,openstack/grenade,Non core,0.7142857142857143,2.8112449799196786,9,17
openstack/designate-tempest-plugin,openstack/networking-midonet,Core,5.737704918032787,4.017857142857143,10,18
openstack/designate-tempest-plugin,openstack/networking-midonet,Non core,2.459016393442623,4.017857142857143,10,18
openstack/designate-tempest-plugin,openstack/python-ironicclient,Core,5.911330049261084,2.4464831804281344,16,17
