projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/devstack-plugin-amqp1,openstack/devstack-plugin-kafka,Core,21.428571428571427,23.333333333333332,6,10
openstack/devstack-plugin-amqp1,openstack/devstack-plugin-kafka,Non core,21.428571428571427,10.0,6,10
openstack/devstack-plugin-amqp1,openstack/tripleo-ipsec,Core,9.523809523809524,7.5,3,3
openstack/devstack-plugin-amqp1,openstack/tripleo-ipsec,Non core,4.761904761904762,0.0,3,3
openstack/devstack-plugin-amqp1,openstack/monasca-grafana-datasource,Core,4.545454545454546,0.0,1,1
openstack/devstack-plugin-amqp1,openstack/monasca-grafana-datasource,Non core,0.0,2.1739130434782608,1,1
openstack/devstack-plugin-amqp1,openstack/charm-interface-bind-rndc,Core,10.526315789473683,3.4482758620689653,2,2
openstack/devstack-plugin-amqp1,openstack/charm-interface-bind-rndc,Non core,0.0,3.4482758620689653,2,2
openstack/devstack-plugin-amqp1,openstack/charm-interface-rabbitmq,Core,11.11111111111111,3.3333333333333335,2,2
openstack/devstack-plugin-amqp1,openstack/charm-interface-rabbitmq,Non core,0.0,3.3333333333333335,2,2
openstack/devstack-plugin-amqp1,openstack/charm-interface-openstack-ha,Core,11.76470588235294,3.3333333333333335,2,2
openstack/devstack-plugin-amqp1,openstack/charm-interface-openstack-ha,Non core,0.0,3.3333333333333335,2,2
openstack/devstack-plugin-amqp1,openstack/charm-interface-gnocchi,Core,12.5,2.7027027027027026,2,1
openstack/devstack-plugin-amqp1,openstack/charm-interface-gnocchi,Non core,0.0,0.0,2,1
openstack/devstack-plugin-amqp1,openstack/charm-interface-bgp,Core,17.647058823529413,3.3333333333333335,3,1
openstack/devstack-plugin-amqp1,openstack/charm-interface-bgp,Non core,0.0,0.0,3,1
openstack/devstack-plugin-amqp1,openstack/charm-interface-websso-fid-service-provider,Core,0.0,3.8461538461538463,0,1
openstack/devstack-plugin-amqp1,openstack/charm-interface-websso-fid-service-provider,Non core,0.0,0.0,0,1
openstack/devstack-plugin-amqp1,openstack/charm-interface-designate,Core,6.666666666666667,3.7037037037037033,1,1
openstack/devstack-plugin-amqp1,openstack/charm-interface-designate,Non core,0.0,0.0,1,1
openstack/devstack-plugin-amqp1,openstack/tempest-horizon,Core,14.285714285714285,4.761904761904762,5,3
openstack/devstack-plugin-amqp1,openstack/tempest-horizon,Non core,3.571428571428571,2.380952380952381,5,3
openstack/devstack-plugin-amqp1,openstack/logstash-filters,Core,0.0,0.0,0,1
openstack/devstack-plugin-amqp1,openstack/logstash-filters,Non core,0.0,3.7037037037037033,0,1
openstack/devstack-plugin-amqp1,openstack/xstatic-jquery-migrate,Core,6.666666666666667,0.0,1,1
openstack/devstack-plugin-amqp1,openstack/xstatic-jquery-migrate,Non core,0.0,3.571428571428571,1,1
openstack/devstack-plugin-amqp1,openstack/qinling-dashboard,Core,5.263157894736842,8.333333333333332,1,3
openstack/devstack-plugin-amqp1,openstack/qinling-dashboard,Non core,0.0,0.0,1,3
openstack/devstack-plugin-amqp1,openstack/python-qinlingclient,Core,7.6923076923076925,6.666666666666667,4,4
openstack/devstack-plugin-amqp1,openstack/python-qinlingclient,Non core,2.564102564102564,2.2222222222222223,4,4
openstack/devstack-plugin-amqp1,openstack/qinling,Core,9.615384615384617,5.357142857142857,5,4
openstack/devstack-plugin-amqp1,openstack/qinling,Non core,0.0,1.7857142857142856,5,4
openstack/devstack-plugin-amqp1,openstack/monasca-analytics,Core,11.76470588235294,4.918032786885246,4,4
openstack/devstack-plugin-amqp1,openstack/monasca-analytics,Non core,0.0,1.639344262295082,4,4
openstack/devstack-plugin-amqp1,openstack/oslo-incubator,Core,2.536231884057971,2.2883295194508007,8,15
openstack/devstack-plugin-amqp1,openstack/oslo-incubator,Non core,0.36231884057971014,1.1441647597254003,8,15
openstack/devstack-plugin-amqp1,openstack/puppet-congress,Core,10.81081081081081,0.0,5,1
openstack/devstack-plugin-amqp1,openstack/puppet-congress,Non core,2.7027027027027026,2.1739130434782608,5,1
openstack/devstack-plugin-amqp1,openstack/openstack-ansible-os_monasca-ui,Core,8.695652173913043,2.564102564102564,2,3
openstack/devstack-plugin-amqp1,openstack/openstack-ansible-os_monasca-ui,Non core,0.0,5.128205128205128,2,3
openstack/devstack-plugin-amqp1,openstack/auto-scaling-sig,Core,0.0,2.631578947368421,0,1
openstack/devstack-plugin-amqp1,openstack/auto-scaling-sig,Non core,0.0,0.0,0,1
openstack/devstack-plugin-amqp1,openstack/os-loganalyze,Core,5.128205128205128,4.3478260869565215,2,5
openstack/devstack-plugin-amqp1,openstack/os-loganalyze,Non core,0.0,2.898550724637681,2,5
openstack/devstack-plugin-amqp1,openstack/devstack-plugin-pika,Core,15.384615384615385,24.0,4,9
openstack/devstack-plugin-amqp1,openstack/devstack-plugin-pika,Non core,15.384615384615385,12.0,4,9
openstack/devstack-plugin-amqp1,openstack/devstack-plugin-zmq,Core,33.33333333333333,33.33333333333333,7,13
openstack/devstack-plugin-amqp1,openstack/devstack-plugin-zmq,Non core,13.333333333333334,20.833333333333336,7,13
openstack/devstack-plugin-amqp1,openstack/networking-l2gw,Core,5.333333333333334,2.380952380952381,5,6
openstack/devstack-plugin-amqp1,openstack/networking-l2gw,Non core,1.3333333333333335,1.1904761904761905,5,6
openstack/devstack-plugin-amqp1,openstack/networking-l2gw-tempest-plugin,Core,9.523809523809524,6.976744186046512,3,3
openstack/devstack-plugin-amqp1,openstack/networking-l2gw-tempest-plugin,Non core,4.761904761904762,0.0,3,3
openstack/devstack-plugin-amqp1,openstack/charm-interface-ceph-mds,Core,11.11111111111111,0.0,2,1
openstack/devstack-plugin-amqp1,openstack/charm-interface-ceph-mds,Non core,0.0,3.571428571428571,2,1
openstack/devstack-plugin-amqp1,openstack/xstatic-angular-ui-router,Core,7.142857142857142,3.571428571428571,1,2
openstack/devstack-plugin-amqp1,openstack/xstatic-angular-ui-router,Non core,0.0,3.571428571428571,1,2
openstack/devstack-plugin-amqp1,openstack/xstatic-vis,Core,14.285714285714285,3.7037037037037033,2,1
openstack/devstack-plugin-amqp1,openstack/xstatic-vis,Non core,0.0,0.0,2,1
openstack/devstack-plugin-amqp1,openstack/cookbook-openstack-database,Core,5.0,2.272727272727273,1,2
openstack/devstack-plugin-amqp1,openstack/cookbook-openstack-database,Non core,0.0,2.272727272727273,1,2
openstack/devstack-plugin-amqp1,openstack/cookbook-openstack-data-processing,Core,5.88235294117647,2.7027027027027026,1,3
