projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/dib-utils,openstack/constellations,Core,10.0,1.8518518518518516,2,1
openstack/dib-utils,openstack/constellations,Non core,0.0,0.0,2,1
openstack/dib-utils,openstack/cookbook-openstack-integration-test,Core,2.941176470588235,1.4285714285714286,1,3
openstack/dib-utils,openstack/cookbook-openstack-integration-test,Non core,0.0,2.857142857142857,1,3
openstack/dib-utils,openstack/cookbook-openstack-dashboard,Core,1.639344262295082,0.0,1,2
openstack/dib-utils,openstack/cookbook-openstack-dashboard,Non core,0.0,1.8691588785046727,1,2
openstack/dib-utils,openstack/cookbook-openstack-telemetry,Core,1.6129032258064515,0.0,1,1
openstack/dib-utils,openstack/cookbook-openstack-telemetry,Non core,0.0,1.1235955056179776,1,1
openstack/dib-utils,openstack/cookbook-openstack-orchestration,Core,1.9230769230769231,1.0752688172043012,1,2
openstack/dib-utils,openstack/cookbook-openstack-orchestration,Non core,0.0,1.0752688172043012,1,2
openstack/dib-utils,openstack/cookbook-openstack-bare-metal,Core,3.8461538461538463,1.694915254237288,1,2
openstack/dib-utils,openstack/cookbook-openstack-bare-metal,Non core,0.0,1.694915254237288,1,2
openstack/dib-utils,openstack/cookbook-openstack-dns,Core,0.0,2.0,0,1
openstack/dib-utils,openstack/cookbook-openstack-dns,Non core,0.0,0.0,0,1
openstack/dib-utils,openstack/cookbook-openstack-compute,Core,1.2345679012345678,0.0,1,2
openstack/dib-utils,openstack/cookbook-openstack-compute,Non core,0.0,1.5267175572519083,1,2
openstack/dib-utils,openstack/cookbook-openstack-network,Core,1.2048192771084338,0.0,1,2
openstack/dib-utils,openstack/cookbook-openstack-network,Non core,0.0,1.5873015873015872,1,2
openstack/dib-utils,openstack/cookbook-openstack-block-storage,Core,2.631578947368421,0.0,2,2
openstack/dib-utils,openstack/cookbook-openstack-block-storage,Non core,0.0,1.8691588785046727,2,2
openstack/dib-utils,openstack/cookbook-openstack-image,Core,1.4705882352941175,0.0,1,2
openstack/dib-utils,openstack/cookbook-openstack-image,Non core,0.0,1.8867924528301887,1,2
openstack/dib-utils,openstack/cookbook-openstack-identity,Core,2.898550724637681,0.0,2,2
openstack/dib-utils,openstack/cookbook-openstack-identity,Non core,0.0,1.7857142857142856,2,2
openstack/dib-utils,openstack/cookbook-openstack-ops-database,Core,1.9607843137254901,0.0,1,1
