projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/freezer,openstack/puppet-openstack-cookiecutter,Core,4.2682926829268295,2.1367521367521367,11,14
openstack/freezer,openstack/puppet-openstack-cookiecutter,Non core,2.4390243902439024,3.8461538461538463,11,14
openstack/freezer,openstack/zaqar-ui,Core,6.211180124223603,5.106382978723404,20,25
openstack/freezer,openstack/zaqar-ui,Non core,6.211180124223603,5.531914893617021,20,25
openstack/freezer,openstack/oslo.concurrency,Core,4.390243902439024,3.484320557491289,22,32
openstack/freezer,openstack/oslo.concurrency,Non core,6.341463414634147,7.665505226480835,22,32
openstack/freezer,openstack/charm-octavia,Core,1.1976047904191618,0.851063829787234,4,7
openstack/freezer,openstack/charm-octavia,Non core,1.1976047904191618,2.127659574468085,4,7
openstack/freezer,openstack/charm-ironic-conductor,Core,0.0,0.0,1,0
openstack/freezer,openstack/charm-ironic-conductor,Non core,0.6578947368421052,0.0,1,0
openstack/freezer,openstack/charm-neutron-api-plugin-ovn,Core,1.3157894736842104,0.0,3,0
openstack/freezer,openstack/charm-neutron-api-plugin-ovn,Non core,0.6578947368421052,0.0,3,0
openstack/freezer,openstack/charm-octavia-dashboard,Core,0.641025641025641,0.904977375565611,3,4
openstack/freezer,openstack/charm-octavia-dashboard,Non core,1.282051282051282,0.904977375565611,3,4
openstack/freezer,openstack/charm-masakari,Core,0.6493506493506493,0.4464285714285714,2,1
openstack/freezer,openstack/charm-masakari,Non core,0.6493506493506493,0.0,2,1
openstack/freezer,openstack/zun-ui,Core,3.0864197530864197,4.382470119521913,15,23
openstack/freezer,openstack/zun-ui,Non core,6.172839506172839,4.780876494023905,15,23
openstack/freezer,openstack/python-brick-cinderclient-ext,Core,5.357142857142857,3.2128514056224895,19,23
openstack/freezer,openstack/python-brick-cinderclient-ext,Non core,5.952380952380952,6.024096385542169,19,23
openstack/freezer,openstack/puppet-tacker,Core,3.821656050955414,0.8968609865470852,14,11
openstack/freezer,openstack/puppet-tacker,Non core,5.095541401273886,4.0358744394618835,14,11
openstack/freezer,openstack/puppet-ec2api,Core,4.2682926829268295,0.881057268722467,12,7
openstack/freezer,openstack/puppet-ec2api,Non core,3.048780487804878,2.2026431718061676,12,7
openstack/freezer,openstack/puppet-mistral,Core,5.142857142857142,1.8382352941176472,18,17
openstack/freezer,openstack/puppet-mistral,Non core,5.142857142857142,4.411764705882353,18,17
openstack/freezer,openstack/puppet-oslo,Core,4.49438202247191,2.272727272727273,16,16
openstack/freezer,openstack/puppet-oslo,Non core,4.49438202247191,3.787878787878788,16,16
openstack/freezer,openstack/puppet-manila,Core,4.326923076923077,1.6778523489932886,16,21
openstack/freezer,openstack/puppet-manila,Non core,3.3653846153846154,5.369127516778524,16,21
openstack/freezer,openstack/puppet-sahara,Core,5.319148936170213,1.3333333333333335,19,22
openstack/freezer,openstack/puppet-sahara,Non core,4.787234042553192,6.0,19,22
openstack/freezer,openstack/puppet-vswitch,Core,4.232804232804233,1.36986301369863,12,15
openstack/freezer,openstack/puppet-vswitch,Non core,2.1164021164021163,3.767123287671233,12,15
openstack/freezer,openstack/puppet-gnocchi,Core,5.291005291005291,1.444043321299639,20,15
openstack/freezer,openstack/puppet-gnocchi,Non core,5.291005291005291,3.9711191335740073,20,15
openstack/freezer,openstack/puppet-vitrage,Core,4.819277108433735,1.6666666666666667,17,12
openstack/freezer,openstack/puppet-vitrage,Non core,5.421686746987952,3.3333333333333335,17,12
openstack/freezer,openstack/puppet-magnum,Core,5.294117647058823,0.8,17,16
openstack/freezer,openstack/puppet-magnum,Non core,4.705882352941177,5.6000000000000005,17,16
openstack/freezer,openstack/puppet-rally,Core,3.75,0.8771929824561403,11,9
openstack/freezer,openstack/puppet-rally,Non core,3.125,3.070175438596491,11,9
openstack/freezer,openstack/puppet-watcher,Core,4.294478527607362,1.6597510373443984,19,17
openstack/freezer,openstack/puppet-watcher,Non core,7.361963190184049,5.394190871369295,19,17
openstack/freezer,openstack/puppet-cloudkitty,Core,3.7267080745341614,0.4424778761061947,14,8
openstack/freezer,openstack/puppet-cloudkitty,Non core,4.968944099378882,3.0973451327433628,14,8
openstack/freezer,openstack/puppet-placement,Core,1.948051948051948,1.762114537444934,4,6
openstack/freezer,openstack/puppet-placement,Non core,0.6493506493506493,0.881057268722467,4,6
openstack/freezer,openstack/puppet-ceilometer,Core,4.385964912280701,1.8292682926829267,18,20
openstack/freezer,openstack/puppet-ceilometer,Non core,3.508771929824561,4.2682926829268295,18,20
openstack/freezer,openstack/puppet-heat,Core,4.424778761061947,0.8928571428571428,18,18
openstack/freezer,openstack/puppet-heat,Non core,3.5398230088495577,4.464285714285714,18,18
openstack/freezer,openstack/puppet-cinder,Core,4.3624161073825505,1.5873015873015872,21,27
openstack/freezer,openstack/puppet-cinder,Non core,2.684563758389262,4.535147392290249,21,27
openstack/freezer,openstack/puppet-barbican,Core,3.8461538461538463,2.272727272727273,12,15
openstack/freezer,openstack/puppet-barbican,Non core,2.7472527472527473,3.4090909090909087,12,15
openstack/freezer,openstack/tenks,Core,2.564102564102564,0.0,6,3
openstack/freezer,openstack/tenks,Non core,1.282051282051282,1.3636363636363635,6,3
openstack/freezer,openstack/charm-cinder-ceph,Core,1.7857142857142856,1.2875536480686696,6,6
openstack/freezer,openstack/charm-cinder-ceph,Non core,1.7857142857142856,1.2875536480686696,6,6
openstack/freezer,openstack/charm-heat,Core,1.7647058823529411,1.2658227848101267,7,7
openstack/freezer,openstack/charm-heat,Non core,2.3529411764705883,1.6877637130801686,7,7
openstack/freezer,openstack/charm-neutron-api-plugin-ironic,Core,0.0,0.0,1,0
openstack/freezer,openstack/charm-neutron-api-plugin-ironic,Non core,0.6711409395973155,0.0,1,0
openstack/freezer,openstack/charm-openstack-dashboard,Core,1.5625,1.2295081967213115,9,9
openstack/freezer,openstack/charm-openstack-dashboard,Non core,3.125,2.459016393442623,9,9
openstack/freezer,openstack/charm-keystone-kerberos,Core,0.0,0.0,1,0
openstack/freezer,openstack/charm-keystone-kerberos,Non core,0.6756756756756757,0.0,1,0
openstack/freezer,openstack/python-keystoneclient,Core,3.7135278514588856,2.8192371475953566,30,55
openstack/freezer,openstack/python-keystoneclient,Non core,4.244031830238726,6.301824212271974,30,55
openstack/freezer,openstack/charm-gnocchi,Core,1.2195121951219512,0.8620689655172413,5,5
openstack/freezer,openstack/charm-gnocchi,Non core,1.8292682926829267,1.293103448275862,5,5
openstack/freezer,openstack/ironic-lib,Core,6.0,5.405405405405405,21,33
openstack/freezer,openstack/ironic-lib,Non core,4.5,5.743243243243244,21,33
openstack/freezer,openstack/ovsdbapp,Core,3.35195530726257,3.3834586466165413,16,21
openstack/freezer,openstack/ovsdbapp,Non core,5.58659217877095,4.511278195488721,16,21
openstack/freezer,openstack/python-octaviaclient,Core,2.247191011235955,3.076923076923077,17,17
openstack/freezer,openstack/python-octaviaclient,Non core,7.303370786516854,3.4615384615384617,17,17
openstack/freezer,openstack/octavia-lib,Core,1.910828025477707,2.928870292887029,8,11
openstack/freezer,openstack/octavia-lib,Non core,3.1847133757961785,1.6736401673640167,8,11
openstack/freezer,openstack/charm-neutron-gateway,Core,2.185792349726776,1.2244897959183674,9,8
openstack/freezer,openstack/charm-neutron-gateway,Non core,2.73224043715847,2.0408163265306123,9,8
openstack/freezer,openstack/charm-hacluster,Core,1.7142857142857144,1.2605042016806722,7,10
openstack/freezer,openstack/charm-hacluster,Non core,2.2857142857142856,2.941176470588235,7,10
openstack/freezer,openstack/charm-manila,Core,1.8181818181818181,0.8928571428571428,4,5
openstack/freezer,openstack/charm-manila,Non core,0.6060606060606061,1.3392857142857142,4,5
openstack/freezer,openstack/ironic-prometheus-exporter,Core,2.547770700636943,1.3574660633484164,4,4
openstack/freezer,openstack/ironic-prometheus-exporter,Non core,0.0,0.4524886877828055,4,4
openstack/freezer,openstack/charm-manila-netapp,Core,0.0,0.0,1,0
openstack/freezer,openstack/charm-manila-netapp,Non core,0.6944444444444444,0.0,1,0
openstack/freezer,openstack/charm-pacemaker-remote,Core,1.3245033112582782,0.91324200913242,3,4
openstack/freezer,openstack/charm-pacemaker-remote,Non core,0.6622516556291391,0.91324200913242,3,4
openstack/freezer,openstack/charm-glance-simplestreams-sync,Core,1.2195121951219512,0.8849557522123894,6,4
openstack/freezer,openstack/charm-glance-simplestreams-sync,Non core,2.4390243902439024,0.8849557522123894,6,4
openstack/freezer,openstack/oslo-specs,Core,2.9268292682926833,3.218390804597701,16,25
openstack/freezer,openstack/oslo-specs,Non core,4.878048780487805,2.528735632183908,16,25
openstack/freezer,openstack/openstack-ansible-rsyslog_server,Core,4.705882352941177,2.0161290322580645,20,20
openstack/freezer,openstack/openstack-ansible-rsyslog_server,Non core,7.0588235294117645,6.048387096774194,20,20
openstack/freezer,openstack/openstack-ansible-rsyslog_client,Core,4.49438202247191,2.8688524590163933,19,23
openstack/freezer,openstack/openstack-ansible-rsyslog_client,Non core,6.179775280898876,6.557377049180328,19,23
openstack/freezer,openstack/charm-cinder-backup,Core,1.875,1.3392857142857142,5,6
