projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/fuel-agent,openstack/fuel-octane,Core,6.741573033707865,8.383233532934131,13,38
openstack/fuel-agent,openstack/fuel-octane,Non core,7.865168539325842,14.37125748502994,13,38
openstack/fuel-agent,openstack/tuning-box,Core,2.7027027027027026,4.40251572327044,2,17
openstack/fuel-agent,openstack/tuning-box,Non core,0.0,6.289308176100629,2,17
openstack/fuel-agent,openstack/python-fuelclient,Core,9.90990990990991,14.427860696517413,29,95
openstack/fuel-agent,openstack/python-fuelclient,Non core,16.216216216216218,32.83582089552239,29,95
openstack/fuel-agent,openstack/neutron-interconnection,Core,0.0,0.625,0,1
openstack/fuel-agent,openstack/neutron-interconnection,Non core,0.0,0.0,0,1
openstack/fuel-agent,openstack/openstack-chef-repo,Core,1.8181818181818181,1.0050251256281406,2,5
openstack/fuel-agent,openstack/openstack-chef-repo,Non core,0.0,1.507537688442211,2,5
openstack/fuel-agent,openstack/os-acc,Core,0.0,0.5988023952095809,0,1
openstack/fuel-agent,openstack/os-acc,Non core,0.0,0.0,0,1
openstack/fuel-agent,openstack/openstack-ansible-os_zaqar,Core,2.8846153846153846,0.5102040816326531,3,2
openstack/fuel-agent,openstack/openstack-ansible-os_zaqar,Non core,0.0,0.5102040816326531,3,2
openstack/fuel-agent,openstack/openstack-ansible-os_watcher,Core,3.0303030303030303,0.53475935828877,3,3
openstack/fuel-agent,openstack/openstack-ansible-os_watcher,Non core,0.0,1.06951871657754,3,3
openstack/fuel-agent,openstack/openstack-ansible-os_searchlight,Core,1.0752688172043012,0.0,1,1
openstack/fuel-agent,openstack/openstack-ansible-os_searchlight,Non core,0.0,0.5555555555555556,1,1
openstack/fuel-agent,openstack/xstatic-angular-vis,Core,0.0,0.0,0,0
openstack/fuel-agent,openstack/xstatic-angular-vis,Non core,0.0,0.0,0,0
openstack/fuel-agent,openstack/xstatic-font-awesome,Core,1.3333333333333335,0.0,2,3
openstack/fuel-agent,openstack/xstatic-font-awesome,Non core,1.3333333333333335,1.875,2,3
openstack/fuel-agent,openstack/xstatic-jasmine,Core,1.2658227848101267,0.0,2,3
openstack/fuel-agent,openstack/xstatic-jasmine,Non core,1.2658227848101267,1.8518518518518516,2,3
openstack/fuel-agent,openstack/xstatic-angular-notify,Core,0.0,0.0,0,0
openstack/fuel-agent,openstack/xstatic-angular-notify,Non core,0.0,0.0,0,0
openstack/fuel-agent,openstack/xstatic-angular-material,Core,0.0,0.0,0,0
openstack/fuel-agent,openstack/xstatic-angular-material,Non core,0.0,0.0,0,0
openstack/fuel-agent,openstack/tempest-tripleo-ui,Core,0.0,1.25,0,2
openstack/fuel-agent,openstack/tempest-tripleo-ui,Non core,0.0,0.0,0,2
openstack/fuel-agent,openstack/docs-specs,Core,2.608695652173913,0.8595988538681949,3,7
openstack/fuel-agent,openstack/docs-specs,Non core,0.0,1.146131805157593,3,7
openstack/fuel-agent,openstack/release-schedule-generator,Core,1.36986301369863,0.6493506493506493,1,2
openstack/fuel-agent,openstack/release-schedule-generator,Non core,0.0,0.6493506493506493,1,2
openstack/fuel-agent,openstack-infra/opendev-website,Core,1.4084507042253522,1.2987012987012987,1,2
openstack/fuel-agent,openstack-infra/opendev-website,Non core,0.0,0.0,1,2
openstack/fuel-agent,openstack/castellan-ui,Core,1.3333333333333335,1.1976047904191618,1,3
openstack/fuel-agent,openstack/castellan-ui,Non core,0.0,0.5988023952095809,1,3
openstack/fuel-agent,openstack-attic/compute-api,Core,2.1739130434782608,0.5434782608695652,2,2
openstack/fuel-agent,openstack-attic/compute-api,Non core,0.0,0.5434782608695652,2,2
openstack/fuel-agent,openstack/charm-neutron-api-odl,Core,0.0,0.0,0,1
openstack/fuel-agent,openstack/charm-neutron-api-odl,Non core,0.0,0.625,0,1
openstack/fuel-agent,openstack/charm-manila-glusterfs,Core,0.0,0.0,0,0
openstack/fuel-agent,openstack/charm-manila-glusterfs,Non core,0.0,0.0,0,0
openstack/fuel-agent,openstack/charm-murano,Core,0.0,0.0,0,1
openstack/fuel-agent,openstack/charm-murano,Non core,0.0,0.6578947368421052,0,1
openstack/fuel-agent,openstack/charm-openvswitch-odl,Core,0.0,0.0,0,1
openstack/fuel-agent,openstack/charm-openvswitch-odl,Non core,0.0,0.6329113924050633,0,1
openstack/fuel-agent,openstack/charm-interface-odl-controller-api,Core,1.36986301369863,0.0,1,1
openstack/fuel-agent,openstack/charm-interface-odl-controller-api,Non core,0.0,0.6578947368421052,1,1
openstack/fuel-agent,openstack/charm-glusterfs,Core,0.0,0.0,0,1
openstack/fuel-agent,openstack/charm-glusterfs,Non core,0.0,0.6369426751592357,0,1
openstack/fuel-agent,openstack/charm-trove,Core,0.0,0.0,0,1
openstack/fuel-agent,openstack/charm-trove,Non core,0.0,0.641025641025641,0,1
openstack/fuel-agent,openstack/deb-python-positional,Core,0.0,0.0,2,3
