projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/glance-specs,openstack/telemetry-tempest-plugin,Core,2.5,2.734375,3,10
openstack/glance-specs,openstack/telemetry-tempest-plugin,Non core,0.0,1.171875,3,10
openstack/glance-specs,openstack/os-net-config,Core,2.8901734104046244,3.2520325203252036,8,21
openstack/glance-specs,openstack/os-net-config,Non core,1.7341040462427744,2.4390243902439024,8,21
openstack/glance-specs,openstack/kuryr-kubernetes,Core,2.5380710659898478,3.2994923857868024,12,26
openstack/glance-specs,openstack/kuryr-kubernetes,Non core,3.5532994923857872,3.2994923857868024,12,26
openstack/glance-specs,openstack/charms.openstack,Core,2.5210084033613445,2.0080321285140563,5,7
openstack/glance-specs,openstack/charms.openstack,Non core,1.680672268907563,0.8032128514056224,5,7
openstack/glance-specs,openstack/puppet-trove,Core,3.3112582781456954,1.3114754098360655,8,16
openstack/glance-specs,openstack/puppet-trove,Non core,1.9867549668874174,3.934426229508197,8,16
openstack/glance-specs,openstack/tripleo-image-elements,Core,1.509433962264151,3.515625,7,31
openstack/glance-specs,openstack/tripleo-image-elements,Non core,1.1320754716981132,2.5390625,7,31
openstack/glance-specs,openstack/bifrost,Core,1.4218009478672986,3.763440860215054,7,24
openstack/glance-specs,openstack/bifrost,Non core,1.8957345971563981,2.6881720430107525,7,24
openstack/glance-specs,openstack/designate-tempest-plugin,Core,3.937007874015748,2.5735294117647056,7,12
openstack/glance-specs,openstack/designate-tempest-plugin,Non core,1.574803149606299,1.8382352941176472,7,12
openstack/glance-specs,openstack/osc-placement,Core,3.508771929824561,7.116104868913857,4,25
openstack/glance-specs,openstack/osc-placement,Non core,0.0,2.247191011235955,4,25
openstack/glance-specs,openstack/loci,Core,0.0,1.3201320132013201,1,8
openstack/glance-specs,openstack/loci,Non core,0.7936507936507936,1.3201320132013201,1,8
openstack/glance-specs,openstack/devstack-plugin-ceph,Core,6.2015503875969,6.920415224913495,9,24
