projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/glance-tempest-plugin,openstack/charm-ops-sunbeam,Core,0.0,0.0,0,0
openstack/glance-tempest-plugin,openstack/charm-ops-sunbeam,Non core,0.0,0.0,0,0
openstack/glance-tempest-plugin,openstack/mistral,Core,1.214574898785425,0.5780346820809248,3,2
openstack/glance-tempest-plugin,openstack/mistral,Non core,0.0,0.0,3,2
openstack/glance-tempest-plugin,openstack/validations-common,Core,2.941176470588235,1.639344262295082,2,1
openstack/glance-tempest-plugin,openstack/validations-common,Non core,2.941176470588235,0.0,2,1
openstack/glance-tempest-plugin,openstack/ci-log-processing,Core,0.0,6.896551724137931,0,2
openstack/glance-tempest-plugin,openstack/ci-log-processing,Non core,0.0,0.0,0,2
openstack/glance-tempest-plugin,openstack/openstack-ansible-os_ceilometer,Core,1.1904761904761905,0.9900990099009901,1,1
openstack/glance-tempest-plugin,openstack/openstack-ansible-os_ceilometer,Non core,0.0,0.0,1,1
openstack/glance-tempest-plugin,openstack/openstack-ansible-os_aodh,Core,1.3888888888888888,0.0,1,0
openstack/glance-tempest-plugin,openstack/openstack-ansible-os_aodh,Non core,0.0,0.0,1,0
openstack/glance-tempest-plugin,openstack/python-swiftclient,Core,0.5319148936170213,0.7843137254901961,1,2
openstack/glance-tempest-plugin,openstack/python-swiftclient,Non core,0.0,0.0,1,2
openstack/glance-tempest-plugin,openstack/rpm-packaging,Core,1.5873015873015872,0.0,2,0
openstack/glance-tempest-plugin,openstack/rpm-packaging,Non core,0.0,0.0,2,0
openstack/glance-tempest-plugin,openstack/placement,Core,7.547169811320755,2.6785714285714284,4,4
openstack/glance-tempest-plugin,openstack/placement,Non core,0.0,0.8928571428571428,4,4
openstack/glance-tempest-plugin,openstack/os-resource-classes,Core,5.0,5.88235294117647,1,2
openstack/glance-tempest-plugin,openstack/os-resource-classes,Non core,0.0,0.0,1,2
openstack/glance-tempest-plugin,openstack/blazar,Core,1.834862385321101,0.6172839506172839,2,1
openstack/glance-tempest-plugin,openstack/blazar,Non core,0.0,0.0,2,1
openstack/glance-tempest-plugin,openstack/openstack-ansible-os_glance,Core,1.282051282051282,1.0204081632653061,1,1
openstack/glance-tempest-plugin,openstack/openstack-ansible-os_glance,Non core,0.0,0.0,1,1
openstack/glance-tempest-plugin,openstack/governance,Core,0.8968609865470852,0.5725190839694656,5,6
openstack/glance-tempest-plugin,openstack/governance,Non core,0.2242152466367713,0.0,5,6
openstack/glance-tempest-plugin,openstack/cloudkitty,Core,1.6,1.1363636363636365,2,2
openstack/glance-tempest-plugin,openstack/cloudkitty,Non core,0.0,0.0,2,2
openstack/glance-tempest-plugin,openstack/neutron-dynamic-routing,Core,1.1494252873563218,0.7042253521126761,1,1
openstack/glance-tempest-plugin,openstack/neutron-dynamic-routing,Non core,0.0,0.0,1,1
openstack/glance-tempest-plugin,openstack/kayobe,Core,3.6363636363636362,1.2048192771084338,2,1
openstack/glance-tempest-plugin,openstack/kayobe,Non core,0.0,0.0,2,1
openstack/glance-tempest-plugin,openstack/ansible-role-zookeeper,Core,0.0,0.0,0,0
openstack/glance-tempest-plugin,openstack/ansible-role-zookeeper,Non core,0.0,0.0,0,0
openstack/glance-tempest-plugin,openstack/python-manilaclient,Core,0.6134969325153374,0.4424778761061947,1,1
openstack/glance-tempest-plugin,openstack/python-manilaclient,Non core,0.0,0.0,1,1
openstack/glance-tempest-plugin,openstack/tripleo-operator-ansible,Core,5.555555555555555,1.694915254237288,2,1
openstack/glance-tempest-plugin,openstack/tripleo-operator-ansible,Non core,0.0,0.0,2,1
openstack/glance-tempest-plugin,openstack/octavia-dashboard,Core,3.7037037037037033,1.282051282051282,2,2
openstack/glance-tempest-plugin,openstack/octavia-dashboard,Non core,0.0,1.282051282051282,2,2
openstack/glance-tempest-plugin,openstack/blazar-tempest-plugin,Core,7.142857142857142,2.5,2,1
openstack/glance-tempest-plugin,openstack/blazar-tempest-plugin,Non core,0.0,0.0,2,1
openstack/glance-tempest-plugin,openstack/neutron-specs,Core,0.5208333333333333,0.3448275862068966,1,3
openstack/glance-tempest-plugin,openstack/neutron-specs,Non core,0.0,0.1724137931034483,1,3
openstack/glance-tempest-plugin,openstack/tooz,Core,2.127659574468085,1.2903225806451613,2,2
openstack/glance-tempest-plugin,openstack/tooz,Non core,0.0,0.0,2,2
openstack/glance-tempest-plugin,openstack/manila-specs,Core,2.127659574468085,1.2195121951219512,1,2
openstack/glance-tempest-plugin,openstack/manila-specs,Non core,0.0,1.2195121951219512,1,2
openstack/glance-tempest-plugin,openstack/glance_store,Core,2.083333333333333,2.0066889632107023,4,7
openstack/glance-tempest-plugin,openstack/glance_store,Non core,0.6944444444444444,0.33444816053511706,4,7
openstack/glance-tempest-plugin,openstack/openstack-ansible-os_neutron,Core,0.0,0.0,0,0
openstack/glance-tempest-plugin,openstack/openstack-ansible-os_neutron,Non core,0.0,0.0,0,0
openstack/glance-tempest-plugin,openstack/os-ken,Core,6.896551724137931,2.380952380952381,2,1
openstack/glance-tempest-plugin,openstack/os-ken,Non core,0.0,0.0,2,1
openstack/glance-tempest-plugin,openstack/keystoneauth,Core,2.272727272727273,2.4390243902439024,3,5
openstack/glance-tempest-plugin,openstack/keystoneauth,Non core,0.0,0.0,3,5
openstack/glance-tempest-plugin,openstack/openstack-ansible-haproxy_server,Core,1.4285714285714286,0.0,1,0
openstack/glance-tempest-plugin,openstack/openstack-ansible-haproxy_server,Non core,0.0,0.0,1,0
openstack/glance-tempest-plugin,openstack/grenade,Core,2.7777777777777777,1.8867924528301887,3,4
openstack/glance-tempest-plugin,openstack/grenade,Non core,0.0,0.0,3,4
openstack/glance-tempest-plugin,openstack/networking-midonet,Core,2.1739130434782608,1.0526315789473684,2,2
openstack/glance-tempest-plugin,openstack/networking-midonet,Non core,0.0,0.0,2,2
openstack/glance-tempest-plugin,openstack/python-ironicclient,Core,1.1235955056179776,0.3412969283276451,3,1
