projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/grenade,openstack/networking-midonet,Core,7.514450867052023,9.144542772861357,16,51
openstack/grenade,openstack/networking-midonet,Non core,1.7341040462427744,5.899705014749262,16,51
openstack/grenade,openstack/python-ironicclient,Core,6.746031746031746,8.450704225352112,24,66
openstack/grenade,openstack/python-ironicclient,Non core,2.7777777777777777,7.042253521126761,24,66
openstack/grenade,openstack/oslo.messaging,Core,8.940397350993377,9.63855421686747,35,81
openstack/grenade,openstack/oslo.messaging,Non core,2.6490066225165565,6.626506024096386,35,81
openstack/grenade,openstack/tripleo-docs,Core,6.882591093117409,7.8125,21,49
openstack/grenade,openstack/tripleo-docs,Non core,1.6194331983805668,3.125,21,49
openstack/grenade,openstack/magnum,Core,4.611650485436893,6.896551724137931,22,72
openstack/grenade,openstack/magnum,Non core,0.7281553398058253,3.8980509745127434,22,72
openstack/grenade,openstack/diskimage-builder,Core,4.370179948586118,7.5,24,73
openstack/grenade,openstack/diskimage-builder,Non core,1.7994858611825193,3.90625,24,73
openstack/grenade,openstack/masakari,Core,3.825136612021858,4.870129870129871,8,23
openstack/grenade,openstack/masakari,Non core,0.546448087431694,2.5974025974025974,8,23
openstack/grenade,openstack/python-venusclient,Core,0.0,0.46511627906976744,0,4
openstack/grenade,openstack/python-venusclient,Non core,0.0,1.3953488372093024,0,4
openstack/grenade,openstack/ansible-role-container-registry,Core,4.032258064516129,3.2520325203252036,5,11
openstack/grenade,openstack/ansible-role-container-registry,Non core,0.0,1.2195121951219512,5,11
openstack/grenade,openstack/puppet-ovn,Core,7.086614173228346,3.7037037037037033,12,17
openstack/grenade,openstack/puppet-ovn,Non core,2.3622047244094486,3.292181069958848,12,17
openstack/grenade,openstack/charm-rabbitmq-server,Core,1.36986301369863,1.1952191235059761,3,9
openstack/grenade,openstack/charm-rabbitmq-server,Non core,0.684931506849315,2.3904382470119523,3,9
openstack/grenade,openstack/senlin,Core,5.747126436781609,3.5443037974683547,19,32
openstack/grenade,openstack/senlin,Non core,1.532567049808429,4.556962025316456,19,32
openstack/grenade,openstack/python-designateclient,Core,4.81283422459893,4.651162790697675,12,26
openstack/grenade,openstack/python-designateclient,Non core,1.6042780748663104,3.9867109634551494,12,26
openstack/grenade,openstack/puppet-horizon,Core,4.3478260869565215,4.398826979472141,13,25
openstack/grenade,openstack/puppet-horizon,Non core,1.932367149758454,2.932551319648094,13,25
openstack/grenade,openstack/openstack-ansible-lxc_hosts,Core,4.938271604938271,2.3728813559322033,9,15
openstack/grenade,openstack/openstack-ansible-lxc_hosts,Non core,0.6172839506172839,2.711864406779661,9,15
openstack/grenade,openstack/keystone-tempest-plugin,Core,3.361344537815126,4.184100418410042,4,20
openstack/grenade,openstack/keystone-tempest-plugin,Non core,0.0,4.184100418410042,4,20
openstack/grenade,openstack/python-barbicanclient,Core,5.612244897959184,6.21301775147929,16,39
openstack/grenade,openstack/python-barbicanclient,Non core,2.5510204081632653,5.325443786982249,16,39
openstack/grenade,openstack/openstack-ansible-os_ironic,Core,5.357142857142857,2.0905923344947737,10,18
openstack/grenade,openstack/openstack-ansible-os_ironic,Non core,0.5952380952380952,4.181184668989547,10,18
openstack/grenade,openstack/charm-trilio-wlm,Core,0.0,0.0,0,0
openstack/grenade,openstack/charm-trilio-wlm,Non core,0.0,0.0,0,0
openstack/grenade,openstack/charm-trilio-horizon-plugin,Core,0.0,0.0,0,0
openstack/grenade,openstack/charm-trilio-horizon-plugin,Non core,0.0,0.0,0,0
openstack/grenade,openstack/openstack-ansible-os_barbican,Core,5.298013245033113,2.6217228464419478,9,17
openstack/grenade,openstack/openstack-ansible-os_barbican,Non core,0.6622516556291391,3.7453183520599254,9,17
openstack/grenade,openstack/skyline-apiserver,Core,0.9009009009009009,0.0,1,3
openstack/grenade,openstack/skyline-apiserver,Non core,0.0,1.3333333333333335,1,3
openstack/grenade,openstack/oslo.policy,Core,8.02139037433155,10.81081081081081,20,57
openstack/grenade,openstack/oslo.policy,Non core,2.6737967914438503,6.306306306306306,20,57
openstack/grenade,openstack/openstack-ansible-tests,Core,4.761904761904762,3.3333333333333335,9,15
openstack/grenade,openstack/openstack-ansible-tests,Non core,0.5952380952380952,1.6666666666666667,9,15
openstack/grenade,openstack/openstack-ansible-os_rally,Core,5.633802816901409,1.9157088122605364,9,13
openstack/grenade,openstack/openstack-ansible-os_rally,Non core,0.7042253521126761,3.065134099616858,9,13
openstack/grenade,openstack/openstack-ansible-rabbitmq_server,Core,5.844155844155844,2.142857142857143,10,17
openstack/grenade,openstack/openstack-ansible-rabbitmq_server,Non core,0.6493506493506493,3.9285714285714284,10,17
openstack/grenade,openstack/openstack-ansible-os_horizon,Core,4.736842105263158,2.564102564102564,10,16
openstack/grenade,openstack/openstack-ansible-os_horizon,Non core,0.5263157894736842,2.564102564102564,10,16
openstack/grenade,openstack/heat-dashboard,Core,4.37956204379562,2.7027027027027026,6,17
openstack/grenade,openstack/heat-dashboard,Non core,0.0,3.861003861003861,6,17
openstack/grenade,openstack/oslo.log,Core,10.344827586206897,11.206896551724139,26,63
openstack/grenade,openstack/oslo.log,Non core,2.4630541871921183,6.896551724137931,26,63
openstack/grenade,openstack/charm-ceph-dashboard,Core,0.0,0.0,0,0
openstack/grenade,openstack/charm-ceph-dashboard,Non core,0.0,0.0,0,0
openstack/grenade,openstack/openstack-ansible-lxc_container_create,Core,5.161290322580645,2.18978102189781,9,15
openstack/grenade,openstack/openstack-ansible-lxc_container_create,Non core,0.6451612903225806,3.2846715328467155,9,15
openstack/grenade,openstack/openstack-ansible-ops,Core,4.891304347826087,0.6756756756756757,10,9
openstack/grenade,openstack/openstack-ansible-ops,Non core,0.5434782608695652,2.364864864864865,10,9
openstack/grenade,openstack/openstack-ansible-os_sahara,Core,6.081081081081082,3.3333333333333335,10,17
openstack/grenade,openstack/openstack-ansible-os_sahara,Non core,0.6756756756756757,2.9629629629629632,10,17
openstack/grenade,openstack/python-glanceclient,Core,7.643312101910828,7.913669064748201,35,75
openstack/grenade,openstack/python-glanceclient,Non core,3.5031847133757963,5.575539568345324,35,75
openstack/grenade,openstack/charm-vault,Core,0.0,0.40816326530612246,0,6
openstack/grenade,openstack/charm-vault,Non core,0.0,2.0408163265306123,0,6
openstack/grenade,openstack/puppet-glance,Core,4.5662100456621,4.918032786885246,13,32
openstack/grenade,openstack/puppet-glance,Non core,1.36986301369863,3.825136612021858,13,32
openstack/grenade,openstack/ironic-tempest-plugin,Core,5.755395683453238,6.5891472868217065,12,26
openstack/grenade,openstack/ironic-tempest-plugin,Non core,2.877697841726619,3.488372093023256,12,26
openstack/grenade,openstack/oslo.utils,Core,10.0,10.632183908045976,26,58
openstack/grenade,openstack/oslo.utils,Non core,3.0,6.0344827586206895,26,58
openstack/grenade,openstack/charm-mysql-innodb-cluster,Core,0.7874015748031495,0.0,1,0
openstack/grenade,openstack/charm-mysql-innodb-cluster,Non core,0.0,0.0,1,0
openstack/grenade,openstack/charm-trilio-dm-api,Core,0.0,0.0,0,0
openstack/grenade,openstack/charm-trilio-dm-api,Non core,0.0,0.0,0,0
openstack/grenade,openstack/charm-cinder-lvm,Core,0.0,0.0,0,0
openstack/grenade,openstack/charm-cinder-lvm,Non core,0.0,0.0,0,0
openstack/grenade,openstack/cinder-tempest-plugin,Core,9.375,4.838709677419355,13,18
openstack/grenade,openstack/cinder-tempest-plugin,Non core,0.78125,2.4193548387096775,13,18
openstack/grenade,openstack/barbican-tempest-plugin,Core,7.518796992481203,7.392996108949417,12,31
openstack/grenade,openstack/barbican-tempest-plugin,Non core,1.5037593984962405,4.669260700389105,12,31
openstack/grenade,openstack/magnum-specs,Core,0.8695652173913043,1.6666666666666667,2,10
openstack/grenade,openstack/magnum-specs,Non core,0.8695652173913043,2.5,2,10
openstack/grenade,openstack/charm-interface-mysql-router,Core,0.0,0.0,0,0
openstack/grenade,openstack/charm-interface-mysql-router,Non core,0.0,0.0,0,0
openstack/grenade,openstack/venus,Core,0.7874015748031495,1.8181818181818181,2,8
openstack/grenade,openstack/venus,Non core,0.7874015748031495,1.8181818181818181,2,8
openstack/grenade,openstack/charm-neutron-api,Core,1.2903225806451613,1.5267175572519083,4,10
openstack/grenade,openstack/charm-neutron-api,Non core,1.2903225806451613,2.2900763358778624,4,10
openstack/grenade,openstack/tacker-specs,Core,2.5316455696202533,1.7804154302670623,5,17
openstack/grenade,openstack/tacker-specs,Non core,0.6329113924050633,3.2640949554896146,5,17
openstack/grenade,openstack/openstack-ansible-galera_server,Core,5.294117647058823,1.694915254237288,10,18
openstack/grenade,openstack/openstack-ansible-galera_server,Non core,0.5882352941176471,4.406779661016949,10,18
openstack/grenade,openstack/puppet-openstack_spec_helper,Core,5.511811023622047,4.382470119521913,9,19
openstack/grenade,openstack/puppet-openstack_spec_helper,Non core,1.574803149606299,3.187250996015936,9,19
openstack/grenade,openstack/trove-dashboard,Core,8.108108108108109,6.101694915254238,13,30
openstack/grenade,openstack/trove-dashboard,Non core,0.6756756756756757,4.067796610169491,13,30
openstack/grenade,openstack/pyeclib,Core,2.608695652173913,1.3215859030837005,3,4
openstack/grenade,openstack/pyeclib,Non core,0.0,0.4405286343612335,3,4
openstack/grenade,openstack/neutron-vpnaas,Core,7.239819004524888,8.5,19,64
openstack/grenade,openstack/neutron-vpnaas,Non core,1.3574660633484164,7.5,19,64
openstack/grenade,openstack/charm-designate,Core,1.4814814814814816,1.2875536480686696,3,10
openstack/grenade,openstack/charm-designate,Non core,0.7407407407407408,3.004291845493562,3,10
openstack/grenade,openstack/neutron-lbaas,Core,7.581227436823104,8.55397148676171,25,71
openstack/grenade,openstack/neutron-lbaas,Non core,1.444043321299639,5.906313645621181,25,71
openstack/grenade,openstack/oslo.privsep,Core,8.609271523178808,8.646616541353383,15,35
openstack/grenade,openstack/oslo.privsep,Non core,1.3245033112582782,4.511278195488721,15,35
openstack/grenade,openstack/charm-glance,Core,1.3245033112582782,1.639344262295082,3,9
openstack/grenade,openstack/charm-glance,Non core,0.6622516556291391,2.0491803278688523,3,9
openstack/grenade,openstack/charm-ceph-mon,Core,1.2658227848101267,1.1811023622047243,4,8
openstack/grenade,openstack/charm-ceph-mon,Non core,1.2658227848101267,1.968503937007874,4,8
openstack/grenade,openstack/vitrage,Core,5.213270142180095,4.273504273504273,13,25
openstack/grenade,openstack/vitrage,Non core,0.9478672985781991,2.849002849002849,13,25
openstack/grenade,openstack/puppet-murano,Core,5.555555555555555,2.214022140221402,12,17
