projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/heat-agents,openstack/oslo.rootwrap,Core,6.730769230769231,4.736842105263158,9,17
openstack/heat-agents,openstack/oslo.rootwrap,Non core,1.9230769230769231,4.2105263157894735,9,17
openstack/heat-agents,openstack/automaton,Core,2.857142857142857,4.132231404958678,2,12
openstack/heat-agents,openstack/automaton,Non core,0.0,5.785123966942149,2,12
openstack/heat-agents,openstack/debtcollector,Core,6.41025641025641,4.918032786885246,6,10
openstack/heat-agents,openstack/debtcollector,Non core,1.282051282051282,3.278688524590164,6,10
openstack/heat-agents,openstack/vitrage-dashboard,Core,4.9504950495049505,5.47945205479452,6,12
openstack/heat-agents,openstack/vitrage-dashboard,Non core,0.9900990099009901,2.73972602739726,6,12
openstack/heat-agents,openstack/oslotest,Core,7.526881720430108,6.289308176100629,8,19
openstack/heat-agents,openstack/oslotest,Non core,1.0752688172043012,5.660377358490567,8,19
openstack/heat-agents,openstack/kayobe-config,Core,4.166666666666666,1.0416666666666665,3,1
openstack/heat-agents,openstack/kayobe-config,Non core,2.083333333333333,0.0,3,1
openstack/heat-agents,openstack/compute-hyperv,Core,4.285714285714286,3.3333333333333335,4,10
openstack/heat-agents,openstack/compute-hyperv,Non core,1.4285714285714286,5.0,4,10
openstack/heat-agents,openstack/python-cloudkittyclient,Core,4.166666666666666,8.02919708029197,6,23
openstack/heat-agents,openstack/python-cloudkittyclient,Non core,2.083333333333333,8.75912408759124,6,23
openstack/heat-agents,openstack/charm-interface-keystone,Core,3.8461538461538463,1.0,3,6
openstack/heat-agents,openstack/charm-interface-keystone,Non core,1.9230769230769231,5.0,3,6
openstack/heat-agents,openstack/cloudkitty-dashboard,Core,7.4074074074074066,6.25,6,22
openstack/heat-agents,openstack/cloudkitty-dashboard,Non core,0.0,9.027777777777777,6,22
openstack/heat-agents,openstack/networking-hyperv,Core,4.545454545454546,2.272727272727273,5,9
openstack/heat-agents,openstack/networking-hyperv,Non core,1.1363636363636365,4.545454545454546,5,9
openstack/heat-agents,openstack/i18n,Core,5.063291139240507,2.6490066225165565,4,9
openstack/heat-agents,openstack/i18n,Non core,0.0,3.3112582781456954,4,9
openstack/heat-agents,openstack/sahara-tests,Core,5.405405405405405,5.555555555555555,5,12
openstack/heat-agents,openstack/sahara-tests,Non core,1.3513513513513513,2.7777777777777777,5,12
openstack/heat-agents,openstack/python-zunclient,Core,3.389830508474576,3.977272727272727,6,17
openstack/heat-agents,openstack/python-zunclient,Non core,1.694915254237288,5.681818181818182,6,17
openstack/heat-agents,openstack/sahara-plugin-cdh,Core,4.0,5.05050505050505,3,12
openstack/heat-agents,openstack/sahara-plugin-cdh,Non core,2.0,7.07070707070707,3,12
openstack/heat-agents,openstack/monasca-ui,Core,5.454545454545454,2.450980392156863,7,16
openstack/heat-agents,openstack/monasca-ui,Non core,0.9090909090909091,5.392156862745098,7,16
openstack/heat-agents,openstack/python-adjutantclient,Core,6.122448979591836,4.25531914893617,3,8
openstack/heat-agents,openstack/python-adjutantclient,Non core,0.0,4.25531914893617,3,8
openstack/heat-agents,openstack/charm-ceph-nfs,Core,0.0,0.0,0,0
openstack/heat-agents,openstack/charm-ceph-nfs,Non core,0.0,0.0,0,0
openstack/heat-agents,openstack/ansible-role-lunasa-hsm,Core,2.4390243902439024,1.0869565217391304,1,2
openstack/heat-agents,openstack/ansible-role-lunasa-hsm,Non core,0.0,1.0869565217391304,1,2
openstack/heat-agents,openstack/monasca-thresh,Core,3.0303030303030303,0.7575757575757576,2,3
openstack/heat-agents,openstack/monasca-thresh,Non core,0.0,1.5151515151515151,2,3
openstack/heat-agents,openstack/heat-specs,Core,10.204081632653061,5.6000000000000005,13,23
openstack/heat-agents,openstack/heat-specs,Non core,3.061224489795918,3.5999999999999996,13,23
openstack/heat-agents,openstack/watcher-dashboard,Core,6.024096385542169,3.4722222222222223,7,12
openstack/heat-agents,openstack/watcher-dashboard,Non core,2.4096385542168677,4.861111111111112,7,12
openstack/heat-agents,openstack/sahara-plugin-ambari,Core,4.166666666666666,3.1578947368421053,4,9
openstack/heat-agents,openstack/sahara-plugin-ambari,Non core,4.166666666666666,6.315789473684211,4,9
openstack/heat-agents,openstack/sahara-plugin-mapr,Core,4.166666666666666,5.208333333333334,3,13
openstack/heat-agents,openstack/sahara-plugin-mapr,Non core,2.083333333333333,8.333333333333332,3,13
openstack/heat-agents,openstack/sahara-plugin-spark,Core,4.25531914893617,3.225806451612903,3,6
openstack/heat-agents,openstack/sahara-plugin-spark,Non core,2.127659574468085,3.225806451612903,3,6
openstack/heat-agents,openstack/sahara-plugin-storm,Core,4.25531914893617,3.225806451612903,3,7
openstack/heat-agents,openstack/sahara-plugin-storm,Non core,2.127659574468085,4.301075268817205,3,7
openstack/heat-agents,openstack/sahara-plugin-vanilla,Core,4.25531914893617,3.1914893617021276,3,8
openstack/heat-agents,openstack/sahara-plugin-vanilla,Non core,2.127659574468085,5.319148936170213,3,8
openstack/heat-agents,openstack/sahara-specs,Core,3.4090909090909087,1.257861635220126,3,3
openstack/heat-agents,openstack/sahara-specs,Non core,0.0,0.628930817610063,3,3
openstack/heat-agents,openstack/venus-tempest-plugin,Core,0.0,1.0638297872340425,0,1
openstack/heat-agents,openstack/venus-tempest-plugin,Non core,0.0,0.0,0,1
openstack/heat-agents,openstack/venus-specs,Core,0.0,0.0,0,0
openstack/heat-agents,openstack/venus-specs,Non core,0.0,0.0,0,0
openstack/heat-agents,openstack/ceilometermiddleware,Core,6.8493150684931505,3.3112582781456954,7,12
openstack/heat-agents,openstack/ceilometermiddleware,Non core,2.73972602739726,4.635761589403973,7,12
openstack/heat-agents,openstack/trove-tempest-plugin,Core,5.88235294117647,2.6548672566371683,3,6
openstack/heat-agents,openstack/trove-tempest-plugin,Non core,0.0,2.6548672566371683,3,6
openstack/heat-agents,openstack/arch-design,Core,4.3478260869565215,2.1739130434782608,2,3
openstack/heat-agents,openstack/arch-design,Non core,0.0,1.0869565217391304,2,3
openstack/heat-agents,openstack/monasca-common,Core,4.62962962962963,3.314917127071823,7,16
openstack/heat-agents,openstack/monasca-common,Non core,1.8518518518518516,5.524861878453039,7,16
openstack/heat-agents,openstack/monasca-statsd,Core,5.405405405405405,2.2058823529411766,6,10
openstack/heat-agents,openstack/monasca-statsd,Non core,2.7027027027027026,5.147058823529411,6,10
openstack/heat-agents,openstack/python-monascaclient,Core,4.878048780487805,3.125,6,15
openstack/heat-agents,openstack/python-monascaclient,Non core,0.0,4.6875,6,15
openstack/heat-agents,openstack/renderspec,Core,6.779661016949152,4.672897196261682,5,10
openstack/heat-agents,openstack/renderspec,Non core,1.694915254237288,4.672897196261682,5,10
openstack/heat-agents,openstack/os-service-types,Core,5.084745762711865,5.405405405405405,3,13
openstack/heat-agents,openstack/os-service-types,Non core,0.0,6.306306306306306,3,13
