projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/heat-translator,openstack/tosca-parser,Core,19.130434782608695,20.28985507246377,39,53
openstack/heat-translator,openstack/tosca-parser,Non core,14.782608695652174,18.115942028985508,39,53
openstack/heat-translator,openstack/tacker-horizon,Core,10.483870967741936,10.650887573964498,17,36
openstack/heat-translator,openstack/tacker-horizon,Non core,3.225806451612903,10.650887573964498,17,36
openstack/heat-translator,openstack/ironic-python-agent-builder,Core,1.6260162601626018,3.0120481927710845,5,11
openstack/heat-translator,openstack/ironic-python-agent-builder,Non core,2.4390243902439024,3.614457831325301,5,11
openstack/heat-translator,openstack/ansible-role-systemd_networkd,Core,2.7777777777777777,1.4388489208633095,5,3
openstack/heat-translator,openstack/ansible-role-systemd_networkd,Non core,1.8518518518518516,0.7194244604316548,5,3
openstack/heat-translator,openstack/ansible-role-systemd_service,Core,2.7027027027027026,0.7194244604316548,4,2
openstack/heat-translator,openstack/ansible-role-systemd_service,Non core,0.9009009009009009,0.7194244604316548,4,2
openstack/heat-translator,openstack/openstack-ansible-os_keystone,Core,2.923976608187134,1.8018018018018018,13,13
openstack/heat-translator,openstack/openstack-ansible-os_keystone,Non core,4.678362573099415,4.054054054054054,13,13
openstack/heat-translator,openstack/ansible-role-chrony,Core,3.0303030303030303,2.3255813953488373,5,3
openstack/heat-translator,openstack/ansible-role-chrony,Non core,2.0202020202020203,0.0,5,3
openstack/heat-translator,openstack/cloudkitty-tempest-plugin,Core,2.8301886792452833,2.9850746268656714,6,7
openstack/heat-translator,openstack/cloudkitty-tempest-plugin,Non core,2.8301886792452833,2.2388059701492535,6,7
openstack/heat-translator,openstack/oslo.config,Core,5.439330543933055,4.43864229765013,23,34
openstack/heat-translator,openstack/oslo.config,Non core,4.184100418410042,4.43864229765013,23,34
openstack/heat-translator,openstack/senlin-tempest-plugin,Core,3.8095238095238098,3.546099290780142,8,7
openstack/heat-translator,openstack/senlin-tempest-plugin,Non core,3.8095238095238098,1.4184397163120568,8,7
openstack/heat-translator,openstack/heat-tempest-plugin,Core,3.6363636363636362,9.285714285714286,5,15
openstack/heat-translator,openstack/heat-tempest-plugin,Non core,0.9090909090909091,1.4285714285714286,5,15
openstack/heat-translator,openstack/freezer-tempest-plugin,Core,3.8461538461538463,3.0303030303030303,8,8
openstack/heat-translator,openstack/freezer-tempest-plugin,Non core,3.8461538461538463,3.0303030303030303,8,8
openstack/heat-translator,openstack/monasca-tempest-plugin,Core,3.571428571428571,2.054794520547945,8,4
openstack/heat-translator,openstack/monasca-tempest-plugin,Non core,3.571428571428571,0.684931506849315,8,4
openstack/heat-translator,openstack/stackviz,Core,5.405405405405405,4.25531914893617,11,10
openstack/heat-translator,openstack/stackviz,Non core,4.504504504504505,2.8368794326241136,11,10
openstack/heat-translator,openstack/kayobe-config-dev,Core,2.0618556701030926,1.6,4,3
openstack/heat-translator,openstack/kayobe-config-dev,Non core,2.0618556701030926,0.8,4,3
openstack/heat-translator,openstack/pbr,Core,4.41988950276243,4.395604395604396,15,19
openstack/heat-translator,openstack/pbr,Non core,3.867403314917127,2.564102564102564,15,19
openstack/heat-translator,openstack/oslo.cache,Core,7.801418439716312,4.761904761904762,20,24
openstack/heat-translator,openstack/oslo.cache,Non core,6.382978723404255,5.627705627705628,20,24
openstack/heat-translator,openstack/charm-ceph-rbd-mirror,Core,0.9523809523809524,0.7751937984496124,2,2
openstack/heat-translator,openstack/charm-ceph-rbd-mirror,Non core,0.9523809523809524,0.7751937984496124,2,2
openstack/heat-translator,openstack/ansible-config_template,Core,2.631578947368421,1.257861635220126,7,4
openstack/heat-translator,openstack/ansible-config_template,Non core,3.508771929824561,1.257861635220126,7,4
openstack/heat-translator,openstack/designate-dashboard,Core,6.474820143884892,3.5000000000000004,14,19
openstack/heat-translator,openstack/designate-dashboard,Non core,3.597122302158273,6.0,14,19
openstack/heat-translator,openstack/charm-interface-cinder-backend,Core,1.0526315789473684,0.847457627118644,1,1
openstack/heat-translator,openstack/charm-interface-cinder-backend,Non core,0.0,0.0,1,1
openstack/heat-translator,openstack/cyborg-specs,Core,1.8181818181818181,1.8867924528301887,4,7
openstack/heat-translator,openstack/cyborg-specs,Non core,1.8181818181818181,2.515723270440252,4,7
openstack/heat-translator,openstack/python-mistralclient,Core,7.142857142857142,4.417670682730924,21,25
openstack/heat-translator,openstack/python-mistralclient,Non core,4.395604395604396,5.622489959839357,21,25
openstack/heat-translator,openstack/ha-guide,Core,2.898550724637681,1.4354066985645932,9,11
openstack/heat-translator,openstack/ha-guide,Non core,3.6231884057971016,3.827751196172249,9,11
openstack/heat-translator,openstack/watcher,Core,4.4534412955465585,2.848101265822785,19,27
openstack/heat-translator,openstack/watcher,Non core,3.2388663967611335,5.69620253164557,19,27
openstack/heat-translator,openstack/openstack-ansible-os_cloudkitty,Core,3.937007874015748,2.5806451612903225,12,11
openstack/heat-translator,openstack/openstack-ansible-os_cloudkitty,Non core,5.511811023622047,4.516129032258064,12,11
openstack/heat-translator,openstack/openstack-ansible-os_cinder,Core,2.2598870056497176,1.8018018018018018,9,14
openstack/heat-translator,openstack/openstack-ansible-os_cinder,Non core,2.824858757062147,4.504504504504505,9,14
openstack/heat-translator,openstack/openstack-health,Core,5.64516129032258,3.2085561497326207,11,13
openstack/heat-translator,openstack/openstack-health,Non core,3.225806451612903,3.7433155080213902,11,13
openstack/heat-translator,openstack/openstack-ansible-os_swift,Core,3.7037037037037033,2.0100502512562812,11,10
openstack/heat-translator,openstack/openstack-ansible-os_swift,Non core,3.0864197530864197,3.015075376884422,11,10
openstack/heat-translator,openstack/masakari-specs,Core,3.7735849056603774,4.929577464788732,6,11
