projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/keystone-tempest-plugin,openstack/python-barbicanclient,Core,3.3057851239669422,6.565656565656567,8,24
openstack/keystone-tempest-plugin,openstack/python-barbicanclient,Non core,3.3057851239669422,5.555555555555555,8,24
openstack/keystone-tempest-plugin,openstack/openstack-ansible-os_ironic,Core,3.3333333333333335,2.8368794326241136,5,9
openstack/keystone-tempest-plugin,openstack/openstack-ansible-os_ironic,Non core,2.2222222222222223,3.546099290780142,5,9
openstack/keystone-tempest-plugin,openstack/charm-trilio-wlm,Core,0.0,0.0,0,0
openstack/keystone-tempest-plugin,openstack/charm-trilio-wlm,Non core,0.0,0.0,0,0
openstack/keystone-tempest-plugin,openstack/charm-trilio-horizon-plugin,Core,0.0,0.0,0,0
openstack/keystone-tempest-plugin,openstack/charm-trilio-horizon-plugin,Non core,0.0,0.0,0,0
openstack/keystone-tempest-plugin,openstack/openstack-ansible-os_barbican,Core,5.633802816901409,4.23728813559322,6,11
openstack/keystone-tempest-plugin,openstack/openstack-ansible-os_barbican,Non core,2.8169014084507045,5.084745762711865,6,11
openstack/keystone-tempest-plugin,openstack/skyline-apiserver,Core,0.0,0.0,0,0
openstack/keystone-tempest-plugin,openstack/skyline-apiserver,Non core,0.0,0.0,0,0
openstack/keystone-tempest-plugin,openstack/oslo.policy,Core,5.172413793103448,7.8817733990147785,8,32
openstack/keystone-tempest-plugin,openstack/oslo.policy,Non core,1.7241379310344827,7.8817733990147785,8,32
openstack/keystone-tempest-plugin,openstack/openstack-ansible-tests,Core,3.3707865168539324,3.3557046979865772,5,11
openstack/keystone-tempest-plugin,openstack/openstack-ansible-tests,Non core,2.247191011235955,4.026845637583892,5,11
openstack/keystone-tempest-plugin,openstack/openstack-ansible-os_rally,Core,4.761904761904762,2.727272727272727,5,9
openstack/keystone-tempest-plugin,openstack/openstack-ansible-os_rally,Non core,3.1746031746031744,5.454545454545454,5,9
openstack/keystone-tempest-plugin,openstack/openstack-ansible-rabbitmq_server,Core,3.9473684210526314,2.272727272727273,5,10
openstack/keystone-tempest-plugin,openstack/openstack-ansible-rabbitmq_server,Non core,2.631578947368421,5.303030303030303,5,10
openstack/keystone-tempest-plugin,openstack/openstack-ansible-os_horizon,Core,2.727272727272727,3.067484662576687,7,10
openstack/keystone-tempest-plugin,openstack/openstack-ansible-os_horizon,Non core,3.6363636363636362,3.067484662576687,7,10
openstack/keystone-tempest-plugin,openstack/heat-dashboard,Core,5.555555555555555,5.607476635514018,6,14
openstack/keystone-tempest-plugin,openstack/heat-dashboard,Non core,5.555555555555555,7.476635514018691,6,14
openstack/keystone-tempest-plugin,openstack/oslo.log,Core,3.6231884057971016,4.661016949152542,8,20
openstack/keystone-tempest-plugin,openstack/oslo.log,Non core,2.1739130434782608,3.8135593220338984,8,20
openstack/keystone-tempest-plugin,openstack/charm-ceph-dashboard,Core,0.0,0.0,0,0
openstack/keystone-tempest-plugin,openstack/charm-ceph-dashboard,Non core,0.0,0.0,0,0
openstack/keystone-tempest-plugin,openstack/openstack-ansible-lxc_container_create,Core,4.0,2.4,6,9
