projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/keystoneauth,openstack/openstack-ansible-haproxy_server,Core,3.314917127071823,2.3255813953488373,9,17
openstack/keystoneauth,openstack/openstack-ansible-haproxy_server,Non core,1.6574585635359116,4.263565891472868,9,17
openstack/keystoneauth,openstack/grenade,Core,9.090909090909092,11.396011396011396,21,57
openstack/keystoneauth,openstack/grenade,Non core,0.9569377990430622,4.843304843304843,21,57
openstack/keystoneauth,openstack/networking-midonet,Core,6.217616580310881,6.489675516224189,20,45
openstack/keystoneauth,openstack/networking-midonet,Non core,4.145077720207254,6.784660766961652,20,45
openstack/keystoneauth,openstack/python-ironicclient,Core,7.865168539325842,8.91566265060241,33,71
openstack/keystoneauth,openstack/python-ironicclient,Non core,4.49438202247191,8.19277108433735,33,71
openstack/keystoneauth,openstack/oslo.messaging,Core,6.079027355623101,8.0,32,73
openstack/keystoneauth,openstack/oslo.messaging,Non core,3.64741641337386,6.6000000000000005,32,73
openstack/keystoneauth,openstack/tripleo-docs,Core,5.5762081784386615,5.8558558558558556,23,47
openstack/keystoneauth,openstack/tripleo-docs,Non core,2.973977695167286,4.72972972972973,23,47
openstack/keystoneauth,openstack/magnum,Core,5.476190476190476,6.998444790046657,38,90
openstack/keystoneauth,openstack/magnum,Non core,3.571428571428571,6.998444790046657,38,90
openstack/keystoneauth,openstack/diskimage-builder,Core,5.764411027568922,5.799373040752351,38,69
openstack/keystoneauth,openstack/diskimage-builder,Non core,3.7593984962406015,5.015673981191222,38,69
openstack/keystoneauth,openstack/masakari,Core,6.091370558375635,8.51063829787234,18,43
openstack/keystoneauth,openstack/masakari,Non core,3.0456852791878175,6.73758865248227,18,43
openstack/keystoneauth,openstack/python-venusclient,Core,0.0,0.9569377990430622,1,4
openstack/keystoneauth,openstack/python-venusclient,Non core,0.7352941176470588,0.9569377990430622,1,4
openstack/keystoneauth,openstack/ansible-role-container-registry,Core,3.4013605442176873,2.9535864978902953,6,14
openstack/keystoneauth,openstack/ansible-role-container-registry,Non core,0.6802721088435374,2.9535864978902953,6,14
openstack/keystoneauth,openstack/puppet-ovn,Core,4.57516339869281,1.25,10,14
openstack/keystoneauth,openstack/puppet-ovn,Non core,1.9607843137254901,4.583333333333333,10,14
openstack/keystoneauth,openstack/charm-rabbitmq-server,Core,0.5952380952380952,1.2345679012345678,5,11
openstack/keystoneauth,openstack/charm-rabbitmq-server,Non core,2.380952380952381,3.292181069958848,5,11
openstack/keystoneauth,openstack/senlin,Core,5.776173285198556,5.46448087431694,27,55
openstack/keystoneauth,openstack/senlin,Non core,3.9711191335740073,9.562841530054644,27,55
openstack/keystoneauth,openstack/python-designateclient,Core,7.142857142857142,4.929577464788732,27,37
openstack/keystoneauth,openstack/python-designateclient,Non core,6.63265306122449,8.098591549295776,27,37
openstack/keystoneauth,openstack/puppet-horizon,Core,4.845814977973569,2.6865671641791042,17,25
openstack/keystoneauth,openstack/puppet-horizon,Non core,2.643171806167401,4.776119402985075,17,25
openstack/keystoneauth,openstack/openstack-ansible-lxc_hosts,Core,3.225806451612903,3.942652329749104,9,25
openstack/keystoneauth,openstack/openstack-ansible-lxc_hosts,Non core,1.6129032258064515,5.017921146953405,9,25
openstack/keystoneauth,openstack/keystone-tempest-plugin,Core,6.61764705882353,7.834101382488479,11,36
openstack/keystoneauth,openstack/keystone-tempest-plugin,Non core,1.4705882352941175,8.755760368663594,11,36
openstack/keystoneauth,openstack/python-barbicanclient,Core,6.280193236714976,8.360128617363344,29,60
openstack/keystoneauth,openstack/python-barbicanclient,Non core,7.729468599033816,10.932475884244374,29,60
openstack/keystoneauth,openstack/openstack-ansible-os_ironic,Core,3.7037037037037033,4.850746268656716,13,31
openstack/keystoneauth,openstack/openstack-ansible-os_ironic,Non core,3.1746031746031744,6.7164179104477615,13,31
openstack/keystoneauth,openstack/charm-trilio-wlm,Core,0.0,0.0,1,1
openstack/keystoneauth,openstack/charm-trilio-wlm,Non core,0.7462686567164178,0.47393364928909953,1,1
openstack/keystoneauth,openstack/charm-trilio-horizon-plugin,Core,0.0,0.0,1,1
openstack/keystoneauth,openstack/charm-trilio-horizon-plugin,Non core,0.7462686567164178,0.4761904761904762,1,1
openstack/keystoneauth,openstack/openstack-ansible-os_barbican,Core,4.651162790697675,4.435483870967742,12,30
openstack/keystoneauth,openstack/openstack-ansible-os_barbican,Non core,2.3255813953488373,7.661290322580645,12,30
openstack/keystoneauth,openstack/skyline-apiserver,Core,0.0,0.0,0,2
openstack/keystoneauth,openstack/skyline-apiserver,Non core,0.0,0.9090909090909091,0,2
openstack/keystoneauth,openstack/oslo.policy,Core,10.0,13.398692810457517,31,78
openstack/keystoneauth,openstack/oslo.policy,Non core,5.5,12.091503267973856,31,78
openstack/keystoneauth,openstack/openstack-ansible-tests,Core,3.1746031746031744,4.964539007092199,12,27
openstack/keystoneauth,openstack/openstack-ansible-tests,Non core,3.1746031746031744,4.609929078014184,12,27
openstack/keystoneauth,openstack/openstack-ansible-os_rally,Core,3.614457831325301,3.2520325203252036,9,22
openstack/keystoneauth,openstack/openstack-ansible-os_rally,Non core,1.8072289156626504,5.691056910569105,9,22
openstack/keystoneauth,openstack/openstack-ansible-rabbitmq_server,Core,3.954802259887006,3.4220532319391634,11,28
openstack/keystoneauth,openstack/openstack-ansible-rabbitmq_server,Non core,2.2598870056497176,7.224334600760455,11,28
openstack/keystoneauth,openstack/openstack-ansible-os_horizon,Core,3.755868544600939,4.081632653061225,11,28
openstack/keystoneauth,openstack/openstack-ansible-os_horizon,Non core,1.4084507042253522,5.442176870748299,11,28
openstack/keystoneauth,openstack/heat-dashboard,Core,5.161290322580645,7.563025210084033,12,32
openstack/keystoneauth,openstack/heat-dashboard,Non core,2.5806451612903225,5.88235294117647,12,32
openstack/keystoneauth,openstack/oslo.log,Core,12.844036697247708,9.495548961424333,35,68
openstack/keystoneauth,openstack/oslo.log,Non core,3.211009174311927,10.682492581602373,35,68
openstack/keystoneauth,openstack/charm-ceph-dashboard,Core,0.0,0.0,1,1
openstack/keystoneauth,openstack/charm-ceph-dashboard,Non core,0.7299270072992701,0.47393364928909953,1,1
openstack/keystoneauth,openstack/openstack-ansible-lxc_container_create,Core,3.3707865168539324,3.4615384615384617,10,23
openstack/keystoneauth,openstack/openstack-ansible-lxc_container_create,Non core,2.247191011235955,5.384615384615385,10,23
openstack/keystoneauth,openstack/openstack-ansible-ops,Core,3.8834951456310676,2.142857142857143,12,19
openstack/keystoneauth,openstack/openstack-ansible-ops,Non core,1.9417475728155338,4.642857142857143,12,19
openstack/keystoneauth,openstack/openstack-ansible-os_sahara,Core,3.4482758620689653,3.937007874015748,8,27
openstack/keystoneauth,openstack/openstack-ansible-os_sahara,Non core,1.1494252873563218,6.692913385826772,8,27
openstack/keystoneauth,openstack/python-glanceclient,Core,6.824925816023739,8.768656716417912,36,89
openstack/keystoneauth,openstack/python-glanceclient,Non core,3.857566765578635,7.835820895522389,36,89
openstack/keystoneauth,openstack/charm-vault,Core,0.0,0.41841004184100417,2,6
openstack/keystoneauth,openstack/charm-vault,Non core,1.2195121951219512,2.092050209205021,2,6
openstack/keystoneauth,openstack/puppet-glance,Core,3.71900826446281,3.8781163434903045,14,31
openstack/keystoneauth,openstack/puppet-glance,Non core,2.066115702479339,4.7091412742382275,14,31
openstack/keystoneauth,openstack/ironic-tempest-plugin,Core,5.521472392638037,6.4,12,28
openstack/keystoneauth,openstack/ironic-tempest-plugin,Non core,1.8404907975460123,4.8,12,28
openstack/keystoneauth,openstack/oslo.utils,Core,8.035714285714286,10.385756676557865,26,63
openstack/keystoneauth,openstack/oslo.utils,Non core,3.571428571428571,8.30860534124629,26,63
openstack/keystoneauth,openstack/charm-mysql-innodb-cluster,Core,0.6666666666666667,0.0,2,1
openstack/keystoneauth,openstack/charm-mysql-innodb-cluster,Non core,0.6666666666666667,0.45871559633027525,2,1
openstack/keystoneauth,openstack/charm-trilio-dm-api,Core,0.0,0.0,1,1
openstack/keystoneauth,openstack/charm-trilio-dm-api,Non core,0.7462686567164178,0.4761904761904762,1,1
openstack/keystoneauth,openstack/charm-cinder-lvm,Core,0.0,0.0,1,1
openstack/keystoneauth,openstack/charm-cinder-lvm,Non core,0.7575757575757576,0.4761904761904762,1,1
openstack/keystoneauth,openstack/cinder-tempest-plugin,Core,4.45859872611465,3.6290322580645165,8,12
openstack/keystoneauth,openstack/cinder-tempest-plugin,Non core,0.6369426751592357,1.2096774193548387,8,12
openstack/keystoneauth,openstack/barbican-tempest-plugin,Core,5.031446540880504,4.247104247104247,10,23
openstack/keystoneauth,openstack/barbican-tempest-plugin,Non core,1.257861635220126,4.633204633204633,10,23
openstack/keystoneauth,openstack/magnum-specs,Core,0.7194244604316548,2.1459227467811157,2,11
openstack/keystoneauth,openstack/magnum-specs,Non core,0.7194244604316548,2.575107296137339,2,11
openstack/keystoneauth,openstack/charm-interface-mysql-router,Core,0.0,0.0,0,0
openstack/keystoneauth,openstack/charm-interface-mysql-router,Non core,0.0,0.0,0,0
openstack/keystoneauth,openstack/venus,Core,0.6666666666666667,0.9216589861751152,3,5
openstack/keystoneauth,openstack/venus,Non core,1.3333333333333335,1.3824884792626728,3,5
openstack/keystoneauth,openstack/charm-neutron-api,Core,0.5617977528089888,1.5686274509803921,5,11
openstack/keystoneauth,openstack/charm-neutron-api,Non core,2.247191011235955,2.7450980392156863,5,11
openstack/keystoneauth,openstack/tacker-specs,Core,1.6574585635359116,4.012345679012346,6,24
openstack/keystoneauth,openstack/tacker-specs,Non core,1.6574585635359116,3.3950617283950617,6,24
openstack/keystoneauth,openstack/openstack-ansible-galera_server,Core,4.145077720207254,3.571428571428571,11,27
openstack/keystoneauth,openstack/openstack-ansible-galera_server,Non core,1.5544041450777202,6.071428571428571,11,27
openstack/keystoneauth,openstack/puppet-openstack_spec_helper,Core,4.57516339869281,3.6734693877551026,7,19
openstack/keystoneauth,openstack/puppet-openstack_spec_helper,Non core,0.0,4.081632653061225,7,19
openstack/keystoneauth,openstack/trove-dashboard,Core,4.069767441860465,5.614035087719298,13,34
openstack/keystoneauth,openstack/trove-dashboard,Non core,3.488372093023256,6.315789473684211,13,34
openstack/keystoneauth,openstack/pyeclib,Core,2.1739130434782608,0.9009009009009009,4,3
openstack/keystoneauth,openstack/pyeclib,Non core,0.7246376811594203,0.45045045045045046,4,3
openstack/keystoneauth,openstack/neutron-vpnaas,Core,5.88235294117647,5.9405940594059405,26,54
openstack/keystoneauth,openstack/neutron-vpnaas,Non core,5.042016806722689,7.425742574257425,26,54
openstack/keystoneauth,openstack/charm-designate,Core,1.89873417721519,1.3100436681222707,4,8
openstack/keystoneauth,openstack/charm-designate,Non core,0.6329113924050633,2.1834061135371177,4,8
openstack/keystoneauth,openstack/neutron-lbaas,Core,6.0200668896321075,5.36779324055666,27,53
openstack/keystoneauth,openstack/neutron-lbaas,Non core,3.0100334448160537,5.168986083499006,27,53
openstack/keystoneauth,openstack/oslo.privsep,Core,7.647058823529412,9.411764705882353,20,40
openstack/keystoneauth,openstack/oslo.privsep,Non core,4.117647058823529,6.2745098039215685,20,40
openstack/keystoneauth,openstack/charm-glance,Core,0.5747126436781609,2.127659574468085,4,12
openstack/keystoneauth,openstack/charm-glance,Non core,1.7241379310344827,2.9787234042553195,4,12
openstack/keystoneauth,openstack/charm-ceph-mon,Core,0.5494505494505495,1.2195121951219512,4,10
openstack/keystoneauth,openstack/charm-ceph-mon,Non core,1.6483516483516485,2.8455284552845526,4,10
openstack/keystoneauth,openstack/vitrage,Core,4.910714285714286,6.097560975609756,24,42
openstack/keystoneauth,openstack/vitrage,Non core,5.803571428571429,6.707317073170732,24,42
openstack/keystoneauth,openstack/puppet-murano,Core,4.142011834319527,2.7027027027027026,11,23
openstack/keystoneauth,openstack/puppet-murano,Non core,2.366863905325444,6.177606177606178,11,23
openstack/keystoneauth,openstack/networking-bagpipe,Core,5.421686746987952,6.415094339622642,16,33
openstack/keystoneauth,openstack/networking-bagpipe,Non core,4.216867469879518,6.037735849056604,16,33
openstack/keystoneauth,openstack/api-site,Core,5.555555555555555,7.6923076923076925,29,83
openstack/keystoneauth,openstack/api-site,Non core,1.7676767676767675,6.495726495726497,29,83
openstack/keystoneauth,openstack/charm-cinder-purestorage,Core,0.0,0.46511627906976744,1,2
openstack/keystoneauth,openstack/charm-cinder-purestorage,Non core,0.7142857142857143,0.46511627906976744,1,2
openstack/keystoneauth,openstack/python-magnumclient,Core,5.46218487394958,6.153846153846154,21,41
openstack/keystoneauth,openstack/python-magnumclient,Non core,3.361344537815126,6.461538461538462,21,41
openstack/keystoneauth,openstack/magnum-tempest-plugin,Core,3.4965034965034967,3.669724770642202,8,17
openstack/keystoneauth,openstack/magnum-tempest-plugin,Non core,2.097902097902098,4.128440366972478,8,17
openstack/keystoneauth,openstack/openstack-ansible-os_tempest,Core,4.245283018867925,4.901960784313726,12,36
openstack/keystoneauth,openstack/openstack-ansible-os_tempest,Non core,1.4150943396226416,6.862745098039216,12,36
openstack/keystoneauth,openstack/aodh,Core,6.122448979591836,6.395348837209303,26,48
openstack/keystoneauth,openstack/aodh,Non core,4.489795918367347,7.55813953488372,26,48
openstack/keystoneauth,openstack/operations-guide,Core,0.9009009009009009,5.182926829268292,4,31
openstack/keystoneauth,openstack/operations-guide,Non core,0.9009009009009009,4.2682926829268295,4,31
openstack/keystoneauth,openstack/contributor-guide,Core,5.031446540880504,7.916666666666666,11,31
openstack/keystoneauth,openstack/contributor-guide,Non core,1.8867924528301887,5.0,11,31
openstack/keystoneauth,openstack/charm-ceph-radosgw,Core,1.2195121951219512,1.3043478260869565,6,9
openstack/keystoneauth,openstack/charm-ceph-radosgw,Non core,2.4390243902439024,2.608695652173913,6,9
openstack/keystoneauth,openstack/python-aodhclient,Core,5.202312138728324,5.118110236220472,13,25
openstack/keystoneauth,openstack/python-aodhclient,Non core,2.312138728323699,4.724409448818897,13,25
openstack/keystoneauth,openstack/ec2-api,Core,6.857142857142858,6.504065040650407,23,32
openstack/keystoneauth,openstack/ec2-api,Non core,6.2857142857142865,6.504065040650407,23,32
openstack/keystoneauth,openstack/ec2api-tempest-plugin,Core,2.142857142857143,0.9389671361502347,7,3
openstack/keystoneauth,openstack/ec2api-tempest-plugin,Non core,2.857142857142857,0.4694835680751174,7,3
openstack/keystoneauth,openstack/openstack-manuals,Core,2.980769230769231,4.532374100719425,47,124
openstack/keystoneauth,openstack/openstack-manuals,Non core,1.5384615384615385,4.388489208633094,47,124
openstack/keystoneauth,openstack/security-doc,Core,4.296875,5.324074074074074,14,47
openstack/keystoneauth,openstack/security-doc,Non core,1.171875,5.555555555555555,14,47
openstack/keystoneauth,openstack/openstack-ansible-openstack_hosts,Core,3.684210526315789,3.3707865168539324,11,22
openstack/keystoneauth,openstack/openstack-ansible-openstack_hosts,Non core,2.1052631578947367,4.868913857677903,11,22
