projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/large-scale,openstack/neutron-fwaas,Core,1.2658227848101267,0.6172839506172839,2,2
openstack/large-scale,openstack/neutron-fwaas,Non core,0.0,0.0,2,2
openstack/large-scale,openstack/python-tackerclient,Core,0.9009009009009009,0.0,1,0
openstack/large-scale,openstack/python-tackerclient,Non core,0.0,0.0,1,0
openstack/large-scale,openstack/charm-cinder-nimblestorage,Core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-cinder-nimblestorage,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/metalsmith,Core,0.0,0.0,0,0
openstack/large-scale,openstack/metalsmith,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/openstack-ansible-os_murano,Core,0.0,0.0,0,0
openstack/large-scale,openstack/openstack-ansible-os_murano,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/kuryr-tempest-plugin,Core,0.0,0.0,0,0
openstack/large-scale,openstack/kuryr-tempest-plugin,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/networking-sfc,Core,0.0,0.0,0,0
openstack/large-scale,openstack/networking-sfc,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-cinder-three-par,Core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-cinder-three-par,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/cyborg-tempest-plugin,Core,0.0,0.0,0,0
openstack/large-scale,openstack/cyborg-tempest-plugin,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-ceph-iscsi,Core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-ceph-iscsi,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-cinder-solidfire,Core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-cinder-solidfire,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/puppet-qdr,Core,0.0,0.0,0,0
openstack/large-scale,openstack/puppet-qdr,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/vitrage-tempest-plugin,Core,0.0,0.0,0,0
openstack/large-scale,openstack/vitrage-tempest-plugin,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/tripleo-specs,Core,0.0,0.33333333333333337,0,1
openstack/large-scale,openstack/tripleo-specs,Non core,0.0,0.0,0,1
openstack/large-scale,openstack/charm-neutron-api-plugin-arista,Core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-neutron-api-plugin-arista,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-ceph-fs,Core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-ceph-fs,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/stevedore,Core,0.0,0.0,0,0
openstack/large-scale,openstack/stevedore,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-ceph-proxy,Core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-ceph-proxy,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-cloudkitty,Core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-cloudkitty,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-ops-openstack,Core,0.0,0.0,0,0
openstack/large-scale,openstack/charm-ops-openstack,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/zun-tempest-plugin,Core,0.0,0.0,0,0
openstack/large-scale,openstack/zun-tempest-plugin,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/storlets,Core,0.0,0.0,0,0
openstack/large-scale,openstack/storlets,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/training-guides,Core,0.0,1.5151515151515151,0,2
openstack/large-scale,openstack/training-guides,Non core,0.0,0.0,0,2
openstack/large-scale,openstack/openstack-ansible-plugins,Core,0.0,1.0752688172043012,0,1
openstack/large-scale,openstack/openstack-ansible-plugins,Non core,0.0,0.0,0,1
openstack/large-scale,openstack/python-muranoclient,Core,0.0,0.0,0,0
openstack/large-scale,openstack/python-muranoclient,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/solum-dashboard,Core,2.272727272727273,0.0,1,0
openstack/large-scale,openstack/solum-dashboard,Non core,0.0,0.0,1,0
openstack/large-scale,openstack/python-solumclient,Core,1.5384615384615385,0.0,1,0
openstack/large-scale,openstack/python-solumclient,Non core,0.0,0.0,1,0
openstack/large-scale,openstack/solum-tempest-plugin,Core,0.0,0.0,0,0
openstack/large-scale,openstack/solum-tempest-plugin,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/murano-tempest-plugin,Core,0.0,0.0,0,0
openstack/large-scale,openstack/murano-tempest-plugin,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/heat-translator,Core,0.0,0.0,0,0
openstack/large-scale,openstack/heat-translator,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/tosca-parser,Core,0.0,0.0,0,0
openstack/large-scale,openstack/tosca-parser,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/tacker-horizon,Core,1.8181818181818181,0.0,1,0
openstack/large-scale,openstack/tacker-horizon,Non core,0.0,0.0,1,0
openstack/large-scale,openstack/ironic-python-agent-builder,Core,0.0,0.0,0,0
openstack/large-scale,openstack/ironic-python-agent-builder,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/ansible-role-systemd_networkd,Core,0.0,2.857142857142857,0,1
openstack/large-scale,openstack/ansible-role-systemd_networkd,Non core,0.0,0.0,0,1
openstack/large-scale,openstack/ansible-role-systemd_service,Core,0.0,2.941176470588235,0,1
openstack/large-scale,openstack/ansible-role-systemd_service,Non core,0.0,0.0,0,1
openstack/large-scale,openstack/openstack-ansible-os_keystone,Core,0.0,0.78125,0,1
openstack/large-scale,openstack/openstack-ansible-os_keystone,Non core,0.0,0.0,0,1
openstack/large-scale,openstack/ansible-role-chrony,Core,0.0,0.0,0,0
openstack/large-scale,openstack/ansible-role-chrony,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/cloudkitty-tempest-plugin,Core,0.0,0.0,0,0
openstack/large-scale,openstack/cloudkitty-tempest-plugin,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/oslo.config,Core,0.0,0.6472491909385114,0,2
openstack/large-scale,openstack/oslo.config,Non core,0.0,0.0,0,2
openstack/large-scale,openstack/senlin-tempest-plugin,Core,0.0,0.0,0,0
openstack/large-scale,openstack/senlin-tempest-plugin,Non core,0.0,0.0,0,0
openstack/large-scale,openstack/heat-tempest-plugin,Core,0.0,0.0,0,0
