projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/loci,openstack/devstack-plugin-ceph,Core,1.1363636363636365,2.9940119760479043,1,7
openstack/loci,openstack/devstack-plugin-ceph,Non core,0.0,1.1976047904191618,1,7
openstack/loci,openstack/charm-guide,Core,0.0,0.0,1,3
openstack/loci,openstack/charm-guide,Non core,0.9803921568627451,2.3622047244094486,1,3
openstack/loci,openstack/openstack-zuul-jobs,Core,3.783783783783784,6.148867313915858,8,29
openstack/loci,openstack/openstack-zuul-jobs,Non core,0.5405405405405406,3.2362459546925564,8,29
openstack/loci,openstack/os-traits,Core,1.1764705882352942,0.6622516556291391,1,4
openstack/loci,openstack/os-traits,Non core,0.0,1.9867549668874174,1,4
openstack/loci,openstack/python-novaclient,Core,0.8403361344537815,1.7094017094017095,5,22
openstack/loci,openstack/python-novaclient,Non core,0.21008403361344538,1.4245014245014245,5,22
openstack/loci,openstack/solum,Core,0.0,2.314814814814815,2,11
openstack/loci,openstack/solum,Non core,1.3333333333333335,2.7777777777777777,2,11
openstack/loci,openstack/murano,Core,0.7782101167315175,1.2722646310432568,6,17
openstack/loci,openstack/murano,Non core,1.556420233463035,3.0534351145038165,6,17
openstack/loci,openstack/murano-dashboard,Core,0.0,1.2048192771084338,3,12
openstack/loci,openstack/murano-dashboard,Non core,1.8633540372670807,3.614457831325301,3,12
openstack/loci,openstack/murano-pkg-check,Core,0.0,0.0,0,2
openstack/loci,openstack/murano-pkg-check,Non core,0.0,1.834862385321101,0,2
openstack/loci,openstack/murano-agent,Core,0.0,0.0,0,4
openstack/loci,openstack/murano-agent,Non core,0.0,2.5,0,4
openstack/loci,openstack/octavia,Core,1.006711409395973,1.394422310756972,6,21
openstack/loci,openstack/octavia,Non core,1.006711409395973,2.788844621513944,6,21
openstack/loci,openstack/charm-nova-compute,Core,0.0,0.0,0,4
openstack/loci,openstack/charm-nova-compute,Non core,0.0,2.5806451612903225,0,4
openstack/loci,openstack/keystone,Core,1.1058451816745656,1.9120458891013385,12,35
openstack/loci,openstack/keystone,Non core,0.7898894154818324,1.4340344168260037,12,35
openstack/loci,openstack/openstack-helm-images,Core,7.865168539325842,12.5,14,42
openstack/loci,openstack/openstack-helm-images,Non core,7.865168539325842,10.326086956521738,14,42
openstack/loci,openstack/python-cinderclient,Core,0.8797653958944283,1.1456628477905073,4,18
openstack/loci,openstack/python-cinderclient,Non core,0.2932551319648094,1.800327332242226,4,18
openstack/loci,openstack/cinderlib,Core,0.0,0.847457627118644,0,4
openstack/loci,openstack/cinderlib,Non core,0.0,2.5423728813559325,0,4
openstack/loci,openstack/keystone-specs,Core,0.7751937984496124,1.1527377521613833,2,13
openstack/loci,openstack/keystone-specs,Non core,0.7751937984496124,2.5936599423631126,2,13
openstack/loci,openstack/os-brick,Core,1.4563106796116505,2.444987775061125,3,18
openstack/loci,openstack/os-brick,Non core,0.0,1.9559902200488997,3,18
openstack/loci,openstack/ansible-collection-kolla,Core,0.0,1.0204081632653061,0,2
openstack/loci,openstack/ansible-collection-kolla,Non core,0.0,1.0204081632653061,0,2
openstack/loci,openstack/horizon,Core,0.4884004884004884,1.1756569847856155,10,34
openstack/loci,openstack/horizon,Non core,0.7326007326007326,1.1756569847856155,10,34
openstack/loci,openstack/mistral-extra,Core,0.0,0.0,1,3
openstack/loci,openstack/mistral-extra,Non core,1.25,2.0689655172413794,1,3
openstack/loci,openstack/puppet-pacemaker,Core,2.5,0.6097560975609756,2,7
openstack/loci,openstack/puppet-pacemaker,Non core,0.0,3.6585365853658534,2,7
openstack/loci,openstack/charm-trilio-data-mover,Core,0.0,0.0,0,0
openstack/loci,openstack/charm-trilio-data-mover,Non core,0.0,0.0,0,0
openstack/loci,openstack/glance-tempest-plugin,Core,0.0,0.0,0,0
openstack/loci,openstack/glance-tempest-plugin,Non core,0.0,0.0,0,0
openstack/loci,openstack/charm-ops-sunbeam,Core,0.0,0.0,0,0
openstack/loci,openstack/charm-ops-sunbeam,Non core,0.0,0.0,0,0
openstack/loci,openstack/mistral,Core,0.7220216606498195,0.9803921568627451,4,17
openstack/loci,openstack/mistral,Non core,0.7220216606498195,3.1862745098039214,4,17
openstack/loci,openstack/validations-common,Core,0.0,0.7299270072992701,0,2
openstack/loci,openstack/validations-common,Non core,0.0,0.7299270072992701,0,2
openstack/loci,openstack/ci-log-processing,Core,0.0,1.9047619047619049,0,3
openstack/loci,openstack/ci-log-processing,Non core,0.0,0.9523809523809524,0,3
openstack/loci,openstack/openstack-ansible-os_ceilometer,Core,2.6785714285714284,2.3952095808383236,4,12
openstack/loci,openstack/openstack-ansible-os_ceilometer,Non core,0.8928571428571428,4.790419161676647,4,12
openstack/loci,openstack/openstack-ansible-os_aodh,Core,3.0,3.2467532467532463,4,12
openstack/loci,openstack/openstack-ansible-os_aodh,Non core,1.0,4.545454545454546,4,12
openstack/loci,openstack/python-swiftclient,Core,0.0,1.5527950310559007,4,12
openstack/loci,openstack/python-swiftclient,Non core,1.8518518518518516,2.1739130434782608,4,12
openstack/loci,openstack/rpm-packaging,Core,1.9736842105263157,2.272727272727273,7,18
openstack/loci,openstack/rpm-packaging,Non core,2.631578947368421,4.545454545454546,7,18
openstack/loci,openstack/placement,Core,1.1494252873563218,1.6042780748663104,1,6
openstack/loci,openstack/placement,Non core,0.0,1.6042780748663104,1,6
openstack/loci,openstack/os-resource-classes,Core,0.0,0.0,0,1
openstack/loci,openstack/os-resource-classes,Non core,0.0,0.8928571428571428,0,1
openstack/loci,openstack/blazar,Core,0.0,0.8620689655172413,1,8
openstack/loci,openstack/blazar,Non core,0.7092198581560284,2.586206896551724,1,8
openstack/loci,openstack/openstack-ansible-os_glance,Core,2.8301886792452833,3.6363636363636362,4,11
openstack/loci,openstack/openstack-ansible-os_glance,Non core,0.9433962264150944,3.0303030303030303,4,11
openstack/loci,openstack/governance,Core,1.6913319238900635,2.203856749311295,9,42
openstack/loci,openstack/governance,Non core,0.21141649048625794,1.6528925619834711,9,42
openstack/loci,openstack/cloudkitty,Core,0.6451612903225806,0.40650406504065045,3,9
openstack/loci,openstack/cloudkitty,Non core,1.2903225806451613,3.2520325203252036,3,9
openstack/loci,openstack/neutron-dynamic-routing,Core,0.847457627118644,0.46728971962616817,1,6
openstack/loci,openstack/neutron-dynamic-routing,Non core,0.0,2.336448598130841,1,6
openstack/loci,openstack/kayobe,Core,0.0,1.2987012987012987,0,7
openstack/loci,openstack/kayobe,Non core,0.0,3.2467532467532463,0,7
openstack/loci,openstack/ansible-role-zookeeper,Core,0.0,0.0,0,0
openstack/loci,openstack/ansible-role-zookeeper,Non core,0.0,0.0,0,0
openstack/loci,openstack/python-manilaclient,Core,2.094240837696335,1.3651877133105803,4,11
openstack/loci,openstack/python-manilaclient,Non core,0.0,2.3890784982935154,4,11
openstack/loci,openstack/tripleo-operator-ansible,Core,0.0,0.7352941176470588,0,1
openstack/loci,openstack/tripleo-operator-ansible,Non core,0.0,0.0,0,1
openstack/loci,openstack/octavia-dashboard,Core,1.1764705882352942,0.6535947712418301,2,4
openstack/loci,openstack/octavia-dashboard,Non core,1.1764705882352942,1.9607843137254901,2,4
openstack/loci,openstack/blazar-tempest-plugin,Core,1.6666666666666667,0.0,1,1
openstack/loci,openstack/blazar-tempest-plugin,Non core,0.0,0.8547008547008548,1,1
openstack/loci,openstack/neutron-specs,Core,0.0,0.7716049382716049,0,12
openstack/loci,openstack/neutron-specs,Non core,0.0,1.0802469135802468,0,12
openstack/loci,openstack/tooz,Core,1.6129032258064515,1.7857142857142856,3,10
openstack/loci,openstack/tooz,Non core,0.8064516129032258,2.6785714285714284,3,10
openstack/loci,openstack/manila-specs,Core,0.0,0.628930817610063,1,2
openstack/loci,openstack/manila-specs,Non core,1.282051282051282,0.628930817610063,1,2
openstack/loci,openstack/glance_store,Core,2.8735632183908044,2.73972602739726,5,18
openstack/loci,openstack/glance_store,Non core,0.0,2.191780821917808,5,18
openstack/loci,openstack/openstack-ansible-os_neutron,Core,1.948051948051948,2.0408163265306123,4,12
openstack/loci,openstack/openstack-ansible-os_neutron,Non core,0.6493506493506493,2.857142857142857,4,12
openstack/loci,openstack/os-ken,Core,1.639344262295082,1.7094017094017095,1,3
openstack/loci,openstack/os-ken,Non core,0.0,0.8547008547008548,1,3
openstack/loci,openstack/keystoneauth,Core,1.8633540372670807,2.952029520295203,5,16
openstack/loci,openstack/keystoneauth,Non core,1.2422360248447204,2.952029520295203,5,16
openstack/loci,openstack/openstack-ansible-haproxy_server,Core,3.061224489795918,1.9867549668874174,4,9
openstack/loci,openstack/openstack-ansible-haproxy_server,Non core,1.0204081632653061,3.9735099337748347,4,9
openstack/loci,openstack/grenade,Core,2.158273381294964,2.857142857142857,3,13
openstack/loci,openstack/grenade,Non core,0.0,1.7857142857142856,3,13
openstack/loci,openstack/networking-midonet,Core,1.6666666666666667,1.556420233463035,5,12
openstack/loci,openstack/networking-midonet,Non core,2.5,3.11284046692607,5,12
openstack/loci,openstack/python-ironicclient,Core,1.4354066985645932,1.1111111111111112,3,11
openstack/loci,openstack/python-ironicclient,Non core,0.0,1.9444444444444444,3,11
openstack/loci,openstack/oslo.messaging,Core,1.1194029850746268,1.8181818181818181,5,18
openstack/loci,openstack/oslo.messaging,Non core,0.7462686567164178,2.272727272727273,5,18
openstack/loci,openstack/tripleo-docs,Core,1.0,1.092896174863388,4,10
openstack/loci,openstack/tripleo-docs,Non core,1.0,1.639344262295082,4,10
