projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/magnum-specs,openstack/charm-interface-mysql-router,Core,0.0,0.0,0,0
openstack/magnum-specs,openstack/charm-interface-mysql-router,Non core,0.0,0.0,0,0
openstack/magnum-specs,openstack/venus,Core,2.631578947368421,1.5873015873015872,2,1
openstack/magnum-specs,openstack/venus,Non core,2.631578947368421,0.0,2,1
openstack/magnum-specs,openstack/charm-neutron-api,Core,0.0,1.9417475728155338,0,5
openstack/magnum-specs,openstack/charm-neutron-api,Non core,0.0,2.912621359223301,0,5
openstack/magnum-specs,openstack/tacker-specs,Core,1.36986301369863,1.6483516483516485,1,8
openstack/magnum-specs,openstack/tacker-specs,Non core,0.0,2.7472527472527473,1,8
openstack/magnum-specs,openstack/openstack-ansible-galera_server,Core,1.1111111111111112,2.142857142857143,1,9
openstack/magnum-specs,openstack/openstack-ansible-galera_server,Non core,0.0,4.285714285714286,1,9
openstack/magnum-specs,openstack/puppet-openstack_spec_helper,Core,2.2222222222222223,4.081632653061225,2,8
openstack/magnum-specs,openstack/puppet-openstack_spec_helper,Non core,2.2222222222222223,4.081632653061225,2,8
openstack/magnum-specs,openstack/trove-dashboard,Core,1.4285714285714286,3.3333333333333335,2,11
openstack/magnum-specs,openstack/trove-dashboard,Non core,1.4285714285714286,4.0,2,11
openstack/magnum-specs,openstack/pyeclib,Core,3.571428571428571,1.5625,1,3
openstack/magnum-specs,openstack/pyeclib,Non core,0.0,3.125,1,3
openstack/magnum-specs,openstack/neutron-vpnaas,Core,0.6666666666666667,2.083333333333333,1,12
openstack/magnum-specs,openstack/neutron-vpnaas,Non core,0.0,2.083333333333333,1,12
openstack/magnum-specs,openstack/charm-designate,Core,0.0,2.7027027027027026,0,5
openstack/magnum-specs,openstack/charm-designate,Non core,0.0,4.054054054054054,0,5
openstack/magnum-specs,openstack/neutron-lbaas,Core,0.4761904761904762,1.03359173126615,3,11
openstack/magnum-specs,openstack/neutron-lbaas,Non core,0.9523809523809524,1.8087855297157622,3,11
openstack/magnum-specs,openstack/oslo.privsep,Core,2.7027027027027026,3.125,3,9
openstack/magnum-specs,openstack/oslo.privsep,Non core,1.3513513513513513,3.90625,3,9
openstack/magnum-specs,openstack/charm-glance,Core,0.0,2.380952380952381,0,5
openstack/magnum-specs,openstack/charm-glance,Non core,0.0,3.571428571428571,0,5
openstack/magnum-specs,openstack/charm-ceph-mon,Core,0.0,1.0638297872340425,0,4
openstack/magnum-specs,openstack/charm-ceph-mon,Non core,0.0,3.1914893617021276,0,4
openstack/magnum-specs,openstack/vitrage,Core,0.7462686567164178,1.4851485148514851,1,10
openstack/magnum-specs,openstack/vitrage,Non core,0.0,3.4653465346534658,1,10
openstack/magnum-specs,openstack/puppet-murano,Core,1.5384615384615385,0.8403361344537815,2,5
openstack/magnum-specs,openstack/puppet-murano,Non core,1.5384615384615385,3.361344537815126,2,5
openstack/magnum-specs,openstack/networking-bagpipe,Core,1.4925373134328357,3.076923076923077,2,10
openstack/magnum-specs,openstack/networking-bagpipe,Non core,1.4925373134328357,4.615384615384616,2,10
openstack/magnum-specs,openstack/api-site,Core,0.3225806451612903,1.8181818181818181,2,15
openstack/magnum-specs,openstack/api-site,Non core,0.3225806451612903,1.2121212121212122,2,15
openstack/magnum-specs,openstack/charm-cinder-purestorage,Core,0.0,1.7241379310344827,0,1
openstack/magnum-specs,openstack/charm-cinder-purestorage,Non core,0.0,0.0,0,1
openstack/magnum-specs,openstack/python-magnumclient,Core,2.9197080291970803,8.235294117647058,9,38
openstack/magnum-specs,openstack/python-magnumclient,Non core,3.64963503649635,14.117647058823529,9,38
openstack/magnum-specs,openstack/magnum-tempest-plugin,Core,9.375,18.0327868852459,6,16
openstack/magnum-specs,openstack/magnum-tempest-plugin,Non core,9.375,8.19672131147541,6,16
openstack/magnum-specs,openstack/openstack-ansible-os_tempest,Core,0.9090909090909091,2.2988505747126435,1,10
openstack/magnum-specs,openstack/openstack-ansible-os_tempest,Non core,0.0,3.4482758620689653,1,10
openstack/magnum-specs,openstack/aodh,Core,1.282051282051282,2.2222222222222223,2,9
openstack/magnum-specs,openstack/aodh,Non core,0.0,1.7777777777777777,2,9
openstack/magnum-specs,openstack/operations-guide,Core,0.8928571428571428,0.5076142131979695,1,4
openstack/magnum-specs,openstack/operations-guide,Non core,0.0,1.5228426395939088,1,4
openstack/magnum-specs,openstack/contributor-guide,Core,1.7857142857142856,1.8518518518518516,1,5
openstack/magnum-specs,openstack/contributor-guide,Non core,0.0,2.7777777777777777,1,5
openstack/magnum-specs,openstack/charm-ceph-radosgw,Core,0.0,1.282051282051282,0,3
openstack/magnum-specs,openstack/charm-ceph-radosgw,Non core,0.0,2.564102564102564,0,3
openstack/magnum-specs,openstack/python-aodhclient,Core,1.4492753623188406,4.545454545454546,4,11
openstack/magnum-specs,openstack/python-aodhclient,Non core,4.3478260869565215,5.454545454545454,4,11
openstack/magnum-specs,openstack/ec2-api,Core,1.2195121951219512,3.669724770642202,3,11
openstack/magnum-specs,openstack/ec2-api,Non core,2.4390243902439024,6.422018348623854,3,11
openstack/magnum-specs,openstack/ec2api-tempest-plugin,Core,0.0,3.6363636363636362,2,3
openstack/magnum-specs,openstack/ec2api-tempest-plugin,Non core,6.25,1.8181818181818181,2,3
openstack/magnum-specs,openstack/openstack-manuals,Core,0.2061855670103093,0.672645739910314,4,18
openstack/magnum-specs,openstack/openstack-manuals,Non core,0.2061855670103093,0.672645739910314,4,18
openstack/magnum-specs,openstack/security-doc,Core,0.6451612903225806,1.5923566878980893,2,7
openstack/magnum-specs,openstack/security-doc,Non core,0.6451612903225806,0.6369426751592357,2,7
openstack/magnum-specs,openstack/openstack-ansible-openstack_hosts,Core,1.1627906976744187,1.6260162601626018,2,8
openstack/magnum-specs,openstack/openstack-ansible-openstack_hosts,Non core,1.1627906976744187,4.878048780487805,2,8
openstack/magnum-specs,openstack/magnum-ui,Core,6.944444444444445,9.67741935483871,7,28
openstack/magnum-specs,openstack/magnum-ui,Non core,2.7777777777777777,12.903225806451612,7,28
openstack/magnum-specs,openstack/charm-specs,Core,1.694915254237288,2.4390243902439024,1,4
openstack/magnum-specs,openstack/charm-specs,Non core,0.0,2.4390243902439024,1,4
openstack/magnum-specs,openstack/ceilometer-powervm,Core,2.0,1.9607843137254901,1,6
openstack/magnum-specs,openstack/ceilometer-powervm,Non core,0.0,3.9215686274509802,1,6
openstack/magnum-specs,openstack/sahara-dashboard,Core,0.9615384615384616,1.4492753623188406,1,5
openstack/magnum-specs,openstack/sahara-dashboard,Non core,0.0,2.1739130434782608,1,5
openstack/magnum-specs,openstack/freezer-web-ui,Core,1.3333333333333335,2.4193548387096775,2,8
openstack/magnum-specs,openstack/freezer-web-ui,Non core,1.3333333333333335,4.032258064516129,2,8
openstack/magnum-specs,openstack/neutron-fwaas-dashboard,Core,2.4390243902439024,1.9801980198019802,1,6
openstack/magnum-specs,openstack/neutron-fwaas-dashboard,Non core,0.0,3.9603960396039604,1,6
openstack/magnum-specs,openstack/neutron-vpnaas-dashboard,Core,2.5,2.5,1,6
openstack/magnum-specs,openstack/neutron-vpnaas-dashboard,Non core,0.0,5.0,1,6
openstack/magnum-specs,openstack/zaqar,Core,0.4807692307692308,1.8927444794952681,5,12
openstack/magnum-specs,openstack/zaqar,Non core,1.9230769230769231,1.8927444794952681,5,12
openstack/magnum-specs,openstack/pycadf,Core,1.36986301369863,1.4925373134328357,3,6
openstack/magnum-specs,openstack/pycadf,Non core,2.73972602739726,2.9850746268656714,3,6
openstack/magnum-specs,openstack/election,Core,1.2658227848101267,3.040540540540541,4,11
openstack/magnum-specs,openstack/election,Non core,0.0,0.6756756756756757,4,11
openstack/magnum-specs,openstack/openstack-ansible-os_tacker,Core,2.0,3.1914893617021276,1,7
openstack/magnum-specs,openstack/openstack-ansible-os_tacker,Non core,0.0,4.25531914893617,1,7
