projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/magnum-ui,openstack/charm-specs,Core,4.807692307692308,2.0408163265306123,7,5
openstack/magnum-ui,openstack/charm-specs,Non core,1.9230769230769231,1.3605442176870748,7,5
openstack/magnum-ui,openstack/ceilometer-powervm,Core,7.6923076923076925,4.375,11,14
openstack/magnum-ui,openstack/ceilometer-powervm,Non core,4.395604395604396,4.375,11,14
openstack/magnum-ui,openstack/sahara-dashboard,Core,8.88888888888889,6.417112299465241,21,22
openstack/magnum-ui,openstack/sahara-dashboard,Non core,6.666666666666667,5.347593582887701,21,22
openstack/magnum-ui,openstack/freezer-web-ui,Core,12.264150943396226,4.519774011299435,22,21
openstack/magnum-ui,openstack/freezer-web-ui,Non core,8.49056603773585,7.344632768361582,22,21
openstack/magnum-ui,openstack/neutron-fwaas-dashboard,Core,11.11111111111111,6.622516556291391,12,22
openstack/magnum-ui,openstack/neutron-fwaas-dashboard,Non core,3.7037037037037033,7.9470198675496695,12,22
openstack/magnum-ui,openstack/neutron-vpnaas-dashboard,Core,12.82051282051282,6.569343065693431,14,15
openstack/magnum-ui,openstack/neutron-vpnaas-dashboard,Non core,5.128205128205128,4.37956204379562,14,15
openstack/magnum-ui,openstack/zaqar,Core,5.485232067510549,4.7091412742382275,27,34
openstack/magnum-ui,openstack/zaqar,Non core,5.9071729957805905,4.7091412742382275,27,34
openstack/magnum-ui,openstack/pycadf,Core,5.217391304347826,3.1413612565445024,12,15
openstack/magnum-ui,openstack/pycadf,Non core,5.217391304347826,4.712041884816754,12,15
openstack/magnum-ui,openstack/election,Core,6.086956521739131,5.763688760806916,26,26
openstack/magnum-ui,openstack/election,Non core,1.4492753623188406,1.729106628242075,26,26
openstack/magnum-ui,openstack/openstack-ansible-os_tacker,Core,4.3478260869565215,2.564102564102564,10,11
openstack/magnum-ui,openstack/openstack-ansible-os_tacker,Non core,6.521739130434782,4.487179487179487,10,11
openstack/magnum-ui,openstack/whitebox-tempest-plugin,Core,2.73972602739726,1.5384615384615385,2,3
openstack/magnum-ui,openstack/whitebox-tempest-plugin,Non core,0.0,0.7692307692307693,2,3
openstack/magnum-ui,openstack/charm-ceph-osd,Core,2.727272727272727,2.0,7,7
openstack/magnum-ui,openstack/charm-ceph-osd,Non core,3.6363636363636362,2.666666666666667,7,7
openstack/magnum-ui,openstack/osc-lib,Core,8.461538461538462,6.030150753768844,14,18
